swift_code,id,bank,city,branch
ALNGJMK1,1,ALLIANCE INVESTMENT MANAGEMENT LIMITED,KINGSTON,None
JAPLJMK1,2,AUTOMATED PAYMENTS LIMITED,KINGSTON,None
BAJAJMK11KN,3,BANK OF JAMAICA,KINGSTON,(RTGS)
BAJAJMKN,4,BANK OF JAMAICA,KINGSTON,None
NOSCJMKN,5,BANK OF NOVA SCOTIA JAMAICA LTD., THE,KINGSTON,None
BAVSJMK1,6,BARITA INVESTMENTS LIMITED,KINGSTON,None
BPFIJMK1,7,BPM FINANCIAL LIMITED,KINGSTON,None
CCENJMK1,8,C.O.K. CO-OPERATIVE CREDIT UNION LTD.,KINGSTON,None
CCMKJMK1,9,CAPITAL AND CREDIT MERCHANT BANK LIMITED,KINGSTON,None
CPCSJMK1,10,CAPITAL AND CREDIT SECURITIES LIMITED,KINGSTON,None
CPSOJMK1,11,CAPITAL SOLUTIONS LIMITED,KINGSTON,None
BATSJMK1,12,CARRERAS LIMITED,SAINT-CATHERINE,None
CCNVJMK1,13,CCU INVESTMENTS LIMITED,KINGSTON,None
CCEOJMK1,14,CHURCHES CO-OPERATIVE CREDIT UNION LTD.,KINGSTON,None
CITIJMK1,15,CITIBANK N.A.,KINGSTON,None
CIAFJMK1,16,CITIFINANCE LIMITED,KINGSTON,None
CUFMJMK1,17,CREDIT UNION FUND MANAGEMENT COMPANY LTD,KINGSTON,None
NDBJJMK1,18,DEVELOPMENT BANK OF JAMAICA LIMITED,KINGSTON,None
FILBJMKN,19,FIRST GLOBAL BANK LIMITED,KINGSTON,None
FHCRJMK1,20,FIRST HERITAGE CO-OPERATIVE CREDIT UNION LIMITED,KINGSTON,None
FCIBJMKN,21,FIRSTCARIBBEAN INTERNATIONAL BANK (JAMAICA) LIMITED,KINGSTON,None
FCIBJM21,22,FIRSTCARIBBEAN INTERNATIONAL TRUST AND MERCHANT BANK (JAMAICA) LIMITED,KINGSTON,None
GAMJJMK1,23,GUARDIAN ASSET MANAGEMENT JAMAICA LIMITED,KINGSTON,None
GULIJMK1,24,GUARDIAN LIFE LIMTED,KINGSTON,None
IDFCJMK1,25,IDEAL FINANCE CORPORATION LIMITED,KINGSTON,None
IDPSJMK1,26,IDEAL PORTFOLIO SERVICES CO LTD,KINGSTON,None
IFCPJMK1,27,INFINITI CAPITAL,KINGSTON,None
ITFCJMK1,28,INTERTRADE FINANCE CORPORATION LTD.,KINGSTON,None
JCSDJMK1JRR,29,JAMAICA CENTRAL SECURITIES DEPOSITORY LTD,KINGSTON,(RETAIL REPO)
JCSDJMK1,30,JAMAICA CENTRAL SECURITIES DEPOSITORY LTD,KINGSTON,None
JCCUJMK1,31,JAMAICA CO-OPERATIVE CREDIT UNION LEAGUE LIMITED,KINGSTON,None
JMMBJMK1,32,JAMAICA MONEY MARKET BROKERS LTD,KINGSTON,None
JNBSJMKN,33,JN BANK LIMITED,KINGSTON,None
FUNMJMK1,34,JN FUND MANAGERS LIMITED,KINGSTON,None
MVSTJMK1,35,M/VL STOCKBROKERS LTD.,KINGSTON,None
MAYNJMK1,36,MAYBERRY INVESTMENTS LIMITED,KINGSTON,None
ASAEJMK1,37,MF AND G ASSET MANAGEMENT LIMITED,KINGSTON,None
MFGTJMK1,38,MF AND G TRUST AND FINANCE COMPANY,KINGSTON,None
MONMJMK1,39,MONEYMASTERS LIMITED,KINGSTON,None
JNCBJMK10K2,40,NATIONAL COMMERCIAL BANK JAMAICA LIMITED,KINGSTON,(KING STREET)
JNCBJMKX,41,NATIONAL COMMERCIAL BANK JAMAICA LIMITED,KINGSTON,None
NAEBJMKI,42,NATIONAL EXPORT-IMPORT BANK OF JAMAICA LIMITED,KINGSTON,None
NCCMJMK1,43,NCB CAPITAL MARKETS LIMITED,KINGSTON,None
NCICJMK1,44,NCB INSURANCE COMPANY LIMITED,KINGSTON,None
PCARJMK1,45,PAN CARIBBEAN BANK LIMITED,KINGSTON,None
PCFSJMK1,46,PAN CARIBBEAN FINANCIAL SERVICES LTD,KINGSTON,None
PCMBJMK1,47,PAN CARIBBEAN MERCHANT BANK LTD.,KINGSTON,None
PRTGJMK1,48,PRIME ASSET MANAGEMENT LTD,KINGSTON,None
FGFSJMK1,49,PROVEN FUND MANAGERS LIMITED,KINGSTON,None
PWELJMK1,50,PROVEN WEALTH LIMITED,KINGSTON,None
RBSJJMK1,51,RBTT SECURITIES JAMAICA LIMITED,KINGSTON,None
SAJAJMK1,52,SAGICOR BANK JAMAICA LIMITED,KINGSTON,None
SAJAJMKN,53,SAGICOR BANK JAMAICA LIMITED,KINGSTON,None
SALJJMK1,54,SAGICOR LIFE JAMAICA LIMITED,KINGSTON,None
SCDMJMK1,55,SCOTIA DBG MERCHANT BANK LIMITED,KINGSTON,None
SCNJJMKN,56,SCOTIA INVESTMENTS JAMAICA LTD,KINGSTON,None
STEGJMK1,57,STERLING ASSET MANAGEMENT LTD.,KINGSTON,None
