swift_code,id,bank,city,branch
ABCVJOA1,1,ABC INVESTMENTS,AMMAN,None
ABXLJOA1,2,ABUSHEIKHA EXCHANGE LLC,AMMAN,None
ACRCJOA1,3,AGRICULTURAL CREDIT CORPORATION,AMMAN,None
AHBOJOA1,4,AHLI BROKERAGE COMPANY,AMMAN,None
AJSEJOA1,5,AJIAD FOR SECURITIES,AMMAN,None
NAKHJOAM,6,AL - NAKHEEL EXCHANGE,AMMAN,None
ALEYJOAM,7,AL ALAMI EXCHANGE COMPANY,AMMAN,None
AMFNJOA1,8,AL AMAL FINANCIAL INVESMENTS CO. LTD,AMMAN,None
ATIGJOA1,9,AL ARABI INVESTMENT GROUP CO.,AMMAN,None
AIGMJOA1,10,AL ARABI INVESTMENT GROUP COMPANY,AMMAN,None
AWAIJOA1,11,AL AWAEL INTERNATIONAL,AMMAN,None
FRRSJOA1,12,AL FARES FOR FINANCIAL INVEST CO,IRBID,None
MBRCJOA1,13,AL MAWARED FOR BROKERAGE COMPANY,AMMAN,None
RJHIJOAM,14,AL RAJHI BANK , JORDAN BRANCH,AMMAN,None
WFSIJOA1,15,AL WAMEEDH FOR FINANCIAL SERVICES AND INVESTMENT,AMMAN,None
ALNTJOA1,16,AL-AULA FINANCIAL INVESTMENTS,AMMAN,None
ALELJOAM,17,ALAWNEH EXCHANGE L.L.C,AMMAN,None
ALSVJOA1,18,AL-BILAD FOR SECURITIES AND INVESTMENT,AMMAN,None
ALNVJOA1,19,ALEMAN FINANCIAL INVESTMENT,AMMAN,None
ALLEJOA1,20,AL-HEKMA FINANCIAL SERVICES,AMMAN,None
ANFNJOA1,21,ALNOUR FOR FINANCIAL INVESTMENTS,AMMAN,None
ALPMJOA1,22,AL-OMANA'A PORTFOLIO AND INVESTMENT,AMMAN,None
ASFVJOA1,23,ALSAFWA FININCIAL INVESTMENTS,AMMAN,None
AIIRJOA1,24,AL-SAHM INTERNATIONAL FOR INVESTMENT AND BROKERAGE,AMMAN,None
ASFTJOA1,25,AL-SALAM FOR FINANCIAL INVESTMENTS,AMMAN,None
ALNBJOA1,26,AL-SHOROUQ FINANCIAL BROKERS,AMMAN,None
ALNEJOA1,27,AL-WATANIEH FOR FINANCIAL SERVICES CO.,AMMAN,None
AMSIJOA1,28,AMAN FOR SECURITIES,AMMAN,None
AMBIJOM1,29,AMMAN BANK FOR INVESTMENTS,AMMAN,None
XAMMJOA1,30,AMMAN STOCK EXCHANGE,AMMAN,None
AMWBJOA1,31,AMWAL BROKERAGE,AMMAN,None
ARABJOAX133,32,ARAB BANK PLC,AMMAN,((ABDOUN BRANCH)
ARABJOAX119,33,ARAB BANK PLC,AMMAN,(ABDALI BRANCH)
ARABJOAX131,34,ARAB BANK PLC,AMMAN,(ABU ALANDA)
ARABJOAX126,35,ARAB BANK PLC,AMMAN,(AL-JUBEIHA BRANCH)
ARABJOAX501,36,ARAB BANK PLC,AMMAN,(CENTRAL OPERATIONS UNIT-TRADE FINANCE SERVICES)
ARABJOAXCUT,37,ARAB BANK PLC,AMMAN,(CENTRALIZED INWARD TRANSFERS DEPT.)
ARABJOAXTRF,38,ARAB BANK PLC,AMMAN,(CENTRALIZED OUTWARD TRANSFERS DEPT.)
ARABJOAXSLR,39,ARAB BANK PLC,AMMAN,(CENTRALIZED SALARIES UNIT)
