swift_code,id,bank,city,branch
AJRAKG22,1,AMANBANK (JOINT-STOCK RUSSIAN-KYRGYZ AMANBANK),BISHKEK,None
BBTPKG22,2,BAI-TUSHUM BANK CJSC,BISHKEK,None
BAKAKG22,3,BAKAI BANK OJSC,BISHKEK,None
ASCJKG22,4,BANK OF ASIA CJSC,BISHKEK,None
EIMBKG22,5,BTA BANK CJSC (FORMERLY INEXIMBANK CJSC), BISHKEK,KG,BISHKEK,None
ECBIKG22,6,CJSC ECOISLAMICBANK,BISHKEK,None
FBANKG22,7,CJSC FINCA BANK,BISHKEK,None
DEMIKG22,8,DEMIR KYRGYZ INTERNATIONAL BANK,BISHKEK,None
DOSSKG22,9,DOS-CREDOBANK OJSC,BISHKEK,None
KYRGKG22,10,EURASIAN SAVINGS BANK, OJSC,BISHKEK,None
FIKBKG22,11,FINANCECREDITBANK KAB,BISHKEK,None
IBCHKG22,12,INVESTMENT BANK CHANG AN OJSC,BISHKEK,None
KOMPKG22,13,KOMPANION BANK CLOSED JOINT-STOCK COMPANY,BISHKEK,None
KICBKG22,14,KYRGYZ INVESTMENT AND CREDIT BANK,BISHKEK,None
KSBCKG22,15,KYRGYZ-SWISS BANK CJSC,BISHKEK,None
NBPAKG22,16,NATIONAL BANK OF PAKISTAN BISHKEK BRANCH,BISHKEK,None
NBKIKG22,17,NATIONAL BANK OF THE KYRGYZ REPUBLIC,BISHKEK,None
AIYLKG22,18,OJSC AIYL BANK,BISHKEK,None
KYRSKG22,19,OJSC COMMERCIAL BANK KYRGYZSTAN,BISHKEK,None
MAKAKG22,20,OJSC HALYK BANK KYRGYZSTAN,BISHKEK,None
KAKYKG22,21,OJSC KYRGYZKOMMERTSBANK,BISHKEK,None
SESVKG22,22,OJSC RSK BANK,BISHKEK,None
RINBKG22,23,OJSC RUSSIAN INVESTMENT BANK,BISHKEK,None
ENEJKG22,24,OPTIMA BANK OJSC,BISHKEK,None
AKILKG22,25,THE OPEN JOINT-STOCK COMPANY CAPITAL BANK,BISHKEK,None
TOLUKG22,26,TOLUBAY BANK - CLOSED JOINT STOCK COMPANY,BISHKEK,None
