swift_code,id,bank,city,branch
ACLBKHPP,1,ACLEDA BANK PLC.,PHNOM PENH,None
ABAAKHPP,2,ADVANCED BANK OF ASIA LIMITED,PHNOM PENH,None
ACBCKHP1,3,ANGKOR CAPITAL SPECIALIZED BANK,PHNOM PENH,None
ANZBKHPP,4,ANZ ROYAL BANK (CAMBODIA) LTD,PHNOM PENH,None
BKKBKHPP,5,BANGKOK BANK PUBLIC COMPANY LIMITED CAMBODIA BRANCH,PHNOM PENH,None
IDBCKHPP,6,BANK FOR INVESTMENT AND DEVELOPMENT OF CAMBODIA PLC,PHNOM PENH,None
BKCHKHPP,7,BANK OF CHINA LIMITED PHNOM PENH BRANCH,PHNOM PENH,None
BKBCKHPP,8,BOOYOUNG KHMER BANK,PHNOM PENH,None
BREDKHP2,9,BRED BANK (CAMBODIA) PLC,PHNOM PENH,None
BATSKH21,10,BRITISH AMERICAN TOBACCO (CAMBODGE) INT LTD,PHNOM PENH,None
BATSKHP1,11,BRITISH AMERICAN TOBACCO CAMBODIA LTD,PHNOM PENH,None
CABCKHPP,12,CAMBODIA ASIA BANK LTD,PHNOM PENH,None
MKGBKHPP,13,CAMBODIA MEKONG BANK PUBLIC LIMITED,PHNOM PENH,None
CPBPKHP2,14,CAMBODIA POST BANK PLC,PHNOM PENH,None
SICOKHPP,15,CAMBODIAN COMMERCIAL BANK LIMITED,PHNOM PENH,None
CPBLKHPP,16,CAMBODIAN PUBLIC BANK PLC,PHNOM PENH,None
CADIKHPP,17,CANADIA BANK PLC,PHNOM PENH,None
CSBCKHPP,18,CATHAY UNITED BANK (CAMBODIA) CORPORATION LTD (FORMERLY SBC BANK),PHNOM PENH,None
CIBBKHPP,19,CIMB BANK PLC,PHNOM PENH,None
BSUIKHP1,20,CREDIT AGRICOLE CIB,PHNOM PENH,None
FCBKKHPP003,21,FIRST COMMERCIAL BANK PHNOM PENH BRANCH,PHNOM PENH,(CHAMKAR MON SUB-BRANCH)
FCBKKHPP001,22,FIRST COMMERCIAL BANK PHNOM PENH BRANCH,PHNOM PENH,(CHORM CHAOV SUB-BRANCH)
FCBKKHPP005,23,FIRST COMMERCIAL BANK PHNOM PENH BRANCH,PHNOM PENH,(CHROY CHONGVA SUB-BRANCH)
FCBKKHPP002,24,FIRST COMMERCIAL BANK PHNOM PENH BRANCH,PHNOM PENH,(OLYMPIC SUB-BRANCH)
FCBKKHPP004,25,FIRST COMMERCIAL BANK PHNOM PENH BRANCH,PHNOM PENH,(TUOL KOUK SUB-BRANCH)
FCBKKHPP006,26,FIRST COMMERCIAL BANK PHNOM PENH BRANCH,PHNOM PENH,(VENG SRENG SUB-BRANCH)
FCBKKHPP,27,FIRST COMMERCIAL BANK PHNOM PENH BRANCH,PHNOM PENH,None
FCBKKHPP007,28,FIRST COMMERCIAL BANK PHNOM PENH BRANCH,SIEM REAP,(SRP)
FTCCKHPP,29,FOREIGN TRADE BANK OF CAMBODIA,PHNOM PENH,None
HLBBKHPP,30,HONG LEONG BANK (CAMBODIA) PLC,PHNOM PENH,None
ICBKKHPP,31,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED PHNOM PENH BRANCH,PHNOM PENH,None
CZNBKHPP,32,KOOKMIN BANK CAMBODIA PLC,PHNOM PENH,None
MBBEKHPP,33,MAYBANK (CAMBODIA) PLC.,PHNOM PENH,None
ICBCKHPPOLY,34,MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD.,PHNOM PENH,(OLYMPIC SUB-BRANCH)
ICBCKHPPPPA,35,MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD.,PHNOM PENH,(P.P. AIRPORT SUBBRANCH)
ICBCKHPPTKK,36,MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD.,PHNOM PENH,(TOULKOK SUB-BRANCH)
ICBCKHPP,37,MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD.,PHNOM PENH,None
NCAMKHPP,38,NATIONAL BANK OF CAMBODIA,PHNOM PENH,None
OSKIKHPP,39,OSK INDOCHINA BANK LIMITED,PHNOM PENH,None
HDSBKHPP,40,PHILLIP BANK PLC,PHNOM PENH,None
PPCBKHPP,41,PHNOM PENH COMMERCIAL BANK,PHNOM PENH,None
SBPLKHPP,42,SATHAPANA BANK PLC.,PHNOM PENH,None
SHBAKHPP,43,SHB PLC PHNOMPENH BRANCH, CAMBODIA,PHNOM PENH,None
SHBKKHPP,44,SHINHAN KHMER BANK,PHNOM PENH,None
TACBKHPP914,45,TAIWAN COOPERATIVE BANK, PHNOM PENH BRANCH,PHNOM PENH,(POSENCHEY SUB-BRANCH)
TACBKHPP913,46,TAIWAN COOPERATIVE BANK, PHNOM PENH BRANCH,PHNOM PENH,(TEOK THLA SUB-BRANCH)
TACBKHPP,47,TAIWAN COOPERATIVE BANK, PHNOM PENH BRANCH,PHNOM PENH,None
TACBKHPP916,48,TAIWAN COOPERATIVE BANK, PHNOM PENH BRANCH,SIEM REAP,(SIEM REAP SUB BRANCH)
UCBPKHPP,49,UNION COMMERCIAL BANK PLC,PHNOM PENH,None
VBLCKHPP,50,VATTANAC BANK,PHNOM PENH,None
VBAAKHPP,51,VIETNAM BANK FOR AGRICULTURE AND RURAL DEVELOPMENT CAMBODIA BRANCH,PHNOM PENH,None
