swift_code,id,bank,city,branch
ALCHKMK1,1,ALLIED CHARTERED BANK,MUTSAMUDU,None
COCBKMKM,2,BANQUE CENTRALE DES COMOROS,MORONI,None
BFDCKMKM,3,BANQUE FEDERALE DE COMMERCE,MORONI,None
BICCKMKM,4,BANQUE POUR L'INDUSTRIE ET LE COMMERCE DES COMORES,MORONI,None
CSTGKMK1,5,CASTAGNA BANK LIMITED,FOMBONI,None
CLORKMK1,6,CORIOLIS BANKING CORPORATION,FOMBONI,None
DYPEKMK1,7,DYNAST PREMIER BANK LIMITED,MUTSAMUDU,None
EXTNKMKM,8,EXIM BANK COMORES LTD,MORONI,None
FOFNKMK1,9,FOREIGN FINANCE BANK LIMITED,ANJOUAN,None
ITCEKMK1,10,INTERCONTINENTAL CREDIT BANK LTD,MUTSAMUDU,None
ITFNKMK1,11,INTERNATIONAL FINANCE BANK,MUTSAMUDU,None
MAEVKMK1,12,MAGNATE PREMIER PRIVATE BANK LTD,MUTSAMUDU,None
NYSBKMK1,13,NYSB, INC,MUTSAMUDU,None
HAHMKMKM,14,SNPSF (SOCIETE NATIONALE DES POSTES),MORONI,None
TARRKMK1,15,STAR BANK LIMITED,MUTSAMUDU,None
WSBOKMK1,16,WALL STREET BANK,MUTSAMUDU,None
