swift_code,id,bank,city,branch
BAUOKNN1,1,BANCLEAR TRUST CORPORATION,CHARLESTOWN,None
BNEIKNNE,2,BANK OF NEVIS INTERNATIONAL LIMITED,CHARLESTOWN,None
BNEVKNNE,3,BANK OF NEVIS, THE,CHARLESTOWN,None
NOSCKNSK,4,BANK OF NOVA SCOTIA,THE,BASSETERRE,None
CNLLKNN1,5,CENTERLINK, LLC,CHARLESTOWN,None
ECCBKNSK,6,EASTERN CARIBBEAN CENTRAL BANK,BASSETERRE,None
ECSXKNSK,7,EASTERN CARIBBEAN SECURITIES EXCHANGE LTD,BASSETERRE,None
ECMTKNS1,8,EUROWIRE CASH MANAGEMENT TRUST,CHARLESTOWN,None
EULOKNS1,9,EUROWIRE CLEARING CORPORATION,CHARLESTOWN,None
FCIBKNSK,10,FIRSTCARIBBEAN INTERNATIONAL BANK (BARBADOS) LIMITED,BASSETERRE,None
GLTAKNS1,11,GLOBAL TRADE AIM LIMITED,BASSETERRE,None
GVKNKNSK,12,GOVERMENT OF ST. KITTS AND NEVIS,BASSETERRE,None
MAMSKNS1,13,MAGNATE PREMIER INVESTMENT BANK LIMITED,BASSETERRE,None
MGPMKNS1,14,MAGNATE PREMIER LIMITED,BASSETERRE,None
RBTTKNNE,15,RBTT BANK (SKN) LIMITED,CHARLESTOWN,None
ROYCKNSK,16,ROYAL BANK OF CANADA,BASSETERRE,None
KNANKNSK,17,ST. KITTS-NEVIS-ANGUILLA NATIONAL BANK,BASSETERRE,None
