swift_code,id,bank,city,branch
CAHLKYK1,1,3 CAPITAL HOLDINGS LTD,GEORGETOWN,None
ABFKKYKY,2,ABC FINANCIAL MARKETS,GRAND CAYMAN,None
ADCBKYKY,3,ADCB MARKETS (CAYMAN) LIMITED,GRAND CAYMAN,None
AUFPKYK1,4,AHP UMBRELLA FUND SPC LIMITED,GRAND CAYMAN,None
AIBKKYK1TMK,5,AIB BANK,GEORGETOWN,(TREASURY DEPT)
AIBKKYK1,6,AIB BANK,GEORGETOWN,None
ABNKKYK1,7,ALTAJIR BANK,GEORGETOWN,None
ARNBKYKY,8,ANB GLOBAL MARKETS LIMITED,GRAND CAYMAN,None
ARRFKYK1,9,ARETE MACRO FUND,GRAND CAYMAN,None
ARCFKYK1,10,ARGENTARIA CAPITAL FUNDING LIMITED,GEORGETOWN,None
ARNCKYK1,11,ARNOTT CAPITAL,GEORGETOWN,None
ACPLKYK1,12,ARROWGRASS CAPITAL PARTNERS LLP,GEORGETOWN,None
ARMUKYK1,13,ARROWGRASS MASTER FUND LTD,GRAND CAYMAN,None
ATTRKYK1,14,ATC TRUSTEES (CAYMAN) LIMITED,GEORGETOWN,None
ATSEKYKY,15,ATLANTIC SECURITY BANK,GEORGETOWN,None
ABCBKYKX,16,BANCO ABC BRASIL S.A. - CAYMAN ISLANDS BRANCH,GEORGETOWN,None
BBSIKYK1,17,BANCO BOZANO, SIMONSEN SA, GRAND CAYMAN BRANCH,GEORGETOWN,None
BBPIKYKY,18,BANCO BPI,GEORGETOWN,None
BCYLKYKY,19,BANCO BPI CAYMAN LTD,GEORGETOWN,None
BBDEKYKY,20,BANCO BRADESCO S.A.,GEORGETOWN,None
BCBBKYKY,21,BANCO BRADESCO S.A. - GRAND CAYMAN (FORMERLY KIRTON BANK BRASIL S.A. - GRAND CAYMAN BRANCH),GEORGETOWN,None
BPABKYKG,22,BANCO BTG PACTUAL SA CAYMAN BRANCH,GEORGETOWN,None
COLPKYKY,23,BANCO COLPATRIA CAYMAN,GRAND CAYMAN,None
DAYCKYKY,24,BANCO DAYCOVAL S/A,GEORGETOWN,None
NACNKYKY,25,BANCO DE LA NACION ARGENTINA, GRAND CAYMAN BRANCH,GEORGETOWN,None
BRASKYKY,26,BANCO DO BRASIL S.A.,GEORGETOWN,None
BRGSKYK1,27,BANCO DO ESTADO DO RIO GRANDE DO SUL GRAND CAYMAN BRANCH,GEORGETOWN,None
BESCKYKX,28,BANCO ESPIRITO SANTO S.A.,GEORGETOWN,None
FIBIKYKY,29,BANCO FIBRA S/A - GRAND CAYMAN BRANCH,GEORGETOWN,None
BFGCKYK1,30,BANCO FRANCES (CAYMAN) LTD.,GEORGETOWN,None
BGOSKYKY,31,BANCO GENERAL (OVERSEAS) INC.,GRAND CAYMAN,None
IDVLKYKY,32,BANCO INDUSVAL SA,GRAND CAYMAN,None
BMBRKYKY,33,BANCO MERCANTIL DO BRASIL S.A,GEORGETOWN,None
MODAKYKY,34,BANCO MODAL S.A.,GRAND CAYMAN,None
BNCEKYKX,35,BANCO NACIONAL DE COMERCIO EXTERIOR,GEORGETOWN,None
BORIKYKY,36,BANCO ORIGINAL S.A.,GEORGETOWN,None
PBBRKYKY,37,BANCO PINE S.A,GEORGETOWN,None
BPPOKYK1,38,BANCO PRIVADO PORTUGUES (CAYMAN) LIMITED,GEORGETOWN,None
REALKYK1,39,BANCO REAL GRAND CAYMAN BRANCH,GEORGETOWN,None
SAFRKYKY,40,BANCO SAFRA S.A,GRAND CAYMAN,None
BSCHKYKX,41,BANCO SANTANDER (BRASIL) SA GRAND CAYMAN BRANCH,GEORGETOWN,None
BSCHKYKXCAY,42,BANCO SANTANDER (BRASIL) SA GRAND CAYMAN BRANCH,GEORGETOWN,None
BSCHKYKXGEB,43,BANCO SANTANDER (BRASIL) SA GRAND CAYMAN BRANCH,GEORGETOWN,None
SUBRKYKY,44,BANCO SUMITOMO MITSUI BRASILEIRO S.A.,GEORGETOWN,None
BKKBKYKY,45,BANGKOK BANK PUBLIC COMPANY LIMITED,GEORGETOWN,None
DANIKYK1,46,BANK DAGANG NASIONAL INDONESIA,GEORGETOWN,None
BESKKYKY,47,BANK ESPIRITO SANTO (INTERNATIONAL) LTD,GEORGETOWN,None
POALKYK1,48,BANK HAPOALIM (CAYMAN) LIMITED,GEORGETOWN,None
BKCHKYKY,49,BANK OF CHINA, GRAND CAYMAN BRANCH,GEORGETOWN,None
NOSCKYKG,50,BANK OF NOVA SCOTIA,GEORGETOWN,None
BRINKYKX,51,BANK RAKYAT INDONESIA,GEORGETOWN,None
