swift_code,id,bank,city,branch
HLALKZKZ,1,AL HILAL ISLAMIC BANK JSC,ALMATY,None
ALFAKZKA,2,ALFA BANK JSC SB,ALMATY,None
LARIKZKA,3,ASIACREDIT BANK,ALMATY,None
ALMNKZKA,4,ATFBANK JSC,ALMATY,None
ALMNKZKATRE,5,ATFBANK JSC,ALMATY,None
KSNVKZKA,6,BANK KASSA NOVA,ASTANA,None
ASFBKZKA,7,BANK OF ASTANA JSC,ALMATY,None
BKCHKZKA,8,BANK OF CHINA KAZAKHSTAN,ALMATY,None
KINCKZKA,9,BANK RBK,ALMATY,None
BATSKZK1,10,BRITISH AMERICAN TOBACCO KAZAKHSTAN TRADING LLP,ALMATY,None
XKAZKZK1,11,CENTRAL ASIAN STOCK EXCHANGE,ALMATY,None
CEDUKZKA,12,CENTRAL SECURITIES DEPOSITORY, JSC,ALMATY,None
CHASKZK1,13,CHASE MANHATTAN BANK,ALMATY,None
CITIKZX1TRD,14,CJSC CITIBANK KAZAKHSTAN,ALMATY,(TRADE SERVICES DEPT.)
CITIKZKA,15,CJSC CITIBANK KAZAKHSTAN,ALMATY,None
CRAYKZK1,16,CREDIT ALTYN BANK,ALMATY,None
NFBAKZ23,17,DELTA BANK, JSC,ALMATY,None
DVKAKZKA,18,DEVELOPMENT BANK OF KAZAKHSTAN JSC,ASTANA,None
EURIKZKA,19,EURASIAN BANK,ALMATY,None
EABRKZKAACF,20,EURASIAN DEVELOPMENT BANK,ALMATY,(EURASIAN FUND FOR STABILIZATION AND DEVELOPMENT)
EABRKZKA,21,EURASIAN DEVELOPMENT BANK,ALMATY,None
EXKAKZKA,22,EXIMBANK KAZAKHSTAN JOINT-STOCK COMPANY,ALMATY,None
INKZKZK1,23,EXPRESS BANK JSC,ALMATY,None
IRTYKZKA001,24,FORTEBANK JSC,ALMATY,None
IRTYKZKA,25,FORTEBANK JSC,ASTANA,None
HALYKZK1,26,HALYK BANK,ALMATY,None
HSBKKZKXTSY,27,HALYK SAVINGS BANK OF KAZAKSTAN,ALMATY,(TREASURY DEPARTMENT)
HSBKKZKX,28,HALYK SAVINGS BANK OF KAZAKSTAN,ALMATY,None
HSBCKZB1,29,HSBC SECURITIES KAZAKHSTAN LLP,ALMATY,None
ICBKKZKX,30,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,ALMATY,None
INIYKZ21,31,INTERNATIONAL SCIENCE AND TECHOLOGY CENTER,ASTANA,None
HCSKKZKA,32,JOINT STOCK COMPANY HOUSE CONSTRUCTION SAVINGS BANK OF KAZAKHSTAN,ALMATY,None
ATYNKZKA,33,JSC 'ALTYN BANK' (SB OF JSC 'HALYK BANK'),ALMATY,None
KCJBKZK1AKT,34,JSC 'BANK CENTERCREDIT',AKTAU,(AKTAU BRANCH)
KCJBKZK1ATB,35,JSC 'BANK CENTERCREDIT',AKTOBE,(AKTOBE BRANCH)
KCJBKZK1ALM,36,JSC 'BANK CENTERCREDIT',ALMATY,(ALMATY BRANCH)
KCJBKZK1AOF,37,JSC 'BANK CENTERCREDIT',ALMATY,(ALMATY REGIONAL BRANCH)
KCJBKZKX,38,JSC 'BANK CENTERCREDIT',ALMATY,None
KCJBKZK1AST,39,JSC 'BANK CENTERCREDIT',ASTANA,(ASTANA BRANCH)
