swift_code,id,bank,city,branch
ACLBLALA,1,ACLEDA BANK (LAO) LTD,VIENTIANE,None
AGPBLALA,2,AGRICULTURAL PROMOTION BANK,VIENTIANE,None
ANZBLALA,3,ANZ BANK (LAO) LIMITED,VIENTIANE,None
BKKBLALA,4,BANGKOK BANK PLC, VIENTIANE BRANCH,VIENTIANE,None
AYUDLALA,5,BANK OF AYUDHYA PCL VIENTIANE BRANCH,VIENTIANE,None
BKCHLALA,6,BANK OF CHINA LIMITED VIENTIANE BRANCH,VIENTIANE,None
LPDRLALA,7,BANK OF THE LAO P.D.R.,VIENTIANE,None
BFLLLALA,8,BANQUE FRANCO-LAO LTD,VIENTIANE,None
COEBLALAKMN,9,BANQUE POUR LE COMMERCE EXTERIEUR LAO PUBLIC,KHAMMOUANE,(KHAMMOUANE BRANCH)
COEBLALALNT,10,BANQUE POUR LE COMMERCE EXTERIEUR LAO PUBLIC,LUANGNAMTHA,(LUANGNAMTHA BRANCH)
COEBLALALBP,11,BANQUE POUR LE COMMERCE EXTERIEUR LAO PUBLIC,LUANGPRABANG,(LUANGPRABANG BRANCH)
COEBLALAODX,12,BANQUE POUR LE COMMERCE EXTERIEUR LAO PUBLIC,OUDOMXAY,(OUDOMXAY BRANCH)
COEBLALACPS,13,BANQUE POUR LE COMMERCE EXTERIEUR LAO PUBLIC,PAKSE,(CHAMPASACK BRANCH)
COEBLALASVN,14,BANQUE POUR LE COMMERCE EXTERIEUR LAO PUBLIC,SAVANNAKHET,(SAVANNAKHET BRANCH)
COEBLALA,15,BANQUE POUR LE COMMERCE EXTERIEUR LAO PUBLIC,VIENTIANE,None
CADILALA,16,CANADIA BANK LAO CO LTD.,VIENTIANE,None
FCBKLALA,17,FIRST COMMERCIAL BANK LTD, VIENTIANE BRANCH,VIENTIANE,None
IDCBLALA,18,INDOCHINA BANK LTD,VIENTIANE,None
ICBKLALA,19,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED VIENTIANE BRANCH,VIENTIANE,None
LICBLALA,20,INTERNATIONAL COMMERCIAL BANK (LAO) LTD,VIENTIANE,None
JDBKLALA,21,JOINT DEVELOPMENT BANK,VIENTIANE,None
KASILALA,22,KASIKORNTHAI BANK LIMITED,VIENTIANE,None
LCNBLALA,23,LAO CHINA BANK CO., LTD.,VIENTIANE,None
LCBVLALA,24,LAO CONSTRUCTION BANK,VIENTIANE,None
LCONLAL1,25,LAO CONSTRUCTION BANK LIMITED,VIENTIANE,None
LDBBLALA,26,LAO DEVELOPMENT BANK,VIENTIANE,None
SECTLA21,27,LAO SAMSUNG ELECTRONICS SOLE CO., LTD.,VIENTIANE,None
LAOVLALACPS,28,LAO-VIET BANK,CHAMPASAK,(CHAMPASAK BRANCH)
LAOVLALA,29,LAO-VIET BANK,VIENTIANE,None
MGPRLAL1,30,MAGNATE PREMIER PB LIMITED,VIENTIANE,None
MJBLLALA,31,MARUHAN JAPAN BANK LAO CO., LTD,VIENTIANE,None
MBBELALA,32,MAYBANK LAO,VIENTIANE,None
PSVBLALA,33,PHONGSAVANH BANK LTD,VIENTIANE,None
PBBELALA,34,PUBLIC BANK, VIENTIANE BRANCH, LAO P.D.R.,VIENTIANE,None
RHBBLALA,35,RHB BANK LAO LIMITED,VIENTIANE,None
SHBALALA,36,SAIGON HANOI COMMERCIAL JOINT STOCK BANK LAOS BRANCH,CHAMPASAK,None
SICOLALA,37,SIAM COMMERCIAL BANK PCL., THE,VIENTIANE,None
STBDLALA,38,ST BANK CO. LTD,VIENTIANE,None
ICBVLALA,39,VIETINBANK LAO LIMITED,VIENTIANE,None
