swift_code,id,bank,city,branch
LUOBLCLC,1,1ST NATIONAL BANK ST.LUCIA LIMITED,CASTRIES,None
NOSCLCLC,2,BANK OF NOVA SCOTIA,THE,CASTRIES,None
BOSLLCLC,3,BANK OF SAINT LUCIA LIMITED,CASTRIES,None
BKNOLCL1,4,BANKINNO INC,RODNEY BAY,None
BSLULCLC,5,BOSLIL BANK LIMITED,GROS-ISLET,None
CIPVLCL1,6,CARIBBEAN PRIVATE BANK LIMITED,CASTRIES,None
EULULCL1,7,EUROEXIM BANK (ST. LUCIA) LTD,GROS-ISLET,None
FCIBLCLC,8,FIRSTCARIBBEAN INTERNATIONAL BANK (BARBADOS) LIMITED,CASTRIES,None
GVLCLCLC,9,GOVERNMENT OF SAINT LUCIA,CASTRIES,None
HEMMLCL2,10,HERMES BANK LIMITED,GROS-ISLET,None
PTRVLCLC,11,PETRUS PRIVATE BANK,CASTRIES,None
PLGCLCLC,12,PLG CAPITAL BANK LTD,CASTRIES,None
ROYCLCLC,13,ROYAL BANK OF CANADA,CASTRIES,None
STTTLCLC,14,STATETRUST BANK AND TRUST LTD.,CASTRIES,None
