swift_code,id,bank,city,branch
BAIHLI21,1,BALOISE LIFE LIECHTENSTEIN AG,BALZERS,None
BALPLI22,2,BANK ALPINUM AG,VADUZ,None
BFRILI22,3,BANK FRICK AND CO AKTIENGESELLSCHAFT,BALZERS,None
SFBALI22,4,BANQUE HAVILLAND (LIECHTENSTEIN) AG,VADUZ,None
HYIBLI22,5,BENDURA BANK AG,GAMPRIN-BENDERN,None
LPENLI21,6,CS LIFE AND PENSIONS,VADUZ,None
TLIELI21,7,CS TRUST LIECHTENSTEIN,VADUZ,None
EFGBLI22,8,EFG BANK VON ERNST AG,VADUZ,None
EMCOLI21,9,EMCORE AG,VADUZ,None
FDSFLI22,10,FDS FINANCIAL DATA SERVICES AG,VADUZ,None
GWCGLI21,11,GWS CONSULTING GMBH,BALZERS,None
HILTLI22,12,HILTI CORPORATION,SCHAAN,None
INUYLI21,13,INTEROGO TREASURY AG,VADUZ,None
INUYLI21TRE,14,INTEROGO TREASURY AG,VADUZ,None
ITATLI21,15,J AND T INTERNATIONAL ANSTALT,RUGGELL,None
SERBLI22,16,KAISER RITTER PARTNER PRIVATBANK AG,VADUZ,None
BLFLLI2X,17,LGT BANK AG,VADUZ,None
BLFLLI2XAGX,18,LGT BANK AG,VADUZ,(AGX FUNDS)
BLFLLI2X224,19,LGT BANK AG,VADUZ,(CONV SHAREKLASSE GBP)
BLFLLI2X225,20,LGT BANK AG,VADUZ,(EQ NAM SHAREKLASSE EUR)
BLFLLI2X252,21,LGT BANK AG,VADUZ,(LGT SLC EQ JP USD B)
BLFLLI2X253,22,LGT BANK AG,VADUZ,(LGT SLC EQ JP USD I1)
BLFLLI2X275,23,LGT BANK AG,VADUZ,(LGT SELECT CONVERTIBLE CHF C)
BLFLLI2X276,24,LGT BANK AG,VADUZ,(LGT SELECT CONVERTIBLE CHF I1)
BLFLLI2X279,25,LGT BANK AG,VADUZ,(LGT SELECT CONVERTIBLE EUR C)
BLFLLI2X281,26,LGT BANK AG,VADUZ,(LGT SELECT CONVERTIBLE EUR I1)
BLFLLI2X283,27,LGT BANK AG,VADUZ,(LGT SELECT CONVERTIBLE GBP C)
BLFLLI2X314,28,LGT BANK AG,VADUZ,(LGT SELECT CONVERTIBLE GBP I1)
BLFLLI2X315,29,LGT BANK AG,VADUZ,(LGT SELECT EQUITY JAPAN USD C)
BLFLLI2X495,30,LGT BANK AG,VADUZ,(M-M CONV. SHAREKLASSE EUR)
BLFLLI2X496,31,LGT BANK AG,VADUZ,(M-M CONV. SHAREKLASSE CHF)
BLFLLI2XEXC,32,LGT BANK AG,VADUZ,(EX CUSTODY)
LILALI2X,33,LIECHTENSTEINISCHE LANDESBANK AKTIENGESELLSCHAFT,VADUZ,None
NBANLI22,34,NEUE BANK AG,VADUZ,None
RAIBLI22,35,RAIFFEISEN BANK (LIECHTENSTEIN) AG,VADUZ,None
SWLCLI22,36,SWISS LIFE (LIECHTENSTEIN) AG,SCHAAN,None
NETILI21,37,THE NATIONAL EMISSIONS TRADING REGISTRY OF LIECHTENSTEIN,VADUZ,None
UNIVLI22,38,UNION BANK AG,VADUZ,None
VOAGLI22,39,VOLKSBANK AG,SCHAAN,None
VPBVLI2XLIC,40,VP BANK AG,TRIESEN,(BUSINESS UNIT LIECHTENSTEIN)
VPBVLI2X,41,VP BANK AG,VADUZ,None
WIBCLI21,42,WILLIAM BLAIR AND COMPANY,VADUZ,None
