swift_code,id,bank,city,branch
ACLILRLM,1,ACCESSBANK LIBERIA,MONROVIA,None
CCEILRLM,2,AFRILAND FIRST BANK LIBERIA LIMITED,MONROVIA,None
AGRCLRL1,3,AGRICULTURAL AND COOPERATIVE DEVELOMENT BANK,MONROVIA,None
CBLRLRLA,4,CENTRAL BANK OF LIBERIA,MONROVIA,None
CBLRLRLM,5,CENTRAL BANK OF LIBERIA,MONROVIA,None
CITILRL1,6,CITIBANK N.A.,MONROVIA,None
ECOCLRLM,7,ECOBANK LIBERIA LIMITED,MONROVIA,None
PHBXLRLM,8,GLOBAL BANK LIBERIA LIMITED (MEMBER BANKPHB GROUP),MONROVIA,None
GNERLRLM,9,GN BANK LIBERIA LIMITED,MONROVIA,None
GTBILRLM,10,GUARANTY TRUST BANK (LIBERIA) LIMITED,MONROVIA,None
IBLRLRLM,11,INTERNATIONAL BANK (LIBERIA) LIMITED,MONROVIA,None
LBDELRLM,12,LIBERIAN BANK FOR DEVELOPMENT AND INVESTMENT, THE,MONROVIA,None
TLTRLRL1,13,LIBERIAN TRADING AND DEVELOPMENT BANK, THE,MONROVIA,None
LIMELRL1,14,MERIDIEN BIAO BANK LIBERIA LTD,MONROVIA,None
NBLILRL1,15,NATIONAL BANK OF LIBERIA,MONROVIA,None
UNAFLRLM,16,UNITED BANK FOR AFRICA (LIBERIA) LIMITED,MONROVIA,None
WETTLRL1,17,WEST BANK4U,MONROVIA,None
