swift_code,id,bank,city,branch
INDULT2X,1,AB CITADELE BANKAS,VILNIUS,None
FNSTLTL1,2,AB FMI FINASTA,VILNIUS,None
ABFCLT21,3,ABFC FINANCE,VILNIUS,None
AKKULT21,4,AKADEMINE KREDITO UNIJA,KAUNAS,None
BKOBLT21,5,AKCIN BENDROV VB BUSTO KREDIT IR OBLIGACIJ BANKAS,VILNIUS,None
ABLPLT21,6,AKCINE BENDROVE LIETUVOS PASTAS,VILNIUS,None
AMKRLT21,7,AMBERIO KREDITAS,GARGZDAI,None
APSLLT21,8,ANTIGRAVITY PAYMENT SYSTEMS, LLC,VILNIUS,None
MULTLT2X,9,AS MERIDIAN TRADE BANK LITHUANIAN BRANCH,VILNIUS,None
IBHBLT21,10,BALTIC INVESTMENT GROUP,VILNIUS,None
BIGKLT21,11,BIGBANK AS LITHUANIA BRANCH,VILNIUS,None
BIKNLT21,12,BIRZU KREDITO UNIJA,DRUSKININKAI,None
BNFNLT21,13,BNP FINANCE, AB,VILNIUS,None
CFLZLT21,14,CITADELE FAKTORINGAS IR LIZINGAS,VILNIUS,None
CFMALT21,15,CJSC FBC MRC MARKETS,VILNIUS,None
CNUALT21,16,'CONNECTPAY' UAB,VILNIUS,None
CRVULT21,17,CORPORATE SERVICES UAB,VILNIUS,None
CRHBLT21,18,CREDITSTAR LITHUANIA, UAB,VILNIUS,None
SMPOLT22,19,DANSKE BANK A/S,LITHUANIA BRANCH,VILNIUS,None
DISTLT21,20,DISKONTAS FINANSINIO MAKLERIO UAB,PANEVEZYS,None
EKCBLT21,21,EKSPRES COMMERCIAL BANK,VILNIUS,None
EMAULT21,22,ELEKTRONINIU MOKEJIMU AGENTURA UAB,VILNIUS,None
EVUFLT21,23,EVERNORD UAB FMI,VILNIUS,None
EVSELT21,24,EVLI BANK LTD,VILNIUS,None
DVINLT21,25,FINANCIAL BROKERAGE COMPANY DV INVEST LTD,VILNIUS,None
FIHHLT21,26,FINHILL,VILNIUS,None
SPRALT21,27,FM UAB SUPREMA,VILNIUS,None
BATKLT21,28,FMI UAB BALTIC STOCKHOLM SPARKASSA,KLAIPEDA,None
STEKLT21,29,G. STEPONKAUS KONTORA FMUAB,VILNIUS,None
GRFNLT21,30,GENERAL FINANCING,VILNIUS,None
GLPELT21,31,GLOCASH PAYMENT,VILNIUS,None
GSVKLT21,32,GYVENTOJU IR SMULKAUS VERSLO KREDITO UNIJA,KAUNAS,None
IBIULT21,33,IBS LITHUANIA,VILNIUS,None
IGKULT21,34,IGNALINOS KREDITO UNIJA,IGNALINA,None
AUJALT21,35,II AUJAMA-CREDIT,KAUNAS,None
INHULT21,36,INTERNATIONAL FINTECH UAB,VILNIUS,None
IVFILT21,37,INVL FINASTA,VILNIUS,None
IDLULT21,38,IPF DIGITAL LIETUVA, UAB,VILNIUS,None
JUKULT21,39,JURBARKO KREDITO UNIJA,TAURAGE,None
KPTLLT21,40,KAPITALO SRAUTAL UAB FM,VILNIUS,None
KEKULT21,41,KELMES KREDITO UNIJA,SIAULIAI,None
KRBALT21,42,KREDITO BANKAS,VILNIUS,None
KUAMLT21,43,KREDITO UNIJA AMBER,VILNIUS,None
KUPRLT21,44,KREDITO UNIJA PANEVEZIO REGIONO TAUPOMOJI KASA,PANEVEZYS,None
KUSRLT21,45,KREDITO UNIJA SOSTINES KREDITAS,VILNIUS,None
KUVKLT21,46,KREDITO UNIJA VILNIAUS KREDITAS,TRAKAI,None
KRUZLT21,47,KREDITO UNIJA ZANAVYKU BANKELIS,SAKIAI,None
LLUALT21,48,LATEKO LIZINGAS, UAB,VILNIUS,None
LIABLT2XMMS,49,LIETUVOS BANKAS (BANK OF LITHUANIA),VILNIUS,(BANKING SERVICE)
LIABLT2XSNO,50,LIETUVOS BANKAS (BANK OF LITHUANIA),VILNIUS,(INFORMATION SERVICE)
LIABLT2XMSD,51,LIETUVOS BANKAS (BANK OF LITHUANIA),VILNIUS,(PAYMENT SYSTEMS DEPARTMENT)
LIABLT2XCON,52,LIETUVOS BANKAS (BANK OF LITHUANIA),VILNIUS,(TARGET2 CONTINGENCY)
LIABLT2X,53,LIETUVOS BANKAS (BANK OF LITHUANIA),VILNIUS,None
LIABLT2XPAY,54,LIETUVOS BANKAS (BANK OF LITHUANIA),VILNIUS,None
CSDLLT22RTG,55,LIETUVOS CENTRINIS VERTYBINIU POPIERIU DEPOZITORIUMAS, AB (CENTRAL SECURITIES DEPOSITORY OF LITHUANIA),VILNIUS,(PM)
CSDLLT22,56,LIETUVOS CENTRINIS VERTYBINIU POPIERIU DEPOZITORIUMAS, AB (CENTRAL SECURITIES DEPOSITORY OF LITHUANIA),VILNIUS,None
CSDLLT22577,57,LIETUVOS CENTRINIS VERTYBINIU POPIERIU DEPOZITORIUMAS, AB (CENTRAL SECURITIES DEPOSITORY OF LITHUANIA),VILNIUS,None
LCKULT22,58,LITHUANIAN CENTRAL CREDIT UNION,KAUNAS,None
LTKULT21,59,LTL KREDITO UNIJA,VILNIUS,None
AGBLLT2XTGT,60,LUMINOR BANK AB (FORMER AB DNB BANKAS LITHUANIA),VILNIUS,(FOR MINIMUM RESERVES AT CENTRAL BANK)
AGBLLT2X,61,LUMINOR BANK AB (FORMER AB DNB BANKAS LITHUANIA),VILNIUS,None
NDEALT2X,62,LUMINOR BANK AB (FORMER NORDEA BANK AB LITHUANIA),VILNIUS,None
MAABLT21,63,MAJESTIC FINANCIAL UAB,VILNIUS,None
MBSULT21,64,METASITE BUSINESS SOLUTIONS, UAB,VILNIUS,None
MIEGLT21,65,MISTERTANGO,VILNIUS,None
MOKZLT21,66,MOKILIZINGAS,VILNIUS,None
MMCRLT21,67,MOMENT CREDIT,VILNIUS,None
MOIULT21,68,MONETA INTERNATIONAL UAB,VILNIUS,None
INBHLT21,69,MP INVESTMENT BANK HF,VILNIUS,None
XLITLT21,70,NASDAQ OMX VILNIUS AB,VILNIUS,None
NAUVLT21,71,NAUGVILDA FMI UAB,VILNIUS,None
OKOYLT2X,72,OP CORPORATE BANK PLC LITHUANIA BRANCH,VILNIUS,None
PAKULT21,73,PAREIGUNU KREDITO UNIJA,VILNIUS,None
EVIULT21,74,PAYSERA LT UAB,VILNIUS,None
PEPGLT21,75,PERLO PASLAUGOS,VILNIUS,None
PRDFLT21,76,PROVIDENT FINANSAI,VILNIUS,None
RAKNLT21,77,RASEINIU KREDITO UNIJA,RASEINIAI,None
VRKULT21,78,RATO KREDITO UNIJA,VILNIUS,None
RNUALT21,79,RENTION UAB,VILNIUS,None
RETBLT21,80,REVOLUT TECHNOLOGIES UAB,VILNIUS,None
LIZGLT21,81,SB LIZINGAS,KAUNAS,None
CBVILT2X,82,SEB BANK,VILNIUS,None
SENULT21,83,SEB ENSKILDA UAB,VILNIUS,None
SESOLT21,84,SEVEN SEAS EUROPE,VILNIUS,None
