swift_code,id,bank,city,branch
CTLSLUL1,1,3 CAPITAL TRADING (LUXEMBOURG) SARL,LUXEMBOURG,None
ABLVLULL,2,ABLV BANK LUXEMBOURG S.A.,LUXEMBOURG,None
ABNALU2A,3,ABN AMRO BANK LUXEMBOURG S.A.,LUXEMBOURG,None
AHLULUL2,4,ACCOR HOTELS LUXEMBOURG S.A.,LIVANGE,None
ACMFLUL1,5,ACM FUND SERVICES S.A.,LUXEMBOURG,None
SIVALUL1,6,AD SICAV,LUXEMBOURG,None
ADVZLULL,7,ADVANZIA BANK S.A.,MUNSBACH,None
AIGNLUL1,8,AETNA INTERNATIONAL GLOBAL INVESTMENT SERVICES,LUXEMBOURG,None
ABOCLULB,9,AGRICULTURAL BANK OF CHINA (LUXEMBOURG) BRANCH,LUXEMBOURG,None
ABOCLULL,10,AGRICULTURAL BANK OF CHINA (LUXEMBOURG) S.A.,LUXEMBOURG,None
AILULUL1,11,AISM LUXEMBOURG,LUXEMBOURG,None
ALUALUL1,12,ALCEDA FUND MANAGEMENT S.A,SENNINGERBERG,None
ATCLLUL1,13,ALL TRADING COFIDEM LUXEMBOURG S.A.,LUXEMBOURG,None
ALLOLUL1,14,ALLEGRO S.A R.L.,LUXEMBOURG,None
ALLFLULL,15,ALLFUNDS BANK INTERNATIONAL S.A.,LUXEMBOURG,None
ALOVLUL1,16,ALPHA ONE SICAV-FIS,LUXEMBOURG,None
AWMULUL1,17,ALPHA WEALTH MANAGEMENT LUXEMBOURG S.A.,LUXEMBOURG,None
AEUSLUL1,18,AMAZON PAYMENTS EUROPE S.C.A,LUXEMBOURG,None
AAMALULL,19,ANDBANK ASSET MANAGEMENT LUXEMBOURG,LUXEMBOURG,None
BACALULL,20,ANDBANK LUXEMBOURG S.A.,LUXEMBOURG,None
ANCILUL1,21,ANOA CAPITAL S.A.,LUXEMBOURG,None
ANANLULL,22,ANPHIKO ASSET MANAGEMENT S.A.,CAPELLEN,None
APAMLULL,23,APERAM TREASURY SCA,LUXEMBOURG,None
AFSXLUL1,24,APEX FUNDS SERVICES LUXEMBOURG,LUXEMBOURG,None
ARBILUL1,25,ARBITRAGE CHANGE S.A.,LUXEMBOURG,None
USINLUL1,26,ARCELORMITTAL,LUXEMBOURG,None
ARLULUL1,27,ARGENTABANK LUXEMBOURG S.A.,LUXEMBOURG,None
SCBALUL1,28,ARPEGGIO INVESTMENT CORPORATION,LUXEMBOURG,None
