swift_code,id,bank,city,branch
TAPSLV21,1,A/S SAULES INVESTICIJAS,RIGA,None
ABCRLV21,2,AB.LV CAPITAL MARKETS,RIGA,None
AIZKLV22,3,ABLV BANK, AS,RIGA,None
ALFPLV21,4,ALFAPAY,RIGA,None
BLPBLV21,5,AS BALTIJAS PRIVATBANKA,RIGA,None
CBBRLV22,6,AS BLUEORANGE BANK,RIGA,None
LATCLV22,7,AS EXPOBANK (FORMERLY AS LTB BANK),RIGA,None
IRCALV21,8,AS IBS RENESOURCE CAPITAL,RIGA,None
MULTLV2X,9,AS MERIDIAN TRADE BANK,RIGA,None
PRTTLV22,10,AS 'PRIVATBANK',RIGA,None
BLIBLV22,11,BALTIC INTERNATIONAL BANK,RIGA,None
BLOILV21,12,BALTICPAY CORPORATION SIA,RIGA,None
LACBLV2XCCB,13,BANK OF LATVIA,RIGA,(CCBM OPERATIONS)
LACBLV2XAMS,14,BANK OF LATVIA,RIGA,(INSTANT PAYMENTS)
LACBLV2X,15,BANK OF LATVIA,RIGA,None
BIGKLV21,16,BIGBANK AS LATVIA BRANCH,RIGA,None
MARALV22,17,DANSKE BANK A/S,LATVIJA BRANCH,RIGA,None
DEAFLV21,18,DEALFIN,RIGA,None
DILFLV21,19,DILFIN,RIGA,None
DNOVLV21,20,DNOVO LTD,RIGA,None
JSSILV21,21,DUKASCOPY EUROPE IBS AS,RIGA,None
DUPYLV21,22,DUKASCOPY PAYMENTS,RIGA,None
LATSLV21,23,E LATS, SIA,RIGA,None
EPASLV22,24,EASTERN EUROPEAN PAYMENT SYSTEM SIA,RIGA,None
EVSELV21,25,EVLI BANK LTD,RIGA,None
FSECLV21,26,FINCROSS SECURITIES AS,RIGA,None
FSCELV22,27,FSC EU SIA,RIGA,None
GOSBLV21,28,GLOBAL OVERSEAS BANK A.D.,RIGA,None
PARXLV22,29,JSC CITADELE BANKA,RIGA,None
LPNSLV21,30,JSC LATVIAN POST,RIGA,None
KKSDLV21,31,KOOPERATIVA KRAJAIZDEVU SABIEDRIBA 'DZELZCELNIEKS KS',RIGA,None
LFIKLV21,32,LATGALES FINANSU UN INVESTICIJU KOMPANIJA AS,REZEKNE,None
LAPBLV2X,33,LATVIJAS PASTA BANKA,RIGA,None
LIBCLV21,34,LLC INVESTMENT BROKERAGE COMPANY 'MAXIMUS CAPITAL MARKETS',RIGA,None
LKJFLV21,35,LTFJA KKS JURNIEKU FORUMS,RIGA,None
NDEALV2X,36,LUMINOR BANK AS LATVIA (FORMER NORDEA BANK AB LATVIA),RIGA,None
RIKOLV2X,37,LUMINOR BANK AS, LATVIA (FORMER AS DNB BANKA),RIGA,None
MOXSLV21,38,MONEY EXPRESS SIA,RIGA,None
LCDELV22,39,NASDAQ CSD SE,RIGA,None
NIXGLV21,40,NIXGROUP,RIGA,None
LATBLV22,41,NORVIK BANKA, JSC,RIGA,None
OKBALV21,42,OGRES KOMERCBANKA,RIGA,None
OKOYLV2X,43,OP CORPORATE BANK PLC LATVIA BRANCH,RIGA,None
PAYELV21,44,PAYSERA LT,RIGA,None
QWESLV21,45,QIWI WALLET EUROPE SIA FLOOR 1,RIGA,None
RIBRLV22,46,REGIONALA INVESTICIJU BANKA,RIGA,None
RTMBLV2X,47,RIETUMU BANKA,RIGA,None
XRISLV21,48,RIGA STOCK EXCHANGE,RIGA,None
RGNSLV22,49,RIGENSIS BANK AS,RIGA,None
SECTLV21,50,SAMSUNG ELECTRONICS BALTICS,RIGA,None
SECTLV21961,51,SAMSUNG ELECTRONICS BALTICS,RIGA,None
PAEXLV21,52,SC PAREX BANKA,RIGA,None
UNLALV2X,53,SEB BANKA,RIGA,None
SIAFLV21,54,SIA ABA FINANCE,RIGA,None
SIDILV21,55,SIA DIXIPAY,RIGA,None
SEFMLV2X,56,SIA 'SEMFOPAY',RIGA,None
TPROLV22,57,SIA TRANSACT PRO,RIGA,None
FRDLLV22,58,SIA WORLDLINE LATVIA,RIGA,None
LLBBLV2X,59,SIGNET BANK AS,RIGA,None
SIAILV21,60,STEITS, SIA,RIGA,None
SPRALV21,61,SUPREMA AS,RIGA,None
HANDLV22,62,SVENSKA HANDELSBANKEN AB LATVIAN BRANCH,RIGA,None
HABALV22,63,SWEDBANK AS,RIGA,None
TRRSLV21,64,TRANSFERMONEY SIA,RIGA,None
TRSFLV21,65,TRANSFERTA,RIGA,None
TRELLV22,66,TREASURY OF THE REPUBLIC OF LATVIA, THE,RIGA,None
WOSILV21,67,WOT, SIA,RIGA,None
OPAYLV21,68,XOPAY, SIA,RIGA,None
