swift_code,id,bank,city,branch
ALWFLYLT,1,AL WAFA BANK,TRIPOLI,None
EJABLYLX,2,ALEJMA'A ALARABI BANK,BENGHAZI,None
WAHALYLX,3,ALWAHA BANK - TRIPOLI LY,TRIPOLI,None
ABCNLYLT015,4,AMAN BANK FOR COMMERCE AND INVESTMENT,BENGHAZI,(BENGHAZI BRANCH)
ABCNLYLT,5,AMAN BANK FOR COMMERCE AND INVESTMENT,TRIPOLI,None
ABCNLYLT017,6,AMAN BANK FOR COMMERCE AND INVESTMENT,TRIPOLI,None
ACOMLYLT,7,ARAB COMMERCIAL BANK,TRIPOLI,None
ATIBLYLT,8,ASSARAY TRADE AND INVESTMENT BANK,TRIPOLI,None
CDBLLYLT101,9,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),AL KHUMS,(AL KOMS BRANCH)
CDBLLYLT114,10,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),BENGHAZI,(AL HAWARY)
CDBLLYLT011,11,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),BENGHAZI,(BENGHAZI MAIN BRANCH)
CDBLLYLT013,12,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),BENGHAZI,(BENINA AIRPORT AGENCY)
CDBLLYLT018,13,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),BENGHAZI,(CHILDREN AGENCY)
CDBLLYLT015,14,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),BENGHAZI,(EL BERKA AGENCY)
CDBLLYLT111,15,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),BENGHAZI,(EL FOHIT AGENCY)
CDBLLYLT012,16,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),BENGHAZI,(EL FOROSIA AGENCY)
CDBLLYLT017,17,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),BENGHAZI,(GARDEN CITY AGENCY)
CDBLLYLT014,18,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),BENGHAZI,(ISLAMIC CALL AGENCY)
CDBLLYLT124,19,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),BENGHAZI,(MOBILE BANK)
CDBLLYLT112,20,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),BENGHAZI,(TWENTY STREET AGENCY)
CDBLLYLT,21,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),BENGHAZI,None
CDBLLYLT091,22,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),DERNA,(DRNA BRANCH)
CDBLLYLT019,23,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),EJDABIA,(EJDABIA BRANCH)
CDBLLYLT061,24,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),EL BIEDA,(EL BIEDA MAIN BRANCH)
CDBLLYLT051,25,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),EL ZAWIA,(EL ZAWIA MAIN BRANCH)
CDBLLYLT042,26,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),EMSSAED,(EMSSAED AGENCY)
CDBLLYLT032,27,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),MISURATA,(AFRICA AGENCY)
CDBLLYLT031,28,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),MISURATA,(MISURATA MAIN BRANCH)
CDBLLYLT081,29,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),SIRTE,(SIRTE MAIN BRANCH)
CDBLLYLT041,30,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),TOBRUK,(TOBRUK MAIN BRANCH)
CDBLLYLT223,31,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),TRIPOLI,(BEN ASHOWR)
CDBLLYLT026,32,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),TRIPOLI,(DAT EL IMAD AGENCY)
CDBLLYLT023,33,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),TRIPOLI,(EL FATEH TOWER AGENCY)
CDBLLYLT029,34,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),TRIPOLI,(EL MADAR AGENCY)
CDBLLYLT025,35,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),TRIPOLI,(GERGARISH AGENCY)
CDBLLYLT022,36,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),TRIPOLI,(GOUT AL SHAAL AGENCY)
CDBLLYLT027,37,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),TRIPOLI,(GRAND HOTEL AGENCY)
CDBLLYLT221,38,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),TRIPOLI,(SOUK EL GOUMA AGENCY)
CDBLLYLT222,39,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),TRIPOLI,(TAGORA BRANCH)
CDBLLYLT021,40,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),TRIPOLI,(TRIPOLI MAIN BRANCH)
CDBLLYLT071,41,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),ZLITEN,(ZLITEN MAIN BRANCH)
CDBLLYLT052,42,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.),ZWARA,(ZWARA MAIN BRANCH)
