swift_code,id,bank,city,branch
ABBMMAMC,1,AL BARID BANK,RABAT,None
ARABMAMC250,2,ARAB BANK PLC,MARRAKECH,(MARRAKECH BRANCH)
ARABMAMC260,3,ARAB BANK PLC.,AGADIR,None
ARABMAM10M4,4,ARAB BANK PLC.,CASABLANCA,(AL FIDA AVENUE BRANCH)
ARABMAMC210,5,ARAB BANK PLC.,CASABLANCA,(MAIN BRANCH)
ARABMAMC,6,ARAB BANK PLC.,CASABLANCA,None
ARABMAMC240,7,ARAB BANK PLC.,FES,None
ARABMAMC221,8,ARAB BANK PLC.,RABAT,(AGDAL BRANCH)
ARABMAMC220,9,ARAB BANK PLC.,RABAT,None
ARABMAMC230,10,ARAB BANK PLC.,TANGER,None
AIBSMAMT,11,ATTIJARI INTERNATIONAL BANK S.A. - BANQUE OFF SHORE,TANGER,None
BCMAMAMCATI,12,ATTIJARIWAFA BANK (FORMERLY BANQUE COMMERCIALE DU MAROC),CASABLANCA,(ATTIJARI INTERMEDIATION)
BCMAMAMCBAS,13,ATTIJARIWAFA BANK (FORMERLY BANQUE COMMERCIALE DU MAROC),CASABLANCA,(BCMAMAMCBAS)
BCMAMAMCDEV,14,ATTIJARIWAFA BANK (FORMERLY BANQUE COMMERCIALE DU MAROC),CASABLANCA,(BRANCH CTN DEVISE)
BCMAMAMC,15,ATTIJARIWAFA BANK (FORMERLY BANQUE COMMERCIALE DU MAROC),CASABLANCA,None
BSABMAMC,16,BANCO DE SABADELL, S.A.,CASABLANCA,None
BKAMMAMR,17,BANK AL-MAGHRIB,RABAT,None
BCPOMAMCBKO,18,BANQUE CENTRALE POPULAIRE,CASABLANCA,(DEPT. BACK OFFICE)
BCPOMAMCMON,19,BANQUE CENTRALE POPULAIRE,CASABLANCA,(DEPT. MONETIQUES)
BCPOMAMCREC,20,BANQUE CENTRALE POPULAIRE,CASABLANCA,(DEPT. RECONCILIATION)
BCPOMAMCDOC,21,BANQUE CENTRALE POPULAIRE,CASABLANCA,(SCE. DOCUMENTAIRE)
BCPOMAMCFIN,22,BANQUE CENTRALE POPULAIRE,CASABLANCA,(SCE. FINANCIER)
BCPOMAMCMRE,23,BANQUE CENTRALE POPULAIRE,CASABLANCA,(TRANFERTS DES MAROCAINS RESIDANTS A L'ETRANGER)
BCPOMAMCYSR,24,BANQUE CENTRALE POPULAIRE,CASABLANCA,(YSR)
BCPOMAMC,25,BANQUE CENTRALE POPULAIRE,CASABLANCA,None
BCPOMAMCCIB,26,BANQUE CENTRALE POPULAIRE,TANGER,(OFFSHORE BRANCH, TANGIER)
BMCEMAMCCOR,27,BANQUE MAROCAINE DU COMMERCE EXTERIEUR,CASABLANCA,(AGENCE CORPORATE)
