swift_code,id,bank,city,branch
BACAMCMC,1,ANDBANC MONACO SAM,MONACO,None
MMSEMCM1,2,BANCA MARTIN MAUREL SELLA,MONACO,None
POSOMCM1,3,BANCA POPOLARE DI SONDRIO (SUISSE) SA,MONACO,None
ERMOMCM1,4,BANK VON ERNST (MONACO),MONACO,None
HAVLMCMX,5,BANQUE HAVILLAND (MONACO) S.A.M.,MONACO,None
HAVLMCMXBDF,6,BANQUE HAVILLAND (MONACO) S.A.M.,MONACO,None
BCGMMCM1,7,BANQUE INTERNATIONALE DE CREDIT ET DE GESTION MONACO,MONACO,None
BJSBMCMXLCO,8,BANQUE J. SAFRA SARASIN (MONACO) SA,MONACO,(ONLY BANQUE DE FRANCE)
BJSBMCMX,9,BANQUE J. SAFRA SARASIN (MONACO) SA,MONACO,None
CRESMCMX,10,BANQUE JSS (MONACO) SA,MONACO,None
MAEAMCM1,11,BANQUE MARTIN MAUREL,MONACO,None
CCBPMCM1,12,BANQUE POPULAIRE MEDITERRANEE,MONACO,None
BARCMCMX,13,BARCLAYS BANK PLC MONACO,MONACO,None
BARCMCC1,14,BARCLAYS BANK S.A,MONACO,None
BECIMCM1,15,BERKELEY CAPITAL LIMITED,MONACO,None
BEHMMCMC,16,BESINS HEALTHCARE MONACO SAM,MONACO,None
BPPBMCMC,17,BNP PARIBAS WEALTH MANAGEMENT MONACO,MONACO,None
BNPAMCM1,18,BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.),MONACO,None
CEPAMCM1,19,CAISSE D'EPARGNE ET DE PREVOYANCE COTE D'AZUR - AGENCE DE MONACO,MONACO,None
CGDIMCM1,20,CAIXA GERAL DE DEPOSITOS,MONACO,None
CLSMMCM1,21,CAPITALIA LUXEMBOURG S.A.,MONACO,None
CFMOMCMX,22,CFM INDOSUEZ WEALTH,MONACO,None
AZFMMCMC,23,CGM COMPAGNIE DE GESTION PRIVEE MON EGASQUE S.A.M.,MONACO,None
CMCIMCM1BEC,24,CM-CIC MONACO,MONACO,(CM-CIC BANQUE EUROPENNE DU CREDIT MUTUEL MONACO)
CMCIMCM1SEM,25,CM-CIC MONACO,MONACO,(CM-CIC CF SUD EUROPE MEDITERRANEE)
CMCIMCM1LYB,26,CM-CIC MONACO,MONACO,(CM-CIC LYONNAISE DE BANQUE)
CMCIMCM1,27,CM-CIC MONACO,MONACO,None
CGPMMCM1,28,COMPAGNIE DE GESTION PRIVEE MONEGASQUE,MONACO,None
CMBMMCMX,29,COMPAGNIE MONEGASQUE DE BANQUE S.A.M.,MONACO,None
CMBMMCMA,30,COMPAGNIE MONEGASQUE DE BANQUE SAM,MONACO,None
AGRIMCM1,31,CREDIT AGRICOLE MONACO (CRCA PROVENCE COTE D'AZUR MONACO),MONACO,None
NORDMCM1,32,CREDIT DU NORD,MONACO,None
CMMDMCM1,33,CREDIT MOBILIER DE MONACO CMM,MONACO,None
CRSGMCM1,34,CREDIT SUISSE ASSET MANAGEMENT,MONACO,None
DIETMCMC,35,DIETSMANN MONTE CARLO SAM,MONACO,None
BERLMCMC,36,EDMOND DE ROTHSCHILD-MONACO,MONACO,None
BERLMCMCBDF,37,EDMOND DE ROTHSCHILD-MONACO,MONACO,None
EFGBMCMC,38,EFG BANK (MONACO),MONACO,None
FOSYMCMC,39,FIRST OMEGA SHIPPING INC.,MONACO,None
GNPFMCMC,40,G ET G PRIVATE FINANCE SAM,MONACO,None
BLICMCMC,41,HSBC PRIVATE BANK (MONACO) S.A. (FORMERLY HSBC REPUBLIC BANK (MONACO) S.A.),MONACO,None
BLICMCMCTSY,42,HSBC PRIVATE BANK (MONACO) S.A. (FORMERLY HSBC REPUBLIC BANK (MONACO) S.A.),MONACO,None
BAERMCMC,43,JULIUS BAER (MONACO) S.A.M.,MONACO,None
KBLXMCMC,44,KBL MONACO PRIVATE BANKERS,MONACO,None
CRLYMCM1CAE,45,LCL (LE CREDIT LYONNAIS) MONACO,MONACO,(LCL (LE CREDIT LYONNAIS) CENTRE D'AFFAIRES ENTREPRISES)
CRLYMCM1BAS,46,LCL (LE CREDIT LYONNAIS) MONACO,MONACO,(LCL (LE CREDIT LYONNAIS) MONACO BEAUX ARTS)
CRLYMCM1FVI,47,LCL (LE CREDIT LYONNAIS) MONACO,MONACO,(LCL (LE CREDIT LYONNAIS) MONACO FONTVIEILLE)
CRLYMCM1LCM,48,LCL (LE CREDIT LYONNAIS) MONACO,MONACO,(LCL (LE CREDIT LYONNAIS) MONACO LA CONDAMINE)
CRLYMCM1LMO,49,LCL (LE CREDIT LYONNAIS) MONACO,MONACO,(LCL (LE CREDIT LYONNAIS) MONACO LES MOULINS)
CRLYMCM1MCA,50,LCL (LE CREDIT LYONNAIS) MONACO,MONACO,(LCL (LE CREDIT LYONNAIS) MONTE CARLO)
CRLYMCM1,51,LCL (LE CREDIT LYONNAIS) MONACO,MONACO,None
LOYDMCM1,52,LLOYDS BANK PLC,MONACO,None
MONCMCM1,53,MONACREDIT,MONACO,None
PMMCMCMC,54,PACIFIC MANAGEMENT SAM,MONACO,None
RTLDMCMC,55,ROTHELAND S.A.M.,MONACO,None
SEUAMCM1,56,SECURITAS,MONACO,None
SGBTMCMC,57,SOCIETE GENERALE BANK AND TRUST MONACO,MONACO,None
SGTMMCM1,58,SOCIETE GENERALE BANK AND TRUST SA,MONACO,None
SOGEMCM1,59,SOCIETE GENERALE MONTE CARLO,MONACO,None
SMCTMCM1P04,60,SOCIETE MARSEILLAISE DE CREDIT,MONACO,(AG FONTVIEILLE)
SMCTMCM1P02,61,SOCIETE MARSEILLAISE DE CREDIT,MONACO,(AG MONTE CARLO)
SMCTMCM1,62,SOCIETE MARSEILLAISE DE CREDIT,MONACO,None
SOMCMCM1,63,SOCIETE MONEGASQUE DE CREDIT,MONACO,None
SFMCMCM1,64,STE FIRE MONEGASQUE DE CREDIT-COGENEC,MONACO,None
UBSWMCMX,65,UBS (MONACO) S.A.,MONACO,None
UBPGMCMX,66,UNION BANCAIRE PRIVEE, UBP SA,MONACO,None
UNEUMCM1,67,UNITED EUROPEAN BANK,MONACO,None
VENUMCMC,68,VENUS MANAGEMENT COMPANY S.A.M.,MONACO,None
