swift_code,id,bank,city,branch
ARLCMD2X,1,ARTOSIS LLC,CHISINAU,None
CMTBMD2X,2,BANCA COMERCIALA 'COMERTBANK' S.A.,CHISINAU,None
EXMMMD22,3,BANCA COMERCIALA EXIMBANK-GRUPPO VENETO BANCA S.A.,CHISINAU,None
FTMDMD2X,4,BANCA DE FINANTE SI COMERT S.A. (FINCOMBANK S.A.),CHISINAU,None
ENEGMD22,5,BC ENERGBANK S.A.,CHISINAU,None
ECBMMD2X,6,BC EUROCREDITBANK S.A.,CHISINAU,None
MOBBMD22,7,BC 'MOBIASBANCA-GROUPE SOCIETE GENERALE' S.A.,CHISINAU,None
AGRNMD2X,8,BC MOLDOVA - AGROINDBANK S.A.,CHISINAU,None
PRCBMD22,9,BC PROCREDIT BANK S.A.,CHISINAU,None
BENRMD21,10,BENDERYSOCBANK,BENDERY,None
AGRRMD21BEN,11,CJSC AGROPROMBANK',BENDERY,(BENDERY BRANCH)
AGRRMD21DNK,12,CJSC AGROPROMBANK',DNESTROVSK,(DNESTROVSK BRANCH)
AGRRMD21DUB,13,CJSC AGROPROMBANK',DUBOSSARY,(DUBOSSARY BRANCH)
AGRRMD21GRI,14,CJSC AGROPROMBANK',GRIGORIOPOL,(GRIGORIOPOL BRANCH)
AGRRMD21KAM,15,CJSC AGROPROMBANK',KAMENKA,(KAMENKA BRANCH)
AGRRMD21RYB,16,CJSC AGROPROMBANK',RYBNITSA,(RYBNITSA BRANCH)
AGRRMD21SLB,17,CJSC AGROPROMBANK',SLOBODZEYA,(SLOBODZEYA BRANCH)
AGRRMD21,18,CJSC AGROPROMBANK',TIRASPOL,None
CJTIMD21,19,CJSC TIRASPROMSTROYBANK,TIRASPOL,None
CJSMMD21,20,CLOSED JOINT STOCK COMPANY (CJSC) 'TRANS-DNIESTER SAVINGS BANK' ('SBERBANK'),TIRASPOL,None
VICBMD2X,21,JOINT-STOCK COMMERCIAL VICTORIABANK,CHISINAU,None
GAJCMD21,22,JOINT-STOCK COMPANY THE EXPORT-IMPORT BANK,TIRASPOL,None
IPOJMD21,23,JSCB IPOTECHNIY,TIRASPOL,None
MOLDMD2X,24,MOLDINDCONBANK,CHISINAU,None
NBMDMD2X,25,NATIONAL BANK OF MOLDOVA,CHISINAU,(HEAD OFFICE)
RNCBMD2X,26,ROMANIAN COMMERCIAL BANK CHISINAU S.A.,CHISINAU,None
PMODMD21,27,STATE ENTERPRISE 'POSTA MOLDOVEI',CHISINAU,None
PRBTMD21,28,TRANS-DNIESTER REPUBLICAN BANK,TIRASPOL,None
