swift_code,id,bank,city,branch
ABMGMGMG,1,ACCESBANQUE MADAGASCAR,ANTANANARIVO,None
AFRIMGMG,2,BANK OF AFRICA MADAGASCAR,ANTANANARIVO,None
REPUMGMGRTG,3,BANQUE CENTRALE DE MADAGASCAR,ANTANANARIVO,(RTGS BACKUP LINE)
REPUMGMG,4,BANQUE CENTRALE DE MADAGASCAR,ANTANANARIVO,None
BMOIMGMG,5,BANQUE MALGACHE DE L'OCEAN INDIEN,ANTANANARIVO,None
BSBMMGMG,6,BANQUE SBM MADAGASCAR,ANTANANARIVO,None
BFAVMGMG,7,BFV-SOCIETE GENERALE,ANTANANARIVO,None
BGFIMGMG,8,BGFIBANK MADAGASCAR,ANTANANARIVO,None
BAIMMGMG,9,BM MADAGASCAR S.A,ANTANANARIVO,None
CLMDMGMG,10,BNI MADAGASCAR,ANTANANARIVO,None
CLMDMGM10MA,11,BNI MADAGASCAR,ANTSIRANANA,None
CLMDMGM10MM,12,BNI MADAGASCAR,MAHAJANGA,None
CLMDMGM10MT,13,BNI MADAGASCAR,TOAMASINA,None
XMDGMGM1,14,MARCHE INTERBANCAIRE DES DEVISES M.I.D.,ANTANANARIVO,None
PAMLMGM1,15,PAOSITRA MALAGASY,ANTANANARIVO,None
MCBLMGMG,16,THE MAURITIUS COMMERCIAL BANK (MADAGASCAR) SA,ANTANANARIVO,None
