swift_code,id,bank,city,branch
AFRIMLBA,1,BANK OF AFRICA - MALI,BAMAKO,None
AFRIMLBA022,2,BANK OF AFRICA - MALI,BAMAKO,None
BCAOMLBAMOP,3,BANQUE (MALI) CENTRALE DES ETATS DE L'AFRIQUE ET DE L'OUEST,MOPTI,(MOPTI BRANCH)
ATMLMLBA,4,BANQUE ATLANTIQUE MALI,BAMAKO,None
BCAOMLBA,5,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST,BAMAKO,None
BCAOMLBASIK,6,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST,SIKASSO,(SIKASSO BRANCH)
ALIMMLBA,7,BANQUE COMMERCIALE DU SAHEL SA,BAMAKO,None
BDMAMLBA,8,BANQUE DE DEVELOPPEMENT DU MALI - S.A.,BAMAKO,None
BAHMMLBA,9,BANQUE DE L' HABITAT DU MALI,BAMAKO,None
BIPMMLBA,10,BANQUE INTERNATIONALE POUR LE MALI SA.,BAMAKO,None
BMSMMLBA,11,BANQUE MALIENNE DE SOLIDARITE,BAMAKO,None
BNADMLBA,12,BANQUE NATIONALE DE DEVELOPPEMENT AGRICOLE (BNDA),BAMAKO,None
BSAHMLBA,13,BANQUE SAHELO-SAHARIENNE POUR L'INVESTISSEMENT ET LE COMMERCE (MALI) S.A.,BAMAKO,None
COLIMLBA,14,BCI-MALI,BAMAKO,None
BICIMLBA,15,BICIM,BAMAKO,None
CORIMLBA,16,CORIS BANK INTERNATIONAL,BAMAKO,None
DCRBMLB1,17,DEPOSITAIRE CENTRAL/BANQUE DE REGLEMENT,BAMAKO,None
ECOCMLBA,18,ECOBANK MALI,BAMAKO,None
ORBKMLBA,19,ORABANK MALI,BAMAKO,None
UNAFMLB1,20,UBA MALI S.A,BAMAKO,None
