swift_code,id,bank,city,branch
AGDBMMMY,1,ASIA GREEN DEVELOPMENT BANK LIMITED,NAY PYI TAW,None
ANZBMMMY,2,AUSTRALIA AND NEWZEALAND BANKING GROUP LTD,YANGON,None
AYABMMMY,3,AYA BANK LIMITED,YANGON,None
AYFDMMMY,4,AYEYARWADDY FARMERS DEVELOPMENT BANK PUBLIC COMPANY LIMITED,YANGON,None
BKKBMMMY,5,BANGKOK BANK PUBLIC COMPANY LIMITED YANGON BRANCH,YANGON,None
BOTKMMMY,6,BANK OF TOKYO-MITSUBISHI UFJ, LTD.,YANGON,None
CBMYMMMY,7,CENTRAL BANK OF MYANMAR,YANGON,None
CHDDMMMY,8,CONSTRUCTION AND HOUSING DEVELOPMENT BANK LTD.,YANGON,None
CPOBMMMY,9,CO-OPERATIVE BANK LIMITED (PUBLIC BANK),YANGON,None
ESUNMMMY,10,E.SUN COMMERCIAL BANK, LTD., YANGON BRANCH,YANGON,None
FPBPMMMY,11,FIRST PRIVATE BANK LIMITED,YANGON,None
MLFBMMMY,12,GLOBAL TREASURE BANK PUBLIC COMPANY LTD,YANGON,None
ICBKMMMY,13,INDUSTRIAL AND COMMERCIAL BANK OF CHINA YANGON BRANCH,YANGON,None
BIDVMMMY,14,JOINT STOCK COMMERCIAL BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM, YANGON BRANCH.,YANGON,None
KBZBMMMYMDY,15,KANBAWZA BANK LTD,MANDALAY,(MANDALAY BRANCH)
KBZBMMMY,16,KANBAWZA BANK LTD,YANGON,None
MBBEMMMY,17,MALAYAN BANKING BERHAD YANGON BRANCH,YANGON,None
MHCBMMMY,18,MIZUHO BANK, LTD (YANGON BRANCH),YANGON,None
MMABMMMY,19,MYANMA APEX BANK LIMITED,YANGON,None
MYEBMMMYMDY,20,MYANMA ECONOMIC BANK,MANDALAY,(MEB(FOREX)MDY)
MYEBMMMYYGN,21,MYANMA ECONOMIC BANK,YANGON,(MEB(FOREX)YGN)
MYEBMMMY,22,MYANMA ECONOMIC BANK,YANGON,None
MFTBMMMY,23,MYANMA FOREIGN TRADE BANK,YANGON,None
MICBMMMYMAN,24,MYANMA INVESTMENT AND COMMERCIAL BANK,YANGON,(FULL BRANCH)
MICBMMMY,25,MYANMA INVESTMENT AND COMMERCIAL BANK,YANGON,None
MCIZMMMY,26,MYANMAR CITIZENS BANK LIMITED,YANGON,None
MYORMMMY,27,MYANMAR ORIENTAL BANK LIMITED,YANGON,None
MWDBMMMY,28,MYAWADDY BANK LIMITED,YANGON,None
OCBCMMMY,29,OCBC BANK YANGON BRANCH,YANGON,None
BAPSMMM1,30,PEOPLE'S BANK,YANGON,None
RDEVMMMY,31,RURAL DEVELOPMENT BANK LIMITED,ZABUTHIRI TOWNSHIP,None
SHBKMMMY,32,SHINHAN BANK CO., LTD. (YANGON BRANCH),YANGON,None
SRUDMMMY,33,SHWE RURAL AND URBAN DEVELOPMENT BANK,YANGON,None
MYIDMMMY,34,SMALL AND MEDIUM INDUSTRIAL DEVELOPMENT BANK,YANGON,None
SBINMMMY,35,STATE BANK OF INDIA, YANGON BRANCH,YANGON,None
SMBCMMMY,36,SUMITOMO MITSUI BANKING CORPORATION YANGON BRANCH,YANGON,None
TFBKMMMY,37,TUN COMMERCIAL BANK LTD,YANGON,None
UBUBMMM1,38,UNION OF BURMA BANK,YANGON,None
UABMMMMY,39,UNITED AMARA BANK LIMITED,YANGON,None
UOVBMMMYCMS,40,UNITED OVERSEAS BANK LIMITED, YANGON BRANCH,YANGON,(TRANSACTION BANKING)
UOVBMMMY,41,UNITED OVERSEAS BANK LIMITED, YANGON BRANCH,YANGON,None
YOMAMMMY,42,YOMA BANK LIMITED,YANGON,None
