swift_code,id,bank,city,branch
BNPAMQMX,1,BANQUE NATIONALE DE PARIS SUCCURSALE DE FORT DE FRANCE,FORT DE FRANCE,None
CCNGMQM1,2,C.C.P.B ANTILLE GUYANE,FORT DE FRANCE,None
CAEQMQM1,3,CAISSE EPARGNE MARTINIQUE,FORT DE FRANCE,None
CERIMQM1,4,CAISSE EPARGNE PREVOYANCE MARTINIQUE,FORT DE FRANCE,None
CGRLMQM1,5,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE LA MARTINIQUE ET DE LA GUYANE,LE LAMENTIN,None
AGRIMQMX,6,CREDIT AGRICOLE,FORT DE FRANCE,None
AGRIMQMXLEL,7,CREDIT AGRICOLE,LE LAMENTIN,None
CMCIMQM1,8,CREDIT MUTUEL-CAISSE FEDERALE ANTILLES GUYANE,FORT DE FRANCE,None
GBHAMQMM,9,GROUPE BERNARD HAYOT,LE LAMENTIN,None
SOGEMQM1,10,SOCIETE GENERALE DE BANQUE AUX ANTILLES,FORT DE FRANCE,None
SMFSMQM1,11,SOCIETE MARTINIQUAISE DE FINT-SOMAFI,LE LAMENTIN,None
SOAIMQM1,12,SOFIAG,FORT DE FRANCE,None
