swift_code,id,bank,city,branch
BCMAMRMR,1,ATTIJARI BANK MAURITANIE,NOUAKCHOTT,None
BMSHMRMR,2,BANQUE AL MUAMELAT AS SAHIHA,NOUAKCHOTT,None
BAAWMRMR,3,BANQUE AL WAVA MAURITANIENNE ISLAMIQUE (BAMIS),NOUAKCHOTT,None
BCEMMRMR,4,BANQUE CENTRALE DE MAURITANIE,NOUAKCHOTT,None
FIAQMRMR,5,BANQUE DES FINANCEMENTS ISLAMIQUES,NOUAKCHOTT,None
AMDHMRMR,6,BANQUE EL AMANA (BEA),NOUAKCHOTT,None
BIMMMRMR,7,BANQUE ISLAMIQUE DE MAURITANIE,NOUAKCHOTT,None
BQMIMRMR,8,BANQUE MAURITANIENNE DE L'INVESTISSEMENT,NOUAKCHOTT,None
MBICMRMR0MN,9,BANQUE MAURITANIENNE POUR LE COMMERCE INTERNATIONAL,NOUADHIBOU,None
MBICMRMR,10,BANQUE MAURITANIENNE POUR LE COMMERCE INTERNATIONAL,NOUAKCHOTT,None
BQNMMRMR,11,BANQUE NATIONALE DE MAURITANIE,NOUAKCHOTT,None
BPMAMRMR,12,BANQUE POPULAIRE DE MAURITANIE,NOUAKCHOTT,None
COLIMRMR,13,BANQUE POUR LE COMMERCE ET L'INDUSTRIE,NOUAKCHOTT,None
CZRZMRMR,14,CHINGUITTY BANK,NOUAKCHOTT,None
GBMCMRMRNDB,15,GENERALE DE BANQUE DE MAURITANIE POUR L'INVESTISSEMENT ET LE COMMERCE,NOUADHIBOU,None
GBMCMRMR,16,GENERALE DE BANQUE DE MAURITANIE POUR L'INVESTISSEMENT ET LE COMMERCE,NOUAKCHOTT,None
NBMRMRMR,17,NOUVELLE BANQUE DE MAURITANIE,NOUAKCHOTT,None
ORBKMRMR,18,ORABANK MAURITANIE,NOUAKCHOTT,None
QNBAMRMU,19,QATAR NATIONAL BANK (QNB),NOUAKCHOTT,None
BIIMMRMR,20,SOCIETE GENERALE MAURITANIE,NOUAKCHOTT,None
DEUBMRM1,21,UNION DES BANQUES DE DEVELOPPEMENT,NOUAKCHOTT,None
