swift_code,id,bank,city,branch
CPSCMTM1,1,A3E CAPITAL SICAV P.L.C.,BIRKIRKARA,None
AGRKMTMT,2,AGRIBANK PLC,LUQA,None
AKBKMTMT,3,AKBANK T.A.S. (MALTA BRANCH),ST. JULIAN'S,None
ACFCMTM1,4,AMAGIS CAPITAL FUNDS SICAV PLC,VALLETTA,None
AFSMMTM1,5,AMICORP FUND SERVICES MALTA LIMITED,TA'XBIEX,None
AMCTMTM1,6,AMSTEL CAPITAL (MALTA) LIMITED,SLIEMA,None
APMEMTM1,7,APRIL MEDITERRANEAN LIMITED,BIRKIRKARA,None
APSBMTMT,8,APS BANK LTD.,BIRKIRKARA,None
ATISMTM1,9,ATLAS INVESTMENT SERVICES LIMITED,TA'XBIEX,None
AUSVMTM1,10,AURORA SICAV PLC,VALLETTA,None
AVFUMTM1,11,AVUS FUND,BIRKIRKARA,None
AXERMTM1,12,AXERIA RE,SWIEQI,None
VALLMTMT,13,BANK OF VALLETTA P.L.C.,VALLETTA,None
BARCMTM1,14,BARCLAYS INTERNATIONAL INVESTMENTS (MALTA) LIMITED,ST. JULIAN'S,None
BNIFMTMT,15,BNF BANK PLC (FORMERLY BANIF BANK MALTA),GZIRA,None
CCUHMTMT,16,CALAMATTA CUSCHIERI INVESTMENT SERVICES LIMITED,BIRKIRKARA,None
MALTMTMTGCP,17,CENTRAL BANK OF MALTA,VALLETTA,(EUREX BRANCH ACCOUNT)
MALTMTMT,18,CENTRAL BANK OF MALTA,VALLETTA,None
CESDMTM1,19,CENTRAL SECURITIES DEPOSITORY, THE,VALLETTA,None
CIMVMTM1,20,CHARTS INVESTMENT MANAGEMENT SERVICE LIMITED,FLORIANA,None
CITCMTMT,21,CITCO CUSTODY LIMITED,VALLETTA,None
CTBEMTM1,22,COMMBANK EUROPE LTD,SLIEMA,None
FBHLMTMT,23,CREDIT EUROPE BANK N.V. MALTA BRANCH,SLIEMA,None
CRXBMTMT,24,CREDORAX BANK LIMITED,VALLETTA,None
CRFVMTM1,25,CRYSTAL FINANCE INVESTMENTS LTD.,VALLETTA,None
CSMIMTM1,26,CULTOR ASSET MANAGEMENT INTERNATIONAL LIMITED,MARSASCALA,None
CURPMTM1,27,CURMI AND PARTNERS LIMITED,TA'XBIEX,None
DBINMTM1,28,D.B.R. INVESTMENTS LIMITED,ZURRIEQ,None
ECMBMTMT,29,ECCM BANK PLC,SLIEMA,None
EFTGMTM2,30,EFT GLOBAL LIMITED,VALLETTA,None
EISIMTM1,31,EIGER SICAV PLC,VALLETTA,None
EMONMTM2,32,EMONEY PLC,SLIEMA,None
EMSYMTM1,33,EMP SYSTEMS LIMITED,SLIEMA,None
