swift_code,id,bank,city,branch
ABCKMUMU,1,ABC BANKING CORPORATION LTD,PORT LOUIS,None
AFBLMUMU101,2,AFRASIA BANK LIMITED,EBENE,(EBENE BRANCH)
AFBLMUMU,3,AFRASIA BANK LIMITED,PORT LOUIS,None
AASHMUM1,4,AFRICAN ALLIANCE STOCKBROKING HOLDINGS LIMITED,CYBER CITY,None
AXBKMUMU,5,AXYS LEASING LTD,PORT LOUIS,None
AXSOMUM1,6,AXYS STOCKBROKING LTD,PORT LOUIS,None
BARBMUMUOBU,7,BANK OF BARODA,PORT LOUIS,(OFFSHORE BANKING UNIT)
BARBMUMU,8,BANK OF BARODA,PORT LOUIS,None
BKCHMUMU,9,BANK OF CHINA (MAURITIUS) LIMITED,PORT LOUIS,None
BOMMMUPG,10,BANK OF MAURITIUS,PORT LOUIS,None
BOMMMUPL,11,BANK OF MAURITIUS,PORT LOUIS,None
BKONMUMU,12,BANK ONE LTD,PORT LOUIS,None
BAIMMUMU,13,BANQUE DES MASCAREIGNES LTEE,PORT LOUIS,None
BTBLMUMU,14,BANYANTREE BANK LIMITED,CYBER CITY,None
BARCMUMUMAF,15,BARCLAYS BANK MAURITIUS LTD,PORT LOUIS,(M.A.F.E.X BRANCH)
BARCMUMUOBU,16,BARCLAYS BANK MAURITIUS LTD,PORT LOUIS,(MAURITIUS OFFSHORE BANKING UNIT)
BARCMUMU,17,BARCLAYS BANK MAURITIUS LTD,PORT LOUIS,None
BATSMUM1,18,BRITISH AMERICAN TOBACCO MAURITIUS,PORT LOUIS,None
CMAKMUM1,19,CAPITAL MARKETS BROKERS LIMITED,EBENE,None
CEDTMUM1,20,CENTRAL DEPOSITORY AND SETTLEMENT CO. LTD,PORT LOUIS,None
CBCLMUMU,21,CENTURY BANKING CORPORATION LTD,PORT LOUIS,None
CGMMMUM1,22,CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED,PORT LOUIS,None
CIHAMUM1,23,CITIGROUP HOLDINGS MAURITIUS LTD,PORT LOUIS,None
CSHMMUM1,24,CITIGROUP STRATEGIC HOLDINGS MAURITIUS LTD.,PORT LOUIS,None
CLSAMUM1,25,CLSA (MAURITIUS) LIMITED,PORT LOUIS,None
DBMAMUM1,26,DBM LTD. (MAURITIUS),PORT LOUIS,None
DBMLMUMU,27,DEUTSCHE BANK (MAURITIUS) LTD,PORT LOUIS,None
DEUTMUML,28,DEUTSCHE SECURITIES MAURITIUS LTD,PORT LOUIS,None
DEIMMUMU,29,DUNEARN INVESTMENTS (MAURITIUS) PTE LTD,PORT LOUIS,None
EXONMUM1,30,EXON FINANCE LTD,PORT LOUIS,None
HABBMUMU,31,HABIB BANK LTD MAURITIUS,PORT LOUIS,None
HSBCMUMUOBU,32,HONGKONG AND SHANGHAI BANKING CORPORATION LTD., THE,EBENE,(HBMU BRANCH)
HSBCMUMU,33,HONGKONG AND SHANGHAI BANKING CORPORATION LTD., THE,EBENE,None
HUONMUM1,34,HUIZHOU ONE LIMITED,PORT LOUIS,None
IDADMUM1,35,IDFC ADVISORS LIMITED,PORT LOUIS,None
IHSAMUMU,36,IHS HOLDING LIMITED,PORT LOUIS,None
IVESMUMU,37,INVESTEC BANK (MAURITIUS) LIMITED,PORT LOUIS,None
MAVUMUM1,38,MANTARAY INVESTMENTS (MAURITIUS) PTE LTD,PORT LOUIS,None
MPCBMUMU,39,MAUBANK LTD,PORT LOUIS,None
MCSOMUM1,40,MCB STOCKBROKERS LIMITED,PORT LOUIS,None
NESCMUM1,41,NEWTON SECURITIES LTD,PORT LOUIS,None
NOMAMUMU,42,NOMURA MAURITIUS LIMITED,PORT LOUIS,None
PLOEMUM1,43,PLATINUM ONE LIMITED,PORT LOUIS,None
PLLPMUMU,44,PROVIDENCE LIFE LIMITED, PCC,EBENE,None
RICFMUM1,45,RICHEFOND LIMITED,GRAND BAY,None
INILMUMU101,46,SBI (MAURITIUS) LTD,PORT LOUIS,(WILLIAM NEWTON STREET)
INILMUMU,47,SBI (MAURITIUS) LTD,PORT LOUIS,None
STCBMUMU575,48,SBM BANK(MAURITIUS)LTD,PORT LOUIS,(CUSTODY)
STCBMUMU,49,SBM BANK(MAURITIUS)LTD,PORT LOUIS,None
KSSAMUM1,50,SPARKASSA EKONOMISK FORENING LTEE,PAMPLEMOUSSES,None
SBICMUMU,51,STANDARD BANK (MAURITIUS) LIMITED,EBENE,None
SCBLMUMUSSU,52,STANDARD CHARTERED BANK (MAURITIUS) LTD,EBENE,(SECURITIES SERVICES UNIT)
SCBLMUMU,53,STANDARD CHARTERED BANK (MAURITIUS) LTD,EBENE,None
SCBLMUMUZOP,54,STANDARD CHARTERED BANK (MAURITIUS) LTD,PORT LOUIS,(FM ASSET SERVICING)
XMAUMUM1,55,STOCK EXCHANGE OF MAURITIUS LTD, THE,PORT LOUIS,None
SGCTMUM1,56,SUPER GROUP TRADING LIMITED,PORT LOUIS,None
GENRMUM1,57,SWAN SECURITIES LTD,PORT LOUIS,None
MCBLMUMU,58,THE MAURITIUS COMMERCIAL BANK LIMITED,PORT LOUIS,None
TCILMUM1,59,THOMAS COOK (MAURITIUS) OPERATIONS COMPANY LIMITED,PORT LOUIS,None
WPBLMUMU,60,WARWYCK PRIVATE BANK LTD,PHOENIX,None
