swift_code,id,bank,city,branch
BATSMWM1,1,BRITISH AMERICAN TOBACCO (MALAWI) LTD,BLANTYRE,None
CDHIMWMW,2,CDH INVESTMENT BANK (CDHIB),BLANTYRE,None
CODHMWM1,3,CONTINENTAL DISCOUNT HOUSE LIMITED,BLANTYRE,None
ECOCMWMW,4,ECOBANK MALAWI LIMITED,BLANTYRE,None
FDHFMWMW,5,FDH BANK LIMITED,BLANTYRE,None
FIMWMWM1,6,FINCOM BANK OF MALAWI LIMITED (FINCOM),BLANTYRE,None
FDHDMWMW,7,FIRST DISCOUNT HOUSE LIMITED,BLANTYRE,None
FMERMWMW,8,FIRST MERCHANT BANK LTD., MALAWI,BLANTYRE,None
XMSWMWM1,9,MALAWI STOCK EXCHANGE,BLANTYRE,None
NBMAMWMW044,10,NATIONAL BANK OF MALAWI,BLANTYRE,(FINANCIAL MANAGEMENT SERVICES)
NBMAMWMW001,11,NATIONAL BANK OF MALAWI,BLANTYRE,(HENDERSON STREET BRANCH)
NBMAMWMW002,12,NATIONAL BANK OF MALAWI,BLANTYRE,(VICTORIA AVENUE BRANCH)
NBMAMWMW,13,NATIONAL BANK OF MALAWI,BLANTYRE,None
NBMAMWMW003,14,NATIONAL BANK OF MALAWI,CHICHIRI,(CHICHIRI BRANCH)
NBMAMWMW007,15,NATIONAL BANK OF MALAWI,LILONGWE,(CAPITAL CITY BRANCH)
NBMAMWMW008,16,NATIONAL BANK OF MALAWI,LILONGWE,(LILONGWE BRANCH)
NBMAMWMW005,17,NATIONAL BANK OF MALAWI,LIMBE,(CHURCHILL ROAD BRANCH)
NBMAMWMW004,18,NATIONAL BANK OF MALAWI,LIMBE,(CUSTOMS ROAD BRANCH)
NBSTMWMW,19,NBS BANK LIMITED,BLANTYRE,None
NEDMMWMW,20,NEDBANK (MALAWI) LIMITED,BLANTYRE,None
NFBMMWMW,21,NEW FINANCE BANK MALAWI LIMITED,LILONGWE,None
OPILMWMW,22,OPPORTUNITY INTERNATIONAL BANK OF MALAWI,LILONGWE,None
RBMAMWMWMRA,23,RESERVE BANK OF MALAWI,BLANTYRE,None
RBMAMWMW,24,RESERVE BANK OF MALAWI,LILONGWE,None
RBMAMWMWMOF,25,RESERVE BANK OF MALAWI,LILONGWE,None
SABMMWM1,26,SABMILLER MALAWI,BLANTYRE,None
SABMMWM1CPL,27,SABMILLER MALAWI,BLANTYRE,None
SABMMWM1MBL,28,SABMILLER MALAWI,BLANTYRE,None
SBICMWMX,29,STANDARD BANK LIMITED-MALAWI,LILONGWE,None
SBMWMWM1,30,STOCKBROKERS MALAWI LIMITED,BLANTYRE,None
TRETMWM1,31,TRUST SECURITIES LIMITED,BLANTYRE,None
