swift_code,id,bank,city,branch
ANTOMY21,1,A.A. ANTHONY AND CO SDN BHD,PENANG, PENANG,None
HGASMYK1,2,ABN AMRO HOARE GOVETT ASIA CLEARING SERVICES LTD.,KUALA LUMPUR,None
ISCAMYK1,3,ABRAR DISCOUNTS BERHAD,KUALA LUMPUR,None
ABFUMYK1,4,ABRAR FUTURES SDN BHD,KUALA LUMPUR,None
PHBMMYKL,5,AFFIN BANK BERHAD,KUALA LUMPUR,None
AFIDMYK1,6,AFFIN DISCOUNT BERHAD,KUALA LUMPUR,None
HIMRMYK1,7,AFFIN HWANG ASSET MANAGEMENT BERHAD,KUALA LUMPUR,None
AFUOMYK1,8,AFFIN HWANG INVESTMENT BANK BERHAD,KUALA LUMPUR,None
HDSBMY2P,9,AFFIN HWANG INVESTMENT BANK BERHAD,KUALA LUMPUR,None
AIBBMYKL,10,AFFIN ISLAMIC BANK BERHAD,KUALA LUMPUR,None
PMBBMYK1,11,AFFIN MERCHANT BANK BERHAD,KUALA LUMPUR,None
AGISMYK1,12,AGROBANK ISLAMIC,KUALA LUMPUR,None
AIBEMYK1,13,AIA BERHAD,KUALA LUMPUR,None
AIACMYK1GIO,14,AIA BHD.,KUALA LUMPUR,(GENERAL INVESTMENT OPERATIONS)
AIACMYKL,15,AIA BHD.,KUALA LUMPUR,None
AIPMMYK1,16,AIA PENSION AND ASSET MANAGEMENT SDN BHD,KUALA LUMPUR,None
ABTHMYK1,17,AL ATAS BULLION TRADING HOUSE (L) LIMITED,KUALA LUMPUR,None
ACSBMYK1,18,AL ATAS CAPITAL AND STOCK BROKERAGE HOUSE PTE LTD,LABUAN,None
RJHIMYKL,19,AL RAJHI BANKING AND INVESTMENT CORPORATION (MALAYSIA) BHD,KUALA LUMPUR,None
UIIBMYKL,20,ALKHAIR INTERNATIONAL ISLAMIC BANK BERHAD,KUALA LUMPUR,None
MFBBMYKL,21,ALLIANCE BANK MALAYSIA BERHAD,KUALA LUMPUR,None
HHBSMY41,22,ALLIANCE INTERNATIONAL BERHAD,KOTA KINABALU, SABAH,None
MBAMMY21,23,ALLIANCE INVESTMENT BANK BERHAD,KUALA LUMPUR,None
