swift_code,id,bank,city,branch
ABSANAN1,1,ABSA BANK NAMIBIA LIMITED,WINDHOEK,None
BAPANANX,2,BANCO PRIVADO ATLANTICO - EUROPA S.A., NAMIBIA BRANCH,WINDHOEK,None
BBNLNANA,3,BANK BIC NAMIBIA LIMITED,WINDHOEK,None
CBKNNANAPCH,4,BANK OF NAMIBIA,WINDHOEK,(CLEARING HOUSE)
CBKNNANX,5,BANK OF NAMIBIA,WINDHOEK,None
BWLINANXCHM,6,BANK WINDHOEK LIMITED,WINDHOEK,(GLOBAL CUSTODY BRANCH)
BWLINANX,7,BANK WINDHOEK LIMITED,WINDHOEK,None
CSIHNAN1,8,CITY SAVINGS AND INVESTMENT BANK HOLDINGS LTD.,WINDHOEK,None
FIRNNANX,9,FIRST NATIONAL BANK OF NAMIBIA LIMITED,WINDHOEK,None
FIRNNANXCUS,10,FIRST NATIONAL BANK OF NAMIBIA LIMITED,WINDHOEK,None
IHNANANX,11,INVESTMENT HOUSE NAMIBIA (PTY) LTD,WINDHOEK,None
HYSANAN1,12,INVESTMENT HOUSE NAMIBIA (PTY) LTD.,WINDHOEK,None
IJGLNANA,13,IRWIN, JACOBS, GREENE AND ASSOCIATES (PTY) LTD.,WINDHOEK,None
LFSGNANA,14,LETSHEGO BANK NAMIBIA LIMITED,WINDHOEK,None
NAMCNANX,15,NAMCLEAR (PTY) LIMITED,WINDHOEK,None
NBOENANX,16,NAMIBIA EQUITY BROKERS (PTY) LTD,WINDHOEK,None
XNAMNAN1,17,NAMIBIAN STOCK EXCHANGE,WINDHOEK,None
NEDSNANX,18,NEDBANK NAMIBIA LIMITED,WINDHOEK,None
FLMSNANX,19,SIMONIS STORM SECURITIES (PTY) LTD,WINDHOEK,None
SBNMNANXLIB,20,STANDARD BANK NAMIBIA LIMITED,WINDHOEK,(STANLIB)
SBNMNANX,21,STANDARD BANK NAMIBIA LIMITED,WINDHOEK,None
TRNANANX,22,TRUSTCO BANK NAMIBIA,WINDHOEK,None
