swift_code,id,bank,city,branch
BCADNCNN,1,BANQUE CALEDONIENNE D'INVESTISSEMENT,NOUMEA,None
CEPANCNM,2,BANQUE DE NOUVELLE CALEDONIE,NOUMEA,None
PARBNCN1,3,BANQUE PARIBAS PACIFIQUE,NOUMEA,None
BNPANCNXKOU,4,BNP PARIBAS NOUVELLE CALEDONIE NOUMEA,KOUMAC,None
BNPANCNX,5,BNP PARIBAS NOUVELLE CALEDONIE NOUMEA,NOUMEA,None
CDNCNCN1,6,CAISSE D'EPARGNE DE NOUVELLE CALEDONIE,NOUMEA,None
CDCGNCNN,7,CAISSE DES DEPOTS ET CONSIGNATIONS,NOUMEA,None
CEFNNCN1,8,CENTRE FINANCIER DE NOUMEA,NOUMEA,None
CCTCNCN1,9,CREDIT CALEDONIEN ET TAHITIEN,NOUMEA,None
CCAENCN1,10,CSSE CIT AGRICOLE MUTUEL NLLE CALEDONIE,NOUMEA,None
FPSSNCN1,11,GE FINANCEMENT PACIFIQUE SAS,NOUMEA,None
INDDNCN1,12,INSITITUT D EMISSION D OUTRE-MER,NOUMEA,None
JOGPNCN1,13,JOC GESTION PRIVEE,NOUMEA,None
NOUCNCN1,14,NOUMEA CREDIT,NOUMEA,None
OCLNNCN1,15,OCEOR LEASE NOUMEA,NOUMEA,None
SOGENCNN,16,SOCIETE GENERALE CALEDONIENNE DE BANQUE S G C B,NOUMEA,None
TRPUNCN1,17,TRESOR PUBLIC NOUMEA,NOUMEA,None
