swift_code,id,bank,city,branch
AFRINENI,1,BANK OF AFRICA NIGER,NIAMEY,None
BANENENI,2,BANQUE AGRICOLE DU NIGER,NIAMEY,None
ATNENENI,3,BANQUE ATLANTIQUE NIGER,NIAMEY,None
BCAONENIMAR,4,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST,MARADI,(MARADI BRANCH)
BCAONENI,5,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST,NIAMEY,None
BCAONENIZIN,6,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST,ZINDER,(ZINDER BRANCH)
BCDNNENI,7,BANQUE COMMERCIALE DU NIGER,NIAMEY,None
BALNNEN1,8,BANQUE COMMERCIALE DU NIGER S.A.,NIAMEY,None
BIANNENI,9,BANQUE INTERNATIONALE POUR L'AFRIQUE AU NIGER,NIAMEY,None
INNINEN1,10,BANQUE INTERNATIONALE POUR LE COMMERCE ET INDUSTRIE DU NIGER,NIAMEY,None
BICVNENI,11,BANQUE ISLAMIQUE DU NIGER POUR LE COMMERCE ET L'INVESTISSEMENT,NIAMEY,None
BRMXNENI,12,BANQUE REGIONALE DE MARCHES,NIAMEY,None
BSAHNENI,13,BANQUE SAHELO-SAHARIENNE POUR L'INVESTISSEMENT ET LE COMMERCE (NIGER) S.A.,NIAMEY,None
CBAONENI,14,CBAO GROUPE ATTIJARIWAFA BANK,NIAMEY,None
NIBANEN1,15,CITIBANK NIGERIA LIMITED,NIAMEY,None
DCRRNEN1,16,DEPOSITAIRE CENTRAL-BANQUE DE REGLEMENT (DCBR NIGER),NIAMEY,None
ECOCNENI,17,ECOBANK NIGER ECN,NIAMEY,None
ORBKNENI,18,ORABANK NIGER,NIAMEY,None
SOCNNENI,19,SOCIETE NIGERIENNE DE BANQUE,NIAMEY,None
