swift_code,id,bank,city,branch
ABNGNGLA,1,ACCESS BANK PLC,LAGOS,None
AFXMNGLA,2,AFRICAN EXPORT-IMPORT BANK,ABUJA,None
AMNGNGLA,3,ASSET MANAGEMENT CORPORATION OF NIGERIA,ABUJA,None
BBSONGL1,4,B2BSOLUTINS LTD,LAGOS,None
BOIYNGLA,5,BANK OF INDUSTRY FINANCIAL DEPARTMENT,LAGOS,None
BATSNG21,6,BRITISH AMERICAN TOBACCO (NIGERIA) LTD,LAGOS,None
BATSNGL1,7,BRITISH AMERICAN TOBACCO MARKETING NIGERIA LTD,ABUJA,None
NIGINGL1,8,BT INTERNATIONAL (NIGERIA) LTD.,LAGOS,None
BZINNGL1,9,BZX INVESTMENTS LTD,ILESHA,None
CBNINGLA,10,CENTRAL BANK OF NIGERIA,LAGOS,None
CSCYNGLA,11,CENTRAL SECURITIES CLEARING SYSTEM PLC,LAGOS,None
CHDENGL1,12,CHAPEL HILL DENHAM SECURITIES LIMITED,LAGOS,None
CITINGLATRD,13,CITIBANK NIGERIA LIMITED,LAGOS,(TRADE SERVICES DEPARTMENT)
CITINGLA,14,CITIBANK NIGERIA LIMITED,LAGOS,None
CIEHNGL1,15,CITY EXPRESS BANK LIMITED,LAGOS,None
ADHLNGLA,16,CORONATION MERCHANT BANK LIMITED,LAGOS,None
CMBBNGLA,17,CORONATION MERCHANT BANK LIMITED,LAGOS,None
CSSKNGL1,18,CSL STOCKBROKERS LIMITED,LAGOS,None
DEVCNGL1,19,DEVCOM BANK LTD,LAGOS,None
DEMBNGL1,20,DEVCOM MERCHANT BANK LTD.,LAGOS,None
DBLNNGLA,21,DIAMOND BANK PLC,LAGOS,None
ECOCNGLA,22,ECOBANK NIGERIA LIMITED,LAGOS,None
KDHLNGLA,23,FBN MERCHANT BANK LIMITED,LAGOS,None
FIDTNGLA,24,FIDELITY BANK PLC,LAGOS,None
FUMRNGL1,25,FIDELITY BANK PLC,LAGOS,None
FBNINGLAGCS,26,FIRST BANK OF NIGERIA LTD,LAGOS,(CUSTODIAN SERVICES)
FBNINGLA,27,FIRST BANK OF NIGERIA LTD,LAGOS,None
FCMBNGLAWEB,28,FIRST CITY MONUMENT BANK LIMITED,LAGOS,(ELECTRONIC BANKING)
FCMBNGLA,29,FIRST CITY MONUMENT BANK LIMITED,LAGOS,None
FIMNNGL1,30,FIRST INTERSTATE MERCHANT BANK (NIGERIA) LTD.,LAGOS,None
FOIBNGL1,31,FORTUNE INTERNATIONAL BANC PLC,LAGOS,None
FSDHNGLA,32,FSDH MERCHANT BANK LTD,LAGOS,None
GTBINGLAIFP,33,GUARANTY TRUST BANK PLC,LAGOS,(INFO POOL)
GTBINGLA,34,GUARANTY TRUST BANK PLC,LAGOS,None
GBNPNGL1,35,GULF BANK OF NIGERIA PLC,LAGOS,None
HALMNGL1,36,HALLMARK BANK PLC,LAGOS,None
HBCLNGLA,37,HERITAGE BANKING COMPANY LIMITED,LAGOS,None
IKONNGL1,38,IKON CAPITAL AFRICA LIMITED,LAGOS,None
IEFCNGL1,39,INDORAMA ELEME FERTILIZER AND CHEMICALS LIMITED,PORT HARCOURT,None
INLHNGL1,40,INDORAMA ELEME PETROCHEMICALS LIMITED,PORT HARCOURT,None
JAIZNGLA,41,JAIZ BANK PLC,ABUJA,None
PLNINGLA,42,KEYSTONE BANK LIMITED,LAGOS,None
LBNINGL1,43,LOBE BANK OF NIGERIA,LAGOS,None
MAMBNGL1,44,MANNY BANK LTD.,LAGOS,None
METMNGL1,45,METROPOLITAN BANK LTD,LAGOS,None
MOOGNGL1,46,MOBIL OIL NIGERIA PLC,LAGOS,None
KACBNG21,47,NIGERIA UNIVERSAL BANK LIMITED,KADUNA,None
KNUBNGL1022,48,NIGERIA UNIVERSAL BANK LTD.,KATSINA,None
KNUBNGL1,49,NIGERIA UNIVERSAL BANK LTD.,LAGOS,None
NEXMNGLA,50,NIGERIAN EXPORT IMPORT BANK,ABUJA,None
NIDBNGL1,51,NIGERIAN INDUSTRIAL DEVELOPMENT BANK LTD,LAGOS,None
XNSANGL1,52,NIGERIAN STOCK EXCHANGE, THE,LAGOS,None
UMPLNGLA,53,PROVIDUSBANK PLC,LAGOS,None
FIRNNGLARMS,54,RAND MERCHANT BANK NIGERIA LIMITED,LAGOS,(RMB NIGERIA STOCKBROKERS LIMITED)
FIRNNGLA,55,RAND MERCHANT BANK NIGERIA LIMITED,VICTORIA ISLAND,None
REECNGL1,56,RENAISSANCE SECURITIES (NIGERIA) LIMITED,LAGOS,None
SABMNGL1IBP,57,SABMILLER NIGERIA,ILESHA,None
SABMNGL1,58,SABMILLER NIGERIA,LAGOS,None
SABMNGL1VNL,59,SABMILLER NIGERIA,LAGOS,None
SABMNGL1IBL,60,SABMILLER NIGERIA,ONITSHA,None
SABMNGL1PBL,61,SABMILLER NIGERIA,PORT HARCOURT,None
SECTNGL1,62,SAMSUNG ELECTRONICS WEST AFRICA LIMITED,LAGOS,None
SECTNGL1701,63,SAMSUNG ELECTRONICS WEST AFRICA LIMITED,LAGOS,None
PRDTNGLA,64,SKYE BANK PLC,LAGOS,None
