swift_code,id,bank,city,branch
TRNINL21,1,2B TRADING B.V.,WEESP,None
TRNGNL21,2,323 TRADING B.V.,AMSTERDAM,None
TAAINL21,3,9STREET CAPITAL MARKETS B.V.,AMSTERDAM,None
AFSRNL21,4,AAGUS FINANCIAL SERVICES GROUP N.V.,AMERSFOORT,None
AALBNL22,5,AALBERTS INDUSTRIES N.V.,LANGBROEK,None
ABBCNL2A,6,ABB FINANCE B.V.,ROTTERDAM,None
ABNANL2AALC,7,ABN AMRO BANK N.V.,AMSTERDAM,(ASSET AND LIABILITY MANAGEMENT SUPPORT)
ABNANL2ACOL,8,ABN AMRO BANK N.V.,AMSTERDAM,(LC CLEARNET)
ABNANL2A,9,ABN AMRO BANK N.V.,AMSTERDAM,None
ABNANL2AMEL,10,ABN AMRO BANK N.V.,AMSTERDAM,None
ABNANL2APIP,11,ABN AMRO BANK N.V.,AMSTERDAM,None
ABNANL2ASFI,12,ABN AMRO BANK N.V.,AMSTERDAM,None
ABNANL2AWSS,13,ABN AMRO BANK N.V.,AMSTERDAM,None
ABNANL2AAGS,14,ABN AMRO BANK N.V.,BREDA,(AGENCY SERVICES)
ABNANL2ARET,15,ABN AMRO BANK N.V.,BREDA,(EUROCLEAR NEDERLAND RETAIL)
ABNANL2AMAR,16,ABN AMRO BANK N.V.,BREDA,(MARKETS NL DEPARTMENT)
ABNANL2ASOB,17,ABN AMRO BANK N.V.,BREDA,None
ABNANL2R,18,ABN AMRO BANK N.V.,ROTTERDAM,None
ABNCNL2ASYD,19,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,(AACB  ENTITY ROUTING: ASIA PACIFIC)
ABNCNL2ASBL,20,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,(ABNC B AND AMP.LD)
ABNCNL2ACOL,21,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,(COLLATERAL)
ABNCNL2ACBC,22,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,(CUSTODY CLEARING POOL)
ABNCNL2ACUS,23,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,(CUSTODY POOL)
ABNCNL2AENE,24,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,(ENERGY)
ABNCNL2AFND,25,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,(FUND PROCESSING)
ABNCNL2AFOR,26,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,(MARGIN ACCOUNT)
ABNCNL2ANPL,27,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,(NON POOL ACCOUNTS)
ABNCNL2ATBD,28,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,(OTHER CLIENTS)
ABNCNL2AABC,29,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,(RE AABC)
ABNCNL2AGIR,30,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,(RE DE GIRO)
ABNCNL2AHCH,31,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,(RE HCH)
ABNCNL2ALLX,32,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,(RE LELEUX)
ABNCNL2AGMK,33,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,(RE MARKETS)
ABNCNL2A,34,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,None
ABNCNL2ABIN,35,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,None
ABNCNL2AECP,36,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,None
ABNCNL2AFLR,37,ABN AMRO CLEARING BANK N.V.,AMSTERDAM,None
ABRFNL21,38,ABR FINANCIAL B.V.,AMSTERDAM,None
ACCINL21,39,ACCENT AIGU B.V.,AMSTERDAM,None
AGRVNL21,40,ACCENT GRAVE B.V.,AMSTERDAM,None
ACTONL21,41,ACCENT TONIQUE B.V.,AMSTERDAM,None
ACHLNL21,42,ACHMEA BANK HOLDING N.V.,S-GRAVENHAGE,None
AHBKNL2G,43,ACHMEA BANK NV,DEN HAAG,None
ARBNNL22,44,ACHMEA BANK NV,LEUSDEN,None
ARBNNL22BOT,45,ACHMEA BANK NV,TILBURG,(BACK OFFICE TREASURY)
SYAVNL22,46,ACHMEA INVESTMENT MANAGEMENT,ZEIST,None
SYAVNL31,47,ACHMEA INVESTMENT MANAGEMENT,ZEIST,None
ACOANL21,48,ACONA BV,AMSTERDAM,None
SNSINL2A,49,ACTIAM N.V.,UTRECHT,None
AVBGNL21,50,ADVIESBUREAU VOOR VERMOGENS-BEHEER VAN GRAFHORST B.V.,DELDEN,None
ADRBNL21,51,ADVIESGROEP REYERSEN VAN BUUREN B.V,AMSTELVEEN,None
ADYBNL2A,52,ADYEN B.V.,AMSTERDAM,None
ADYBNL2ATBE,53,ADYEN B.V.,AMSTERDAM,None
ADYENL21,54,ADYEN B.V.,AMSTERDAM,None
ADYENL2A,55,ADYEN INTERNATIONAL B.V.,AMSTERDAM,None
AEGONL2U100,56,AEGON BANK N.V.,DEN HAAG,(AEGON BANK SEPA)
