swift_code,id,bank,city,branch
SUNVNOK1,1,A. SUNDVALL A.S.,OSLO,None
AASANO21,2,AASEN SPAREBANK,ASEN,None
ABSRNOK1,3,ABG SECURITIES LIMITED,OSLO,None
AGSRNOK1,4,ABG SUNDAL COLLIER NORGE ASA,OSLO,None
AANSNO21,5,ACTA ASSET MANAGEMENT ASA,STAVANGER,None
ACBANO21,6,ACTA BANK ASA,STAVANGER,None
ACKMNOK1,7,ACTIVE KNOWLEDGE MODELING AS,LYSAKER,None
AFJONO21,8,AFJORD SPAREBANK,AFJORD,None
ALBFNOK1,9,ALFRED BERG KAPITALFORVALTNING AS,OSLO,None
ALNSNO21,10,ALLEGRO FINANS ASA,TRONDHEIM,None
ANBUNO21,11,ANDEBU SPAREBANK,ANDEBU,None
ANKENO21,12,ANKENES SPAREBANK,NARVIK,None
ARETNO21,13,ARCTIC ENERGY PARTNERS AS,TRONDHEIM,None
ARFGNOK1,14,ARCTIC FUND MANAGEMENT AS,OSLO,None
ASEANOK1,15,ARCTIC SECURITIES ASA,OSLO,None
ARENNO21,16,ARENDAL OG OMEGNS SPAREKASSE,ARENDAL,None
ASKSNO21,17,ASKIM OG SPYDEBERG SPAREBANK,ASKIM,None
ATSANOK1,18,ATLANTIC SECURITIES ASA,OSLO,None
AUSPNO21,19,AURLAND SPAREBANK,AURLAND,None
AUSNNO21,20,AURSKOG SPAREBANK,AURSKOG,None
AXSANOK1,21,AXIR ASA,OSLO,None
BLSPNO21,22,BAMBLE OG LANGESUND SPAREBANK,STATHELLE,None
NORWNOK1,23,BANK NORWEGIAN,OSLO,None
BTWONOK1,24,BANK2 ASA,OSLO,None
SIKRNOK1,25,BANKENES SIKRINGSFOND,OSLO,None
BNSSNOB1,26,BB BANK ASA,BERGEN,None
BRGPNO21,27,BERG SPAREBANK,HALDEN,None
BEBNNOB1,28,BERGEN BUNKERS AS,BERGEN,None
BCMMNOB1,29,BERGEN CAPITAL MANAGEMENT AS,BERGEN,None
BEEKNOB1,30,BERGEN ENERGI MARKETS AS,BERGEN,None
BEFONOB1,31,BERGEN FONDSMEGLERFORRETNING A/S,BERGEN,None
BIENNOK1,32,BIEN SPAREBANK AS,OSLO,None
BISNNO21,33,BIRKENES SPAREBANK,BIRKELAND,None
BJUGNO21,34,BJUGN SPAREBANK,BJUGN,None
BLSANO21,35,BLAKER SPAREBANK,SORUMSAND,None
KBNONO22,36,BNBANK ASA,TRONDHEIM,None
BNPANOKK,37,BNP PARIBAS S.A. NORWAY BRANCH,OSLO,None
BONMNOB1,38,BOREA NOTERTE MANAGEMENT AS,BERGEN,None
BFHSNO21,39,BUD FRAENA OG HUSTAD SPAREBANK,ELNESVAGEN,None
WOAMNOK1,40,C WORLDWIDE ASSET MANAGEMENT AS,OSLO,None
RRASNOK1,41,CAR ASA,OSLO,None
CANGNOK1,42,CARNEGIE A.S.,OSLO,None
CHUANOK1,43,CHRISTIANIA SECURITIES AS,OSLO,None
CITINOKX,44,CITIBANK EUROPE PLC NORWAY BRANCH,OSLO,None
CSMANO21,45,COSMOS MARKETS ASA,SANDEFJORD,None
CULTNOK1,46,CULTURA SPAREBANK,OSLO,None
DABANO22KSU,47,DANSKE BANK A/S,KRISTIANSUND N,(KRISTIANSUND)
DABANO22OSL,48,DANSKE BANK A/S,OSLO,(OSLO BRANCH)
DABANO22SKE,49,DANSKE BANK A/S,SKIEN,(SKIEN BRANCH)
DABANO22SOG,50,DANSKE BANK A/S,SOGNDAL,(SOGNDAL)
DABANO22SVG,51,DANSKE BANK A/S,STAVANGER,(STAVANGER)
DABANO22STE,52,DANSKE BANK A/S,STEINKJER,(STEINKJER)
DABANO22STJ,53,DANSKE BANK A/S,STJOERDAL,(STJOERDAL BRANCH)
DABANO22STO,54,DANSKE BANK A/S,STORD,(STORD BRANCH)
DABANO22TRM,55,DANSKE BANK A/S,TROMSOE,(TROMSOE BRANCH)
DABANO22CLS,56,DANSKE BANK A/S,TRONDHEIM,(CLS SERVICES)
DABANO22,57,DANSKE BANK A/S,TRONDHEIM,None
DIFNNOK1,58,DIALOG FINANSADGIVNING AS,OSLO,None
DNAMNOKK,59,DNB ASSET MANAGEMENT AS,OSLO,None
DNBANOKK,60,DNB BANK ASA,OSLO,None
