swift_code,id,bank,city,branch
CRGGNZ21,1,ABN AMRO CRAIGS LTD,AUCKLAND,None
ABNANZA1,2,ABN AMRO SECURITIES NZ LIMITED.,AUCKLAND,None
ACCRNZ21,3,ACCESS BROKERAGE LTD,WELLINGTON,None
ACCNNZ21,4,ACCIDENT COMPENSATION CORPORATION,WELLINGTON,None
ACCNNZ2B,5,ACCIDENT COMPENSATION CORPORATION,WELLINGTON,None
CEIINZ21,6,AI CREDIT FINANCE LIMITED,AUCKLAND,None
SSBTNZ2A,7,ALLIANT PERPETUAL,HAMILTON,None
ALNUNZ21,8,ALLOZY FINANCIAL GROUP LIMITED,AUCKLAND,None
ALIUNZ21,9,ALLOZY FINANCIAL TRUST,CHRISTCHURCH,None
ANINNZ21,10,ANTS INTERNATIONAL L.P.,AUCKLAND,None
ANZBNZ22102,11,ANZ BANK NEW ZEALAND LIMITED,AUCKLAND,(AUCKLAND CENTRAL)
ANZBNZ22797,12,ANZ BANK NEW ZEALAND LIMITED,CHRISTCHURCH,None
ANZBNZ22,13,ANZ BANK NEW ZEALAND LIMITED,WELLINGTON,None
ANZBNZ22058,14,ANZ BANK NEW ZEALAND LIMITED,WELLINGTON,None
AMCLNZ21,15,ANZ MCCAUGHAN SECURITIES (NZ) LTD,AUCKLAND,None
ANZINZ21,16,ANZ NEW ZEALAND INVESTMENTS LIMITED,AUCKLAND,None
ASBBNZ2AGRI,17,ASB BANK LIMITED,AUCKLAND,(ASB GROUP INVESTMENTS)
ASBBNZ2ACLS,18,ASB BANK LIMITED,AUCKLAND,(CLS PAYMENTS ONLY)
ASBBNZ2AFXD,19,ASB BANK LIMITED,AUCKLAND,(FOREIGN EXCHANGE)
ASBBNZ2AITS,20,ASB BANK LIMITED,AUCKLAND,(INTERNATIONAL TRADE SERVICES)
ASBBNZ2AMMD,21,ASB BANK LIMITED,AUCKLAND,(MONEY MARKET)
ASBBNZ2ASEC,22,ASB BANK LIMITED,AUCKLAND,(SECURITIES)
ASBBNZ2A,23,ASB BANK LIMITED,AUCKLAND,None
APGTNZ21,24,ASIA PACIFIC BANKING GROUP AUSTRALIA AND NEW ZEALAND,AUCKLAND,None
APFENZ21,25,ASIA PACIFIC FINANCIAL SERVICES LIMITED,WELLINGTON,None
AUSLNZ21,26,AUCKLAND SAVINGS AND LOAN LIMITED,TAURANGA,None
BALMNZ21,27,BALDWIN SMITH AND CO,BLENHEIM,None
BARBNZ2A,28,BANK OF BARODA (NEW ZELAND) LTD,AUCKLAND,None
BKCHNZ22,29,BANK OF CHINA (NEW ZEALAND) LIMITED,AUCKLAND,None
BKIDNZ2A,30,BANK OF INDIA (NEW ZEALAND) LIMITED,AUCKLAND,None
BKNZNZ22100,31,BANK OF NEW ZEALAND,AUCKLAND,(AUCKLAND)
BKNZNZ22800,32,BANK OF NEW ZEALAND,CHRISTCHURCH,(CHRISTCHURCH)
BKNZNZ22900,33,BANK OF NEW ZEALAND,DUNEDIN,(DUNEDIN)
BKNZNZ22985,34,BANK OF NEW ZEALAND,WELLINGTON,(HEAD OFFICE)
BKNZNZ22500,35,BANK OF NEW ZEALAND,WELLINGTON,(WELLINGTON)
