swift_code,id,bank,city,branch
AUBOOMRUALH,1,AHLI BANK S.A.O.G,MUSCAT,(AL HILAL)
AUBOOMRU,2,AHLI BANK S.A.O.G,RUWI,None
AAMOOMR1,3,AL AHLIA ASSET MGT CO. (SAOC),RUWI,None
ASMLOMR1,4,AL AMIN SECURITIES COMPANY LLC,RUWI,None
MFIEOMR1,5,AL MADINA FINANCIAL AND INVESTMENT SERVICES CO. (S.A.O.G),RUWI,None
QURUOMR1,6,AL QURUM INVESTMENT SERVICES (SAOC),RUWI,None
SHEAOMR1,7,AL SHALMAN SECURITIES CO (SAOG),MUTTRAH,None
SHUROMR1,8,AL SHUROOQ SECURITIES CO LLC,RUWI,None
IZZBOMRU,9,ALIZZ ISLAMIC BANK,MUSCAT,None
BDOFOMRUMIB,10,BANK DHOFAR (S.A.O.G.),RUWI,(MAISARAH ISLAMIC BANKING SERVICES)
BDOFOMRU,11,BANK DHOFAR (S.A.O.G.),RUWI,None
BDOFOMRUTFD,12,BANK DHOFAR (S.A.O.G.),RUWI,None
MELIOMRX,13,BANK MELLI IRAN,MUSCAT,None
BNZWOMRX,14,BANK NIZWA,MUSCAT,None
BARBOMMXMUT,15,BANK OF BARODA, GREATER MUTTRAH BRANCH,MUTTRAH,(MUTRAH BRANCH)
BARBOMMXSAL,16,BANK OF BARODA, GREATER MUTTRAH BRANCH,MUTTRAH,(SALALAH BRANCH)
BARBOMMX,17,BANK OF BARODA, GREATER MUTTRAH BRANCH,RUWI,None
BARBOMMXSOH,18,BANK OF BARODA, GREATER MUTTRAH BRANCH,SOHAR,(SOHAR BRANCH)
BABEOMRX,19,BANK OF BEIRUT S.A.L.- OMAN BRANCH,MUSCAT,None
BSHROMRUISL,20,BANK SOHAR S.A.O.G,RUWI,(SOHAR ISLAMIC)
BSHROMRU,21,BANK SOHAR S.A.O.G,RUWI,None
BMUSOMRXISL,22,BANKMUSCAT SAOG,MUSCAT,(ISLAMIC BANKING)
BMUSOMRX,23,BANKMUSCAT SAOG,MUSCAT,None
CBOMOMRU,24,CENTRAL BANK OF OMAN,RUWI,None
EFGHOMM1,25,EFG HERMES OMAN LLC,MUSCAT,None
FIVOOMR1,26,FINANCIAL SERVICES COMPANY SAOG,RUWI,None
NBADOMRX,27,FIRST ABU DHABI BANK (FORMERLY NATIONAL BANK OF ABU DHABI) OMAN MAIN BR,MUSCAT,None
NBADOMRXCMS,28,FIRST ABU DHABI BANK (FORMERLY NATIONAL BANK OF ABU DHABI) OMAN MAIN BR,MUTTRAH,(NATIONAL BANK OF ABU DHABI)
NBADOMRXTFO,29,FIRST ABU DHABI BANK (FORMERLY NATIONAL BANK OF ABU DHABI) OMAN MAIN BR,MUTTRAH,(TRADE FINANCE DEPARTMENT)
GFISOMR1,30,GLOBAL FINANCIAL INVESTMENTS S.A.O.G,MUSCAT,None
FISOOMR1,31,GLOBAL FINANCIAL SERVICES CO.,RUWI,None
GISCOMR1,32,GULF INVESTMENT SERVICES CO. (S.A.O.G),RUWI,None
HBZUOMM1,33,HABIB BANK LIMITED,MUTTRAH,None
HABBOMRX,34,HABIB BANK OMAN,RUWI,None
BBMEOMRX,35,HSBC BANK OMAN S.A.O.G,RUWI,None
IFELOMR1,36,INTERNATIONAL FINANCIAL SERVICES,RUWI,None
MEBCOMR1,37,MIDDLE EAST BROKERAGE COMPANY,RUWI,None
MINIOMRU,38,MINISTRY OF FINANCE,MUSCAT,None
