swift_code,id,bank,city,branch
AMRKPEP1,1,AMERIKA FINANCIERA S.A.,LIMA,None
AZTKPEPL,2,BANCO AZTECA DEL PERU, S.A.,LIMA,None
CRPEPEPL,3,BANCO CENTRAL DE RESERVA DEL PERU,LIMA,None
BCONPEPL,4,BANCO CONTINENTAL,LIMA,None
BDCMPEPL,5,BANCO DE COMERCIO,LIMA,None
BCPLPEPL,6,BANCO DE CREDITO DEL PERU,LIMA,None
BANCPEPL,7,BANCO DE LA NACION,LIMA,None
FINAPEPL,8,BANCO FINANCIERO DEL PERU,LIMA,None
HBPEPEPL,9,BANCO GNB PERU SA,LIMA,None
BAIOPEP1,10,BANCO IBEROAMERICANO,LIMA,None
BIFSPEPL,11,BANCO INTERAMERICANO DE FINANZAS,LIMA,None
BINPPEPL,12,BANCO INTERNACIONAL DEL PERU (INTERBANK),LIMA,None
BNPEPEP1,13,BANCO NOR PERU,TRUJILLO,None
BSAPPEPL,14,BANCO SANTANDER PERU S.A.,LIMA,None
BATSPE31,15,BRITISH AMERICAN TOBACCO DEL PERU HOLDINGS S.A.,LIMA,None
BATSPEP1,16,BRITISH AMERICAN TOBACCO DEL PERU S.A.C.,LIMA,None
CRHCPEP1001,17,CAJA RURAL DE AHORRO Y CREDITO CHAVIN SAA,HUARAZ,(PRINCIPAL)
CRHCPEP1002,18,CAJA RURAL DE AHORRO Y CREDITO CHAVIN SAA,TRUJILLO,(OFICINA TRUJILLO)
CRHCPEP1,19,CAJA RURAL DE AHORRO Y CREDITO CHAVIN SAA,TRUJILLO,None
CAPOPEPL,20,CAMPOSOL,LIMA,None
CVLIPEPL,21,CAVALI S.A. I.C.L.V.,LIMA,None
CCSTPEP1,22,CELFIN CAPITAL S.A. SOCIEDAD AGENTE DE BOLSA,LIMA,None
BELPPEPL,23,CETCO S.A.,LIMA,None
CITIPEPL,24,CITIBANK DEL PERU S.A.,LIMA,None
PACCPEP1,25,COOPERATIVA DE AHORRO Y CREDITO PACIFICO,LIMA,None
COFDPEPL,26,CORPORACION FINANCIERA DE DESARROLLO S.A. - COFIDE,LIMA,None
CBOLPEP1,27,CREDIBOLSA SOCIEDAD AGENTE DE BOLSA S.A.,LIMA,None
FCPEPEP1,28,FINANCIERA DE CREDITO DEL PERU,LIMA,None
ICBKPEPL,29,ICBC PERU BANK,LIMA,None
INTVPEP1,30,INTERVALORES,LIMA,None
CHASPEPL,31,JP MORGAN BANCO DE INVERSION,LIMA,None
KAESPEP1,32,KALLPA SECURITIES S.A.B,LIMA,None
SABMPEP1,33,SABMILLER PERU,LIMA,None
SABMPEP1BYJ,34,SABMILLER PERU,LIMA,None
SABMPEP1CSC,35,SABMILLER PERU,LIMA,None
SABMPEP1CSJ,36,SABMILLER PERU,LIMA,None
SECTPEP1,37,SAMSUNG ELECTRONICS PERU S.A.C,LIMA,None
SECTPEP1860,38,SAMSUNG ELECTRONICS PERU S.A.C,LIMA,None
BSUDPEPL,39,SCOTIABANK PERU S.A.A.,LIMA,None
