swift_code,id,bank,city,branch
BPOLPFTP,1,BANQUE DE POLYNESIE,PAPEETE,None
CEPAPFTP,2,BANQUE DE TAHITI S.A.,PAPEETE,None
PARBPFT1,3,BANQUE PARIBAS POLYNESIE,PAPEETE,None
CDCGPFTP,4,CAISSE DES DEPOTS ET CONSIGNATIONS,PAPEETE,None
INDDPFT1,5,IEOM PAPEETE,PAPEETE,None
OCFOPFT1,6,OCEANIENNE DE FINANCEMENT,PAPEETE,None
OCLTPFT1,7,OCEOR LEASE TAHITI,PAPEETE,None
OFTPPFT1,8,OFFICE POSTES ET TELECOM DE POLYNESIE FR,FAAA,None
SOCBPFTX,9,SOCREDO,PAPEETE,None
SOGDPFT1,10,SOGELEASE BDP,PAPEETE,None
TRPUPFT1,11,TRESOR PUBLIC PAPEETE,PAPEETE,None
