swift_code,id,bank,city,branch
AIPOPLP1,1,AIG BANK POLSKA S.A.,WROCLAW,None
ALBPPLP1BMW,2,ALIOR BANK SPOLKA AKCYJNA,WARSZAWA,(BIURO MAKLERSKIE)
ALBPPLPW,3,ALIOR BANK SPOLKA AKCYJNA,WARSZAWA,None
ASFHPLPK,4,AMER SPORTS FINANCIAL SHARED SERVICE SP.,KRAKOW,None
USINPLP1,5,ARCELORMITTAL POLAND SPOLKA AKCYJNA,KATOWICE,None
AFSLPLPW,6,ATLANTIC FUND SERVICES SP. Z O.O.,WARSZAWA,None
ESSIPLP1,7,BANCO ESPIRITO SANTO DE INVESTIMENTO S.A. SPOLKA AKCYJNA ODDZIAL W POLSCE,WARSZAWA,None
PPABPLP1BB1,8,BANK BGZ BNP PARIBAS S.A.,BIELSKO BIALA,(BIELSKO BIALA BRANCH)
PPABPLP1BY1,9,BANK BGZ BNP PARIBAS S.A.,BYDGOSZCZ,(BYDGOSZCZ BRANCH)
PPABPLP1CZ1,10,BANK BGZ BNP PARIBAS S.A.,CZESTOCHOWA,(CHESTOCHOWA BRANCH)
PPABPLP1GD1,11,BANK BGZ BNP PARIBAS S.A.,GDANSK,(GDANSK BRANCH)
PPABPLP1GY1,12,BANK BGZ BNP PARIBAS S.A.,GDYNIA,(GDYNIA BRANCH)
PPABPLP1GL1,13,BANK BGZ BNP PARIBAS S.A.,GLIWICE,(GLIWICE BRANCH)
PPABPLP1KT1,14,BANK BGZ BNP PARIBAS S.A.,KATOWICE,(KATOWICE BRANCH)
PPABPLP1KF1,15,BANK BGZ BNP PARIBAS S.A.,KATOWICE,(PERSONAL BANKING SUB-BRANCH)
PPABPLP1KI1,16,BANK BGZ BNP PARIBAS S.A.,KIELCE,(KIELCE BRANCH)
PPABPLP1KR1,17,BANK BGZ BNP PARIBAS S.A.,KRAKOW,(1ST KRAKOW BRANCH)
PPABPLP1KR2,18,BANK BGZ BNP PARIBAS S.A.,KRAKOW,(2ND KRAKOW BRANCH)
PPABPLP1KR3,19,BANK BGZ BNP PARIBAS S.A.,KRAKOW,(3RD KRAKOW BRANCH)
PPABPLP1LD1,20,BANK BGZ BNP PARIBAS S.A.,LODZ,(LODZ BRANCH)
PPABPLP1LF1,21,BANK BGZ BNP PARIBAS S.A.,LODZ,(PERSONAL BANKING SUB-BRANCH)
PPABPLP1LU1,22,BANK BGZ BNP PARIBAS S.A.,LUBLIN,(LUBLIN BRANCH)
PPABPLP1OL1,23,BANK BGZ BNP PARIBAS S.A.,OLSZTYN,None
PPABPLP1OP1,24,BANK BGZ BNP PARIBAS S.A.,OPOLE,None
PPABPLP1PF1,25,BANK BGZ BNP PARIBAS S.A.,POZNAN,(PERSONAL BANKING SUB-BRANCH)
PPABPLP1PO1,26,BANK BGZ BNP PARIBAS S.A.,POZNAN,(POZNAN BRANCH)
PPABPLP1RZ1,27,BANK BGZ BNP PARIBAS S.A.,RZESZOW,None
PPABPLP1SZ1,28,BANK BGZ BNP PARIBAS S.A.,SZCZECIN,(SZCZECIN BRANCH)
PPABPLP1TO1,29,BANK BGZ BNP PARIBAS S.A.,TORUN,None
PPABPLP1WA1,30,BANK BGZ BNP PARIBAS S.A.,WARSZAWA,(1ST WARSZAWA BRANCH)
PPABPLP1WA2,31,BANK BGZ BNP PARIBAS S.A.,WARSZAWA,(2ND WARSZAWA BRANCH)
PPABPLP1WA3,32,BANK BGZ BNP PARIBAS S.A.,WARSZAWA,(3RD WARSZAWA BRANCH)
PPABPLP1WA4,33,BANK BGZ BNP PARIBAS S.A.,WARSZAWA,(4TH WARSZAWA BRANCH)
PPABPLP1WF6,34,BANK BGZ BNP PARIBAS S.A.,WARSZAWA,(PERSONAL BANKING SUB-BRANCH 2)
PPABPLP1WF4,35,BANK BGZ BNP PARIBAS S.A.,WARSZAWA,(PERSONAL BANKING SUB-BRANCH 4)
PPABPLPK,36,BANK BGZ BNP PARIBAS S.A.,WARSZAWA,None
PPABPLP1WR2,37,BANK BGZ BNP PARIBAS S.A.,WROCLAW,(PERSONAL BANKING SUB-BRANCH)
PPABPLP1WR1,38,BANK BGZ BNP PARIBAS S.A.,WROCLAW,(WROCLAW BRANCH)
PPABPLP1ZK1,39,BANK BGZ BNP PARIBAS S.A.,ZAKOPANE,(ZAKOPANE BRANCH)
BPHKPLPK,40,BANK BPH SA,GDANSK,None
BPHKPLP1BMK,41,BANK BPH SA,KRAKOW,(BIURO MAKLERSKIE BANKU BPH SA)
BPHKPLPKCUS,42,BANK BPH SA,WARSZAWA,(CUSTODY DEPARTMENT)
GOSKPLPW,43,BANK GOSPODARSTWA KRAJOWEGO,WARSZAWA,None
CITIPLPXCCH,44,BANK HANDLOWY W WARSZAWIE SA,WARSZAWA,(WARSAW COMMODITY CLEARING HOUSE MESSAGES EXCHANGE ONLY)
CITIPLPX,45,BANK HANDLOWY W WARSZAWIE SA,WARSZAWA,None
BISPPLP1,46,BANK INICJATYW SPOLECZNO-EKONOMICZNYCH S.A.,WARSZAWA,None
BIGBPLPWCUS,47,BANK MILLENNIUM S.A.,WARSZAWA,(CUSTODY DEPARTMENT)
BIGBPLPW,48,BANK MILLENNIUM S.A.,WARSZAWA,None
EBOSPLPW216,49,BANK OCHRONY SRODOWISKA S.A.,BIALYSTOK,None
EBOSPLPW261,50,BANK OCHRONY SRODOWISKA S.A.,BIELSKO BIALA,None
EBOSPLPW018,51,BANK OCHRONY SRODOWISKA S.A.,BYDGOSZCZ,None
