swift_code,id,bank,city,branch
ACAIPR21,1,ACESCO CARIBE, MFG.,CATANO,None
ACTTPRSJ,2,ACTIVO INTERNATIONAL BANK,SAN JUAN,None
ACBIPR22,3,ANDCAPITAL BANK INTERNATIONAL CORP,HATO REY,None
ARNRPRSJ,4,ARCA INTERNATIONAL BANK, INC.,SAN JUAN,None
BPPRPRSB,5,BANCO POPULAR DE PUERTO RICO,SAN JUAN,None
BPPRPRSX,6,BANCO POPULAR DE PUERTO RICO,SAN JUAN,None
BSJIPRSJ,7,BANCO SAN JUAN INTERNACIONAL INC,GUAYNABO,None
BSCHPRP1SOB,8,BANCO SANTANDER PUERTO RICO,SAN JUAN,None
BSCHPRSX,9,BANCO SANTANDER PUERTO RICO,SAN JUAN,None
BSCHPRSXSOV,10,BANCO SANTANDER PUERTO RICO,SAN JUAN,None
CFSUPRSJ,11,BANCOLOMBIA PUERTO RICO INTERNACIONAL INC.,SAN JUAN,None
BIBCPRSJ,12,BANCREDITO INTERNATIONAL BANK CORP,SAN JUAN,None
BIPNPRSJ,13,BANPLUS INTERNATIONAL BANK, INC.,SAN JUAN,None
CIBPPRSJ,14,BNC INTERNATIONAL BANKING CORPORATION,SAN JUAN,None
CBNTPRSJ,15,CARIBE INTERNATIONAL BANK, CORP.,SAN JUAN,None
CITIPRSJ,16,CITIBANK, NA PUERTO RICO,SAN JUAN,None
CPELPRSJ,17,COOPERATIVA DE AHORRO Y CREDITO SOL,SAN JUAN,None
ELIRPRSJ,18,ELITE INTERNATIONAL BANK,SAN JUAN,None
EUPNPRSJ,19,EURO PACIFIC INTL. BANK, INC.,SAN JUAN,None
FILCPR22,20,FACEBANK INTERNATIONAL CORPORATION,GUAYNABO,None
FBPRPRSJ,21,FIRSTBANK PUERTO RICO,SANTURCE,None
GBDCPR21,22,GBTD CAPITAL ADVISERS LLC,GUAYNABO,None
GBPRPR21,23,GBTD GROUP-PUERTO RICO,GUAYNABO,None
GBLGPR21,24,GBTD SAVINGS AND LOAN GROUP-PUERTO RICO,GUAYNABO,None
IBIIPRSJ,25,ITALBANK INTERNATIONAL, INC,SAN JUAN,None
NDBKPRSJ,26,NODUS INTERNATIONAL BANK,SAN JUAN,None
OBPRPRSJ,27,ORIENTAL BANK,HATO REY,None
PFEBPR21,28,PONCE FEDERAL BANK,PONCE,None
NOSCPR22,29,SCOTIABANK DE PUERTO RICO,HATO REY,None
NOSCPR22MIA,30,SCOTIABANK DE PUERTO RICO,SAN JUAN,None
STULPRSJ,31,STATETRUST INTERNATIONAL BANK AND TRUST, LLC,SAN JUAN,None
SIECPRSJ,32,STERN INTERNATIONAL BANK LLC,SAN JUAN,None
VEILPRSJ,33,VESTIN BANK INTERNATIONAL LLC,SAN JUAN,None
