swift_code,id,bank,city,branch
ARIRPS21,1,AL ARABI INVESTMENT GROUP CO.,RAMALLAH,None
NAFIPS21,2,AL NAWRAS FINANCIAL INVESTMENT CO.,BETHLEHEM,None
QUDSPS21,3,AL QUDUS BANK FOR DEVELOPMENT AND INVESTMENT,GAZA,None
WASUPS21,4,AL WASATA SECURITIES CO. LTD,GAZA,None
ALWSPS21,5,ALWASTA SECURITIES CO,RAMALLAH,None
ARABPS22030,6,ARAB BANK PLC,AL-BIREH,(AL-BIREH BRANCH)
ARABPS22110,7,ARAB BANK PLC,AL-RAM,(AL-RAM BRANCH)
ARABPS22100,8,ARAB BANK PLC,BETHANY,(BETHANY BRANCH)
ARABPS22050,9,ARAB BANK PLC,BETHLEHEM,(BETHLEHEM BRANCH)
ARABPS22500,10,ARAB BANK PLC,GAZA,(GAZA BRANCH)
ARABPS22600,11,ARAB BANK PLC,GAZA,(RIMAL BRANCH)
ARABPS22040,12,ARAB BANK PLC,HEBRON,(HEBRON BRANCH)
ARABPS22060,13,ARAB BANK PLC,JENIN,(JENIN BRANCH)
ARABPS22550,14,ARAB BANK PLC,JERICHO,(JERICH BRANCH)
ARABPS22650,15,ARAB BANK PLC,KHAN YOUNIS,(KHAN YOUNIS BRANCH)
ARABPS22020,16,ARAB BANK PLC,NABLUS,(NABLUS BRANCH)
ARABPS22080,17,ARAB BANK PLC,QALQILIAH,(QALQILIAH BRANCH)
ARABPS22090,18,ARAB BANK PLC,RAMALLAH,(AL MASYOON BRANCH)
ARABPS22COU,19,ARAB BANK PLC,RAMALLAH,(CENTRAL OPERATIONS UNIT, TRADE FINANCE SERVICES)
ARABPS22COT,20,ARAB BANK PLC,RAMALLAH,(CENTRALIZED OUTWARD TRANSFERS DEPT.)
ARABPS22DLR,21,ARAB BANK PLC,RAMALLAH,(TREASURY OPERATIONS)
ARABPS22,22,ARAB BANK PLC,RAMALLAH,None
ARABPS22070,23,ARAB BANK PLC,TULKARM,(TULKARM BRANCH)
AISBPS22,24,ARAB ISLAMIC BANK,RAMALLAH,None
BJORPS22,25,BANK OF JORDAN PLC,RAMALLAH,None
PALSPS22,26,BANK OF PALESTINE PLC,RAMALLAH,None
CAABPS22,27,CAIRO AMMAN BANK,RAMALLAH,None
ARLBPS22,28,EGYPTIAN ARAB LAND BANK,RAMALLAH,None
GLSUPS21,29,GLOBAL SECURITIES CO,NABLUS,None
JONBPS22,30,JORDAN AHLI BANK-PLC FOREIGN PUBLIC COMPANY,RAMALLAH,None
JPAIPS21,31,JORDAN AND PALESTINE INVESTMENT CO.,RAMALLAH,None
JCBAPS22,32,JORDAN COMMERCIAL BANK,RAMALLAH,None
JGBAPS21,33,JORDAN GULF BANK,GAZA,None
JKBAPS22,34,JORDAN KUWAIT BANK,RAMALLAH,None
JOPFPS21,35,JORDAN PALESTINE CO. FOR FINANCIAL INVESTMENT,RAMALLAH,None
LOFNPS21,36,LOTUS FINANCIAL INVESTMENT CO.,RAMALLAH,None
NCSIPS21,37,NATIONAL COMPANY FOR SECURITIES INVESTMENT,RAMALLAH,None
NAWRPS21,38,NAWRAS BROKERAGE CO.,BETHLEHEM,None
PINVPS22,39,PALESTINE INVESTMENT BANK,RAMALLAH,None
PIBCPS22,40,PALESTINE ISLAMIC BANK,RAMALLAH,None
PMAPPS22PEX,41,PALESTINE MONETARY AUTHORITY,AL-BIREH,(CSD)
PMAPPS22,42,PALESTINE MONETARY AUTHORITY,AL-BIREH,None
PMAPPS22ASA,43,PALESTINE MONETARY AUTHORITY,RAMALLAH,(AUTHORIZED SETTLEMENT AGENRT)
PMAPPS22TIA,44,PALESTINE MONETARY AUTHORITY,RAMALLAH,(TECHNICAL INFRATRUCTURE AGENT)
PMAPPS22ACH,45,PALESTINE MONETARY AUTHORITY,RAMALLAH,None
PMAPPS2P,46,PALESTINE MONETARY AUTHORITY,RAMALLAH,None
XPAEPS21,47,PALESTINE SECURITIES EXCHANGE,NABLUS,None
ALDNPS22,48,QUDS BANK,RAMALLAH,None
SAFKPS22,49,SAFA BANK,RAMALLAH,None
STIPPS21,50,SAHEM TRADING AND INVESTMENT COMPANY,RAMALLAH,None
TARVPS21,51,TARGET INVESTMENT CO.,NABLUS,None
TJPSPS21,52,TARGET JORDAN PALESTINE SECURITIES,RAMALLAH,None
CDSEPS21,53,THE CLEARING, DEPOSITORY AND SETTLEMENT DEPARTMEN(CDS),NABLUS,None
HBHOPS22,54,THE HOUSING BANK FOR TRADE AND FINANCE/RAMALLAH,RAMALLAH,None
TNBCPS22,55,THE NATIONAL BANK PLC (FORMERLY AL RAFAH MICROFINANCE BANK),RAMALLAH,None
UNTEPS21,56,UNITED SECURITIES CO,RAMALLAH,None
WATTPS21,57,WATANIYA SECURITIES CO,RAMALLAH,None
