swift_code,id,bank,city,branch
CIEDPTP1,1,321 CREDITO INSTITUICAO FINANCEIRA DE CREDITO S.A.,PORTO,None
CAGLPTP1LBU,2,ABANCA CORPORACION BANCARIA, SA, SUCURSAL EM PORTUGAL,LISBON,(LISBON UNCONNECTED)
CAGLPTPL,3,ABANCA CORPORACION BANCARIA, SA, SUCURSAL EM PORTUGAL,LISBON,None
IGCPPTPL,4,AGENCIA GESTAO DA TESOURARIA E DIV. PUBLICA, IGCP EPE,LISBON,None
ALPOPTP1,5,ALLIANZ PORTUGAL,LISBON,None
AGEAPTPL,6,ANDRADE GUTIERREZ-EUROPA, AFRICA, ASIA, S.A.,OEIRAS,None
ARVOPTP1,7,ARGENTARIA VOLARE,LISBON,None
ASDEPTP1,8,ASCOR DEALER S.A.,LISBON,None
AIFCPTP1,9,ATRIUM INVESTIMENTOS-SOCIEDADE FINANCEIRA DE CORRETAGEM, SA,LISBON,None
AUOEPTP1,10,AUTOEUROPA,QUINTA DO ANJO,None
AVPEPTP1,11,A-VISION - PRESTACAO DE SERVICOS,PALMELA,None
AXLPPTP1,12,AXA LIFE EUROPE LIMITED SUCURSAL EM PORTUGAL,LISBON,None
APSVPTP1,13,AXA PORTUGAL SEGUROS VIDA,LISBON,None
ACTVPTPL,14,BANCO ACTIVOBANK S.A.,LISBON,None
BAIPPTPL,15,BANCO BAI EUROPA, SA,LISBON,None
BPNPPTPL,16,BANCO BIC PORTUGUES, S.A.,LISBON,None
BPNPPTPLSFE,17,BANCO BIC PORTUGUES, S.A.,MADEIRA,(SUCURSAL FINANCEIRA EXTERIOR)
BBVAPTPL,18,BANCO BILBAO VIZCAYA ARGENTARIA (PORTUGAL) S.A.,LISBON,None
BBVAPTPLTG2,19,BANCO BILBAO VIZCAYA ARGENTARIA (PORTUGAL) S.A.,LISBON,None
BBPIPTPL,20,BANCO BPI SA,PORTO,(ALL PT BRANCHES NOT LISTED)
CETMPTP1,21,BANCO CETELEM SA,LISBON,None
CMACPTP1,22,BANCO COMERCIAL DE MACAU S.A.R.L.,LISBON,None
CMACPTP1OPR,23,BANCO COMERCIAL DE MACAU S.A.R.L.,PORTO,None
BCOMPTPLOFI,24,BANCO COMERCIAL PORTUGUES,FUNCHAL,(OFFSHORE BRANCH - CORPORATE AREA)
BCOMPTPLSFE,25,BANCO COMERCIAL PORTUGUES,FUNCHAL,(OFFSHORE BRANCH)
BCOMPTPLFUN,26,BANCO COMERCIAL PORTUGUES,FUNCHAL,None
BCOMPTPLINT,27,BANCO COMERCIAL PORTUGUES,LISBON,(CORRESPONDENT BANKING DIVISION)
BCOMPTPLDRI,28,BANCO COMERCIAL PORTUGUES,LISBON,(INSTITUTIONAL CUSTODY)
BCOMPTPLDIF,29,BANCO COMERCIAL PORTUGUES,LISBON,(TREASURY DIVISION)
BCOMPTPLB07,30,BANCO COMERCIAL PORTUGUES,LISBON,None
BCOMPTPLLES,31,BANCO COMERCIAL PORTUGUES,LISBON,None
BCOMPTPL,32,BANCO COMERCIAL PORTUGUES,OEIRAS,(ALL NON LISTED BRANCHES)
BCOMPTPLB01,33,BANCO COMERCIAL PORTUGUES,OEIRAS,(BOPB - LISBOA)
BCOMPTPLLEU,34,BANCO COMERCIAL PORTUGUES,OEIRAS,(COLLECTIONS/DOC CREDITS)
BCOMPTPLOTP,35,BANCO COMERCIAL PORTUGUES,OEIRAS,(TAGUS PARK)
CISFPTP1,36,BANCO COMERCIAL PORTUGUES,OEIRAS,None
BCOMPTPLPLC,37,BANCO COMERCIAL PORTUGUES,PORTO,(LATINO COELHO)
CRBBPTP1,38,BANCO CREDIBOM, SA,ALGES,None
CTTVPTPL,39,BANCO CTT, S.A.,LISBON,None
BBLAPTP1,40,BANCO DE BOSTON LATINO AMERICANO S.A.,FUNCHAL,None
BDIGPTPL,41,BANCO DE INVESTIMENTO GLOBAL S.A.,LISBON,None
INIOPTP1,42,BANCO DE INVESTIMENTO IMOBILIARIO SA,LISBON,None
BGALPTTGCCB,43,BANCO DE PORTUGAL,LISBON,(BP- CCBM)
BGALPTTGBAC,44,BANCO DE PORTUGAL,LISBON,(BP-BACK-OFFICE)
BGALPTTGMRR,45,BANCO DE PORTUGAL,LISBON,(BP-MINIMUM RESERVES)
BGALPTTGSIT,46,BANCO DE PORTUGAL,LISBON,(BP-MONETARY POLICY OPERATIONS)
BGALPTPLPTP,47,BANCO DE PORTUGAL,LISBON,(COLLATERAL MANAGEMENT PT PARTIES)
BGALPTTGPTP,48,BANCO DE PORTUGAL,LISBON,(COLLATERAL MANAGEMENT PT PARTIES)
BGALPTPLDCP,49,BANCO DE PORTUGAL,LISBON,(CONTABILIDADE E PAGAMENTOS)
BGALPTPLCCB,50,BANCO DE PORTUGAL,LISBON,(CREDIT AND MARKETS DEPARTMENT)
BGALPTTGDET,51,BANCO DE PORTUGAL,LISBON,(DET-EMISSAO E TESOURARIA)
BGALPTPLGPF,52,BANCO DE PORTUGAL,LISBON,(FUNDS)
BGALPTTGMMI,53,BANCO DE PORTUGAL,LISBON,(MERCADO MONETARIO INTERBANCARIO)
BGALPTTGIPS,54,BANCO DE PORTUGAL,LISBON,(SICOI INSTANT PAYMENTS SOLUTION)
BGALPTTG,55,BANCO DE PORTUGAL,LISBON,(SISTEMAS DE PAGAMENTOS)
BGALPTPL,56,BANCO DE PORTUGAL,LISBON,None
BGALPTPLCON,57,BANCO DE PORTUGAL,LISBON,None
BGALPTTGFGC,58,BANCO DE PORTUGAL,PORTO,(FUNDO GARANTIA)
BSABPTP1,59,BANCO DE SABADELL S.A,LISBON,None
BRASPTPL,60,BANCO DO BRASIL AG-SUCURSAL EM PORTUGAL,LISBON,None
EFISPTPL,61,BANCO EFISA S.A.,LISBON,None
EXATPTP1,62,BANCO EXPRESSO ATLANTICO SA,LISBON,None
BFIAPTPLCOR,63,BANCO FINANTIA S.A.,LISBON,(FINANTIA CORRETORA)
BFIAPTPLINT,64,BANCO FINANTIA S.A.,LISBON,(FINANTIA INTERNATIONAL)
BFIAPTPLSEC,65,BANCO FINANTIA S.A.,LISBON,(FINANTIA SECURITIES)
BFIAPTPL,66,BANCO FINANTIA S.A.,LISBON,None
BFIAPTPLSFE,67,BANCO FINANTIA S.A.,MADEIRA,(MADEIRA OFFSHORE BRANCH)
IVVSPTPL,68,BANCO INVEST S.A.,LISBON,None
BLJCPTPT,69,BANCO L.J. CARREGOSA, S.A.,PORTO,None
MASNPTP1,70,BANCO MADESANT - SOCIEDADE UNIPESSOAL S.A. (ZONA FRANCA DA MADEIRA),FUNCHAL,None
MIISPTP1,71,BANCO MAIS SA,LISBON,None
MEOLPTP1,72,BANCO MELLO,LISBON,None
MEIIPTP1,73,BANCO MELLO DE INVESTIMENTOS S.A.,LISBON,None
MEIMPTP1,74,BANCO MELLO IMOBILIARIO, SA,LISBON,None
CRBNPTPL,75,BANCO POPULAR PORTUGAL, S.A.,LISBON,None
BPGPPTPL,76,BANCO PORTUGUES DE GESTAO, S.A.,LISBON,None
BPIPPTPL,77,BANCO PORTUGUES DE INVESTIMENTO S.A.,LISBON,None
PRUUPTP1,78,BANCO PRIMUS, S.A.,PACO DE ARCOS,None
BAPAPTPL,79,BANCO PRIVADO ATLANTICO-EUROPA, SA,LISBON,None
IBNBPTP1,80,BANCO SANTANDER CONSUMER PORTUGAL SA,LISBON,None
