swift_code,id,bank,city,branch
AMAMPYPA,1,BANCO AMAMBAY S.A.,ASUNCION,None
BNITPYPA,2,BANCO ATLAS S.A.,ASUNCION,None
BBVAPYPA,3,BANCO BILBAO VIZCAYA ARGENTARIA PARAGUAY S.A.,ASUNCION,None
BOUIPYP1,4,BANCO BUSAIF S.A. DE INVERSION Y FOMENTO,ASUNCION,None
BCPAPYPXGON,5,BANCO CENTRAL DEL PARAGUAY,ASUNCION,(OPERACIONES NACIONALES - DPTO. DE CREDITO Y CTAS. CTES.)
BCPAPYPB,6,BANCO CENTRAL DEL PARAGUAY,ASUNCION,None
BCPAPYPD,7,BANCO CENTRAL DEL PARAGUAY,ASUNCION,None
BCPAPYPR,8,BANCO CENTRAL DEL PARAGUAY,ASUNCION,None
BCPAPYPX,9,BANCO CENTRAL DEL PARAGUAY,ASUNCION,None
PCOMPYP1,10,BANCO COMERCIAL PARAGUAYO SA,ASUNCION,None
BCNAPYPA,11,BANCO CONTINENTAL SAECA,ASUNCION,None
BBCNPYP1,12,BANCO CORPORACION S.A.,ASUNCION,None
PADEPYP1,13,BANCO DE DESARROLLO DEL PARAGUAY S.A.,ASUNCION,None
INVPPYP1,14,BANCO DE INVERSIONES DEL PARAGUAY,ASUNCION,None
NACNPYPA,15,BANCO DE LA NACION ARGENTINA,ASUNCION,(SUCURSAL ASUNCION)
NACNPYPA0PC,16,BANCO DE LA NACION ARGENTINA,CONCEPCION,None
NACNPYPA0PE,17,BANCO DE LA NACION ARGENTINA,ENCARNACION,None
NACNPYPA0P3,18,BANCO DE LA NACION ARGENTINA,VILLARRICA,None
BRASPYPX,19,BANCO DO BRASIL S.A.,ASUNCION,None
FAMIPYPA,20,BANCO FAMILIAR S.A.E.C.A.,ASUNCION,None
BAFAPYP1,21,BANCO FINAMERICA SAECA.,ASUNCION,None
GENBPYP1,22,BANCO GENERAL S.A.,ASUNCION,None
BGNBPYPX,23,BANCO GNB PARAGUAY S.A.,ASUNCION,None
BISAPYPE,24,BANCO ITAPUA SAECA,ENCARNACION,None
UBBRPYPX,25,BANCO ITAU PARAGUAY S.A.,ASUNCION,None
BNFAPYPA,26,BANCO NACIONAL DE FOMENTO,ASUNCION,None
BNTRPYP1,27,BANCO NACIONAL DE TRABAJADORES,ASUNCION,None
BCOPPYPA,28,BANCO PARA LA COMERCIALIZACION Y LA PRODUCCION SOCIEDAD ANONIMA (BANCOP S.A.),ASUNCION,None
POIFPYP1,29,BANCO PARAGUAYO ORIENTAL DE INVERSION Y FOMENTO S.A.,ASUNCION,None
RGSAPYPE,30,BANCO REGIONAL S.A.E.C.A.,ENCARNACION,None
BOSNPYP1,31,BOLPAR SOCIEDAD ANONIMA,ASUNCION,None
XVPAPYP1,32,BOLSA DE VALORES Y PRODUCTOS DE ASUNCION S.A.,ASUNCION,None
BATSPYP1,33,BRITISH AMERICAN TOBACCO PRODUCTORA DE CIGARILLOS S.A.,ASUNCION,None
CITIPYP10PA,34,CITIBANK N.A.,ASUNCION,None
CITIPYP10P2,35,CITIBANK N.A.,CIUDAD DEL ESTE,None
CITIPYP1,36,CITIBANK N.A.,ENCARNACION,None
CIEFPYPE,37,CRISOL Y ENCARNACIN FINANCIERA S.A.,ENCARNACION,None
COMAPYPA,38,FINANCIERA EL COMERCIO S.A.E.C.A.,ASUNCION,None
FIPJPYPA,39,FINANCIERA PARAGUAYO JAPONESA SAECA,ASUNCION,None
FOPLPYPA,40,FONPLATA - FONDO FINANCIERO PARA EL DESAROLLO DE LA CUENCA DEL PLATA,ASUNCION,None
IIFAPYPA,41,GRUPO INTERNACIONAL DE FINANZAS S.A.E.C.A. (INTERFISA BANCO),ASUNCION,None
BSUDPYPX,42,SUDAMERIS BANK S.A.E.C.A.,ASUNCION,None
SUMSPYP1,43,SUMMA ASESORIES,ASUNCION,None
VISCPYPA,44,VISION BANCO S.A.E.C.A.,ASUNCION,None
