swift_code,id,bank,city,branch
ABDIQAQA,1,ABU DHABI ISLAMIC BANK,DOHA,None
ABQQQAQAAIR,2,AHLI BANK QSC,DOHA,(AIRPORT BRANCH)
ABQQQAQADNB,3,AHLI BANK QSC,DOHA,(DOHA NAVAL BASE BRANCH)
ABQQQAQA,4,AHLI BANK QSC,DOHA,(MAIN BRANCH)
ABQQQAQAMER,5,AHLI BANK QSC,DOHA,(MERGHAB BRANCH)
AFEWQAQA,6,AL DAR FOR EXCHANGE WORKS,DOHA,None
KLJIQAQA,7,AL KHALIJ COMMERCIAL BANK,DOHA,None
ALZAQAQA,8,AL ZAMAN EXCHANGE W.L.L,DOHA,None
AFXQQAQA,9,ALFARDAN EXCHANGE LLC,DOHA,None
AEXCQAQA,10,ALJAZEERA EXCHANGE COMPANY,DOHA,None
ARABQAQASAD,11,ARAB BANK PLC,DOHA,(ALSADD BRANCH)
ARABQAQARD3,12,ARAB BANK PLC,DOHA,(C RING BRANCH)
ARABQAQACTU,13,ARAB BANK PLC,DOHA,(CENTRAL TRANSFER UNIT)
ARABQAQAINV,14,ARAB BANK PLC,DOHA,(PAYMENTS INVESTIGATIONS)
ARABQAQATSU,15,ARAB BANK PLC,DOHA,(TRADE SERVICES UNIT)
ARABQAQATRO,16,ARAB BANK PLC,DOHA,(TREASURY OPERATIONS)
ARABQAQA,17,ARAB BANK PLC,DOHA,None
AJIBQAQA,18,ARAB JORDAN INVESTMENT BANK (QATAR) LLC,DOHA,None
AUDBQAQA,19,BANK AUDI LLC,DOHA,None
BRWAQAQA,20,BARWA BANK,DOHA,None
BLOMQAQA,21,BLOM BANK QATAR LLC,DOHA,None
BNPAQA21,22,BNP PARIBAS,DOHA,None
BNPAQAQA,23,BNP PARIBAS, DOHA,DOHA,None
BKCHQAQA,24,BOC LTD QATAR FINANCIAL CENTRE BRANCH WEST BAY,DOHA,None
CITIQAQA,25,CITIBANK N.A.,DOHA,None
CECQQAQ1,26,CITY EXCHANGE CO. W.L.L,DOHA,None
DLBOQAQA,27,DLALA BROKERAGE LLC,DOHA,None
DOHBQAQADIS,28,DOHA BANK,DOHA,(DOHA ISLAMIC)
DOHBQAQAMSB,29,DOHA BANK,DOHA,(MUSHAIREB BRANCH - DOHA CITY)
DOHBQAQASRB,30,DOHA BANK,DOHA,(SALWA ROAD BRANCH - DOHA INDUSTRIAL AREA)
DOHBQAQAWBB,31,DOHA BANK,DOHA,(WEST BAY BRANCH)
DOHBQAQA,32,DOHA BANK,DOHA,None
DOHBQAQADKB,33,DOHA BANK,DUKHAN,(DUKHAN BRANCH)
DOHBQAQAUSB,34,DOHA BANK,UMM SAID,(UMM SAID BRANCH)
DSMDQAQA,35,DOHA SECURITIES MARKET,DOHA,None
FGBMQAQA,36,FIRST ABU DHABI BANK PJSC (FORMERLY NATIONAL BANK OF ABU DHABI) - QFC BRANCH,DOHA,None
GUIRQAA1,37,GULF INVESTMENT GROUP,DOHA,None
GUIRQAQ1,38,GULF INVESTMENTS GROUP,DOHA,None
BBMEQAQX,39,HSBC BANK MIDDLE EAST LIMITED,DOHA,None
ICICQAQA,40,ICICI BANK LIMITED (QFC BRANCH),DOHA,None
ICICQAQACOP,41,ICICI BANK LIMITED (QFC BRANCH),DOHA,None
ICICQAQAGTS,42,ICICI BANK LIMITED (QFC BRANCH),DOHA,None
ICICQAQATMO,43,ICICI BANK LIMITED (QFC BRANCH),DOHA,None
ICBKQAQACLR,44,INDUSTRIAL AND COMMERCIAL BANK OF CHINA, LIMITED,DOHA,(CLEAR CENTRE)
ICBKQAQA,45,INDUSTRIAL AND COMMERCIAL BANK OF CHINA, LIMITED,DOHA,None
IBOQQAQA,46,INTERNATIONAL BANK OF QATAR (Q.S.C.),DOHA,None
ITFSQAQ1,47,INTERNATIONAL FINANCIAL SECURITIES CO.,DOHA,None
IFSOQAQ1,48,ISLAMIC FINANCIAL SECURITIES COMPANY,DOHA,None
LAEXQAQ1,49,LARI EXCHANGE COMPANY QATAR,DOHA,None
MSHQQAQA,50,MASHREQ BANK,DOHA,None
MAFRQAQA,51,MASRAF AL RAYAN,DOHA,None
MIIFQAQA,52,MINISTRY OF FINANCE,DOHA,None
QMAGQAQA,53,QATAR CENTRAL BANK,DOHA,None
QIDBQAQA,54,QATAR DEVELOPMENT BANK,DOHA,None
QFIBQAQA,55,QATAR FIRST INVESTMENT BANK,DOHA,None
QFQFQAQA,56,QATAR FOUNDATION,DOHA,None
QIIBQAQA,57,QATAR INTERNATIONAL ISLAMIC BANK,DOHA,None
GQICQAQA,58,QATAR INVESTMENT AUTHORITY,DOHA,None
QISBQAQA,59,QATAR ISLAMIC BANK,DOHA,None
QNBAQAQACUS,60,QATAR NATIONAL BANK,DOHA,(CUSTODIAN)
QNBAQAQAFTD,61,QATAR NATIONAL BANK,DOHA,(FORIGN TRADE DEPT)
QNBAQAQACOD,62,QATAR NATIONAL BANK,DOHA,(OPERATION DEPT)
QNBAQAQASLB,63,QATAR NATIONAL BANK,DOHA,(SECURITY LENDING)
QNBAQAQATRO,64,QATAR NATIONAL BANK,DOHA,(TREASURY DEPT)
QNBAQAQA,65,QATAR NATIONAL BANK,DOHA,None
QPQPQAQA,66,QATAR PETROLEUM,DOHA,None
TSWQQAQA,67,QATAR PETROLEUM FOR THE SALE OF PETROLEUM PRODUCTS COMPANY LTD,DOHA,None
QASCQAQ1,68,QATAR SECURITIES COMPANY,DOHA,None
QAQGQAQA,69,QATARGAS OPERATING CO LTD,DOHA,None
QINVQAQA,70,QINVEST LLC,DOHA,None
QNBFQAQ1,71,QNB FINANCIAL SERVICES,DOHA,None
RLNGQAQA,72,RASGAS COMPANY LIMITED,DOHA,None
RLNGQAT1,73,RASGAS COMPANY LIMITED,DOHA,None
SAMBQAQA,74,SAMBA FINANCIAL GROUP,DOHA,None
SCBLQAQX,75,STANDARD CHARTERED BANK,DOHA,None
TSWQQAB1,76,TASWEEQ,DOHA,None
CBQAQAQA,77,THE COMMERCIAL BANK (Q.S.C),DOHA,None
GRPSQAQA,78,THE GROUP SECURITIES,DOHA,None
UNBEQAQH,79,UNION NATIONAL BANK-QATAR,DOHA,None
UNILQAQA,80,UNITED BANK LIMITED, DOHA,DOHA,None
UNILQAQATRY,81,UNITED BANK LIMITED, DOHA,DOHA,None
UDBKQAQ1,82,UNITED BANK LTD,DOHA,None
