swift_code,id,bank,city,branch
ACTNRO21,1,ACTINVEST SA,BRASOV,None
ACIRROB1,2,ACTIVE INTERNATIONAL SA,BUCHAREST,None
ALBPROBU,3,ALIOR BANK SA WARSAW BUCHAREST BRANCH,BUCHAREST,None
BUCUROBU,4,ALPHA BANK ROMANIA SA,BUCHAREST,None
ALNRROB1,5,ALPHA FINANCE ROMANIA SA,BUCHAREST,None
USINRO21GAL,6,ARCELORMITTAL TUBULAR PRODUCTS ROMAN SA,GALATI,None
USINRO21IAS,7,ARCELORMITTAL TUBULAR PRODUCTS ROMAN SA,IASI,None
USINRO21,8,ARCELORMITTAL TUBULAR PRODUCTS ROMAN SA,ROMAN,None
USINRO21MSR,9,ARCELORMITTAL TUBULAR PRODUCTS ROMAN SA,ROMAN,None
AUSMROB1,10,AUSTRO-ROM S.A.,BUCHAREST,None
BCERROB1,11,B.C.R. SECURITIES S.A.,BUCHAREST,None
BPOSROBU,12,BANC POST S.A.,BUCHAREST,None
CRCOROBU,13,BANCA CENTRALA COOPERATISTA CREDITCOOP,BUCHAREST,None
BFERROBU,14,BANCA COMERCIALA FEROVIARA S.A.,BUCHAREST,None
RNCBROBUAR0,15,BANCA COMERCIALA ROMANA S.A,ARAD,(ARAD BRANCH)
RNCBROBU,16,BANCA COMERCIALA ROMANA S.A,BUCHAREST,None
RNCBROBUT2S,17,BANCA COMERCIALA ROMANA S.A,BUCHAREST,None
RNCBROBUCS0,18,BANCA COMERCIALA ROMANA S.A,RESITA,(CARAS SEVERIN BRANCH)
RNCBROBUCV0,19,BANCA COMERCIALA ROMANA S.A,SFANTU GHEORGHE,(COVASNA BRANCH)
RNCBROBUIL0,20,BANCA COMERCIALA ROMANA S.A,SLOBOZIA,(IALOMITA BRANCH)
MINDROBU,21,BANCA ROMANA DE CREDITE SI INVESTITII S.A.,BUCHAREST,None
BRMAROBU,22,BANCA ROMANEASCA S.A.,BUCHAREST,None
BTRLRO22ABI,23,BANCA TRANSILVANIA S.A.,AIUD,(AIUD)
BTRLRO22ABA,24,BANCA TRANSILVANIA S.A.,ALBA IULIA,(ALBA BRANCH)
BTRLRO22BH4,25,BANCA TRANSILVANIA S.A.,ALESD,(AG. ALESD)
BTRLRO22TRA,26,BANCA TRANSILVANIA S.A.,ALEXANDRIA,(ALEXANDRIA)
BTRLRO22AR1,27,BANCA TRANSILVANIA S.A.,ARAD,(AG. ARAD)
BTRLRO22AR2,28,BANCA TRANSILVANIA S.A.,ARAD,(AG. ARAD)
BTRLRO22ARA,29,BANCA TRANSILVANIA S.A.,ARAD,(ARAD BRANCH)
BTRLRO22BCA,30,BANCA TRANSILVANIA S.A.,BACAU,(BACAU BRANCH)
BTRLRO22MMA,31,BANCA TRANSILVANIA S.A.,BAIA MARE,(BAIA MARE BRANCH)
BTRLRO22BHB,32,BANCA TRANSILVANIA S.A.,BEIUS,(BEIUS)
BTRLRO22BNA,33,BANCA TRANSILVANIA S.A.,BISTRITA,(BISTRITA BRANCH)
BTRLRO22BTA,34,BANCA TRANSILVANIA S.A.,BOTOSANI,(BOTOSANI)
BTRLRO22BRA,35,BANCA TRANSILVANIA S.A.,BRAILA,(BRAILA BRANCH)
BTRLRO22BVA,36,BANCA TRANSILVANIA S.A.,BRASOV,(BRASOV BRANCH)
BTRLRO22BB4,37,BANCA TRANSILVANIA S.A.,BUCHAREST,(AG. DOROBANTI)
BTRLRO22BB3,38,BANCA TRANSILVANIA S.A.,BUCHAREST,(AG. MAGHERU)
BTRLRO22BB2,39,BANCA TRANSILVANIA S.A.,BUCHAREST,(AG. MARRIOTT)
BTRLRO22BBC,40,BANCA TRANSILVANIA S.A.,BUCHAREST,(BUCURESTI CHIBRIT)
BTRLRO22BOT,41,BANCA TRANSILVANIA S.A.,BUCHAREST,(BUCURESTI OTOPENI)
BTRLRO22BVO,42,BANCA TRANSILVANIA S.A.,BUCHAREST,(BUCURESTI VOLUNTARI)
BTRLRO22BBL,43,BANCA TRANSILVANIA S.A.,BUCHAREST,(CENTRE NOUVEAU BRANCH)
BTRLRO22BB1,44,BANCA TRANSILVANIA S.A.,BUCHAREST,(MILITARI BRANCH)
BTRLRO22BBB,45,BANCA TRANSILVANIA S.A.,BUCHAREST,(OBOR BRANCH)
BTRLRO22BBP,46,BANCA TRANSILVANIA S.A.,BUCHAREST,(PANTELIMON BRANCH)
BTRLRO22BBA,47,BANCA TRANSILVANIA S.A.,BUCHAREST,(PIATA ALBA-IULIA BRANCH)
BTRLRO21BBT,48,BANCA TRANSILVANIA S.A.,BUCHAREST,(ROSETTI BRANCH)
BTRLRO22BBV,49,BANCA TRANSILVANIA S.A.,BUCHAREST,(VICTORIEI BRANCH)
BTRLRO22BZA,50,BANCA TRANSILVANIA S.A.,BUZAU,(BUZAU BRANCH)
BTRLRO21CJ7,51,BANCA TRANSILVANIA S.A.,CAMPIA TURZII,(CAMPIA TURZII BRANCH)
BTRLRO21PH1,52,BANCA TRANSILVANIA S.A.,CAMPINA,(AG. CAMPINA)
BTRLRO22SMC,53,BANCA TRANSILVANIA S.A.,CAREI,(AG. CAREI)
BTRLRO22AR4,54,BANCA TRANSILVANIA S.A.,CHISINAU CRIS,(AG. CHISINAU CRIS)
BTRLRO21CJ3,55,BANCA TRANSILVANIA S.A.,CLUJ-NAPOCA,(AG BARITIU)
BTRLRO21CJ2,56,BANCA TRANSILVANIA S.A.,CLUJ-NAPOCA,(AG MANASTUR)
BTRLRO22CJ8,57,BANCA TRANSILVANIA S.A.,CLUJ-NAPOCA,(AG. BILLA)
BTRLRO21CJ1,58,BANCA TRANSILVANIA S.A.,CLUJ-NAPOCA,(AG. DOROBANTILOR)
BTRLRO22BTS,59,BANCA TRANSILVANIA S.A.,CLUJ-NAPOCA,(BT SECURITIES)
BTRLRO22CJA,60,BANCA TRANSILVANIA S.A.,CLUJ-NAPOCA,(CLUJ-NAPOCA BRANCH)
BTRLRO21CJ5,61,BANCA TRANSILVANIA S.A.,CLUJ-NAPOCA,(GRIGORESCU BRANCH)
BTRLRO21CJ6,62,BANCA TRANSILVANIA S.A.,CLUJ-NAPOCA,(MARASTI BRANCH)
BTRLRO22CJM,63,BANCA TRANSILVANIA S.A.,CLUJ-NAPOCA,(MARASTI)
BTRLRO21CJ4,64,BANCA TRANSILVANIA S.A.,CLUJ-NAPOCA,(ZORILOR BRANCH)
BTRLRO22CJZ,65,BANCA TRANSILVANIA S.A.,CLUJ-NAPOCA,(ZORILOR)
BTRLRO22,66,BANCA TRANSILVANIA S.A.,CLUJ-NAPOCA,None
BTRLRO22CTA,67,BANCA TRANSILVANIA S.A.,CONSTANTA,(CONSTANTA BRANCH)
BTRLRO22DJA,68,BANCA TRANSILVANIA S.A.,CRAIOVA,(CRAIOVA BRANCH)
