swift_code,id,bank,city,branch
HAABRSBG,1,ADDIKO BANK A.D. BEOGRAD,BEOGRAD,None
AIKBRS22,2,AIK BANKA AD,BEOGRAD,None
DBDBRSBG,3,BANCA INTESA AD, BEOGRAD,BEOGRAD,None
BKCHRSBG,4,BANK OF CHINA SRBIJA A.D. BEOGRAD,BEOGRAD,None
BATSRS21,5,BRITISH AMERICAN TOBACCO A.D.VRANJE,VRANJE,None
BATSRSB1,6,BRITISH AMERICAN TOBACCO SOUTH - EAST EUROPE DOO,BEOGRAD,None
CPTORSB1,7,CAPITALONE A.D.,BEOGRAD,None
CSDERSB1,8,CENTRAL SECURITIES DEPOSITORY AND CLEARING HOUSE,BEOGRAD,None
MEBARS22,9,CREDIT AGRICOLE SRBIJA AD NOVI SAD,NOVI SAD,None
DIJARS21,10,DIJAMANT BANKA AD ZRENJANIN,ZRENJANIN,None
KRAGRS22,11,DIREKTNA BANKA AD KRAGUJEVAC,KRAGUJEVAC,None
EFSBRSB1,12,EFG SECURITIES A.D. BELGRADE,BEOGRAD,None
GIBARS22,13,ERSTE BANK A.D. NOVI SAD,NOVI SAD,None
ERBKRSBGSEC,14,EUROBANK AD,BEOGRAD,(CUSTODY UNIT)
ERBKRSBG,15,EUROBANK AD,BEOGRAD,None
LIKIRSBG,16,EXPOBANK AD BEOGRAD,BEOGRAD,None
UPSRRSB1,17,GOVERNMENT OF THE REPUBLIC OF SERBIA MINISTRY OF FINANCE,BEOGRAD,None
CABARS22,18,HALKBANK A.D. BEOGRAD,BEOGRAD,None
JMBNRSBG,19,JUBMES BANKA A.D. BEOGRAD,BEOGRAD,None
KOBBRSBGGFB,20,KOMERCIJALNA BANKA A.D. BEOGRAD,BEOGRAD,(MAIN BRANCH)
KOBBRSBG,21,KOMERCIJALNA BANKA A.D. BEOGRAD,BEOGRAD,None
KOBBRSBGFCA,22,KOMERCIJALNA BANKA A.D. BEOGRAD,CACAK,(BRANCH CACAK)
KOBBRSBGFJA,23,KOMERCIJALNA BANKA A.D. BEOGRAD,JAGODINA,(BRANCH JAGODINA)
KOBBRSBGFKG,24,KOMERCIJALNA BANKA A.D. BEOGRAD,KRAGUJEVAC,(KRAGUJEVAC BRANCH)
KOBBRSBGFKV,25,KOMERCIJALNA BANKA A.D. BEOGRAD,KRALJEVO,(BRANCH KRALJEVO)
KOBBRSBGKRS,26,KOMERCIJALNA BANKA A.D. BEOGRAD,KRUSEVAC,None
KOBBRSBGGFN,27,KOMERCIJALNA BANKA A.D. BEOGRAD,NIS,(MAIN BRANCH NIS)
KOBBRSBGFNP,28,KOMERCIJALNA BANKA A.D. BEOGRAD,NOVI PAZAR,(NOVI PAZAR BRANCH)
KOBBRSBGFNS,29,KOMERCIJALNA BANKA A.D. BEOGRAD,NOVI SAD,(NOVI SAD BRANCH)
KOBBRSBGFPO,30,KOMERCIJALNA BANKA A.D. BEOGRAD,POZAREVAC,(BRANCH  POZAREVAC)
KOBBRSBGFSA,31,KOMERCIJALNA BANKA A.D. BEOGRAD,SABAC,(SABAC BRANCH)
KOBBRSBGFSO,32,KOMERCIJALNA BANKA A.D. BEOGRAD,SOMBOR,(BRANCH SOMBOR)
KOBBRSBGFSM,33,KOMERCIJALNA BANKA A.D. BEOGRAD,SREMSKA MITROVICA,(BRANCH SREMSKA MITROVICA)
KOBBRSBGFSU,34,KOMERCIJALNA BANKA A.D. BEOGRAD,SUBOTICA,(SUBOTICA BRANCH)
KOBBRSBGFUE,35,KOMERCIJALNA BANKA A.D. BEOGRAD,UZICE,(BRANCH UZICE)
KOBBRSBGFVA,36,KOMERCIJALNA BANKA A.D. BEOGRAD,VALJEVO,(VLAJEVO BRANCH)
KOBBRSBGFZR,37,KOMERCIJALNA BANKA A.D. BEOGRAD,ZRENJANIN,(BRANCH ZRENJANIN)
MBBNRS21,38,MB BANK A.D. NIS,NIS,None
MEGBRSB1,39,MEGA-EURO BANKA,BEOGRAD,None
MRBNRSBG,40,MIRABANK A.D. BEOGRAD NOVI BEOGRAD,NOVI BEOGRAD,None
KMEBRS2Z,41,MTS BANKA A.D. BEOGRAD,BEOGRAD,None
NBSRRS21001,42,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS),BEOGRAD,None
NBSRRS21002,43,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS),BEOGRAD,None
NBSRRS21003,44,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS),BEOGRAD,None
NBSRRS21004,45,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS),BEOGRAD,None
NBSRRS21005,46,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS),BEOGRAD,None
NBSRRS21006,47,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS),BEOGRAD,None
NBSRRS21007,48,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS),BEOGRAD,None
NBSRRS21008,49,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS),BEOGRAD,None
NBSRRS21009,50,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS),BEOGRAD,None
NBSRRS21PI1,51,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS),BEOGRAD,None
NBSRRS21UP1,52,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS),BEOGRAD,None
NBSRRS21UP2,53,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS),BEOGRAD,None
NBSRRS21UP3,54,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS),BEOGRAD,None
NBSRRSBD,55,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS),BEOGRAD,None
NBSRRSBG,56,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS),BEOGRAD,None
NBSRRS21JJ1,57,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS),KOSOVSKA MITROVICA,None
CONARS22,58,NLB BANKA A.D. BEOGRAD,NOVI BEOGRAD,None
OPSARS21,59,OPPORTUNITY BANKA,NOVI SAD,None
OPPBRS22,60,OPPORTUNITY BANKA A.D. NOVI SAD,NOVI SAD,None
OTPVRS22,61,OTP BANKA SRBIJA A.D. NOVI SAD,NOVI SAD,None
PESTRS21,62,PESTERBANKA,NOVI PAZAR,None
PIRBRSBG,63,PIRAEUS BANK AD BEOGRAD,BEOGRAD,None
PIBBRS21,64,POLJOPRIVREDNO INVESTICIONA BANKA,BEOGRAD,None
