swift_code,id,bank,city,branch
KZBURU51,1,AB OAO 'KUZNETSKBIZNESBANK',NOVOKUZNETSK,None
ABSLRUMM,2,ABSOLUT BANK,MOSCOW,None
ELKARU3SMOS,3,AC BANK,MOSCOW,(MOSCOW BRANCH)
ELKARU3S,4,AC BANK,SAMARA,None
ELKARU3SSPB,5,AC BANK,ST. PETERSBURG,None
ORSKRU44,6,ACCENT,ORSK,None
ABOCRUMM,7,AGRICULTURAL BANK OF CHINA (MOSCOW) LIMITED,MOSCOW,None
AGHIRUM1,8,AGROKHIM BANK,MOSCOW,None
AGRYRUM1,9,AGROSOYUZ BANK,MOSCOW,None
AGSZRU33,10,AGROSOYUZ BANK,MOSCOW,None
AGSZRU31ORB,11,AGROSOYUZ BANK,ORENBURG,(ORENBURG BRANCH)
AGSZRU31SPB,12,AGROSOYUZ BANK,ST. PETERSBURG,(ST.PETERBURG BRANCH)
ARRSRU21ALM,13,AK BARS BANK,ALMETYEVSK,(ALMETYEVSK BRANCH)
ARRSRU21CHS,14,AK BARS BANK,CHISTOPOL,(CHISTOPOL BRANCH)
ARRSRU21EKA,15,AK BARS BANK,EKATERINBURG,(EKATERINBURG BRANCH)
ARRSRU21ELA,16,AK BARS BANK,ELABUGA,(ELABUGA BRANCH)
ARRSRU21IZH,17,AK BARS BANK,IZHEVSK,(IZHEVSK BRANCH)
ARRSRU21KAZ,18,AK BARS BANK,KAZAN,(KAZAN BRANCH)
ARRSRU2K,19,AK BARS BANK,KAZAN,None
ARRSRU21KRD,20,AK BARS BANK,KRASNODAR,(KRASNODAR BRANCH)
ARRSRU21MOS,21,AK BARS BANK,MOSCOW,(MOSCOW BRANCH)
ARRSRU21NAB,22,AK BARS BANK,NABEREZHNYE CHELNY,(NABEREZHNYYE CHELNY BRANCH)
ARRSRU21NKM,23,AK BARS BANK,NIZHNEKAMSK,(NIZHNEKAMSK BRANCH - INTERKAMA)
ARRSRU21NNG,24,AK BARS BANK,NIZHNIY NOVGOROD,(NIZHNIY NOVGOROD BRANCH)
ARRSRU21NSB,25,AK BARS BANK,NOVOSIBIRSK,(NOVOSIBIRSK BRANCH)
ARRSRU21SPB,26,AK BARS BANK,ST. PETERSBURG,(SEVERO-ZAPADNY  BRANCH)
ARRSRU21UFA,27,AK BARS BANK,UFA,(UFA BRANCH)
ARRSRU21ZEL,28,AK BARS BANK,ZELENODOLSK,(ZELENODOLSK BRANCH)
AKBVRU21,29,AKB VOLGO-DON BANK,VOLGOGRAD,None
AKKORU51,30,AKKOBANK OAO,SURGUT,None
AKTVRU21,31,AKTIV BANK,SARANSK,None
AKCARU21,32,AKTSIONEMY, JOINT-STOCK PUBLIC COMPANY,ALMETYEVSK,None
ALEFRUM1001,33,ALEF-BANK,KURGAN,(KURGANSKII)
ALEFRUM1002,34,ALEF-BANK,LEBEDYAN',(LEBEDYANSKII )
ALEFRUM1003,35,ALEF-BANK,LYSVA,(LYSVA)
ALEFRUMM,36,ALEF-BANK,MOSCOW,None
ITEHRU21200,37,ALEKSANDROVSKY BANK,LODEJNOE POLE,(LODEJNOE POLE BRANCH)
ITEHRU21300,38,ALEKSANDROVSKY BANK,MOSCOW,(MOSCOW BRANCH)
ITEHRU21100,39,ALEKSANDROVSKY BANK,MURMANSK,(MURMANSK BRANCH)
ITEHRU2P,40,ALEKSANDROVSKY BANK,ST. PETERSBURG,None
ALCPRUM1,41,ALFA CAPITAL,MOSCOW,None
ALFARUM1006,42,ALFA-BANK,EKATERINBURG,(EKATERINBURG BRANCH)
ALFARUM1020,43,ALFA-BANK,KHABAROVSK,(KHABAROVSK BRANCH)
ALFARUMM,44,ALFA-BANK,MOSCOW,None
ALFARUM1001,45,ALFA-BANK,NIZHNIY NOVGOROD,(NIZHNIY NOVGOROD BRANCH)
ALFARUM1015,46,ALFA-BANK,NOVOSIBIRSK,(NOVOSIBIRSK BRANCH)
ALFARUM1018,47,ALFA-BANK,ROSTOV-ON-DON,(ROSTOV BRANCH)
ALFARUM1002,48,ALFA-BANK,ST. PETERSBURG,(ST. PETERSBURG BRANCH)
ALFARUM1037,49,ALFA-BANK,STAVROPOL,None
ALALRUMM,50,ALJBA ALLIANCE,MOSCOW,None
FRIBRUMM,51,ALMA BANK,MOSCOW,None
ALMZRU8Y,52,ALMAZERGIENBANK,YAKUTSK,None
AEGBRUMM,53,AMERICAN EXPRESS BANK LLC,MOSCOW,None
ANDJRU21,54,ANDJIBANK,MAKHACHKALA,None
BOTKRUMM,55,AO BANK OF TOKYO-MITSUBISHI UFJ (EURASIA),MOSCOW,None
IVAORU21,56,AO CB IVANOVO,IVANOVO,None
CITIRUMXBON,57,AO CITIBANK, MOSCOW,MOSCOW,(CITI RUSSIA TREASURY OPERATIONS)
CITIRUMX,58,AO CITIBANK, MOSCOW,MOSCOW,None
ECILRU21,59,AO COMMERCIAL INVESTMENT BANK 'EUROALLIANCE',IVANOVO,None
EXVORU21,60,AO CRA EXPRESS-VOLGA,SARATOV,None
MHCCRUMM,61,AO MIZUHO BANK (MOSCOW),MOSCOW,None
MREERUM1,62,AO 'M-REESTR',MOSCOW,None
RZBMRUMM,63,AO RAIFFEISENBANK,MOSCOW,None
HVBKRUMM,64,AO WOORI BANK,MOSCOW,None
HVBKRUMMSPB,65,AO WOORI BANK,ST. PETERSBURG,(ST. PETERSBURG BRANCH)
APABRUMM,66,APABANK,MOSCOW,None
ARBORUM1,67,ARBAT BANK COMMERCIAL BANK LTD.,MOSCOW,None
ARESRUMM,68,ARESBANK,MOSCOW,None
ASIJRUMM,69,ASIA-INVEST BANK JSC,MOSCOW,None
ASANRU8X,70,ASIAN-PACIFIC BANK,BLAGOVESHCHENSK,None
AJICRU81,71,ASIA-PACIFIC BANK AO,BLAGOVESHCHENSK,None
ASKORU21,72,ASKOLD BANK OAO,SMOLENSK,None
ASOJRU2N,73,ASSOTSIATSIYA BANK,NIZHNIY NOVGOROD,None
ATBTRUMM,74,ATB BANK,MOSCOW,None
ATONRUM1,75,ATON,MOSCOW,None
ATIMRUM1,76,ATON INVESTMENT COMPANY,MOSCOW,None
AVJSRUMM,77,AVANGARD BANK,MOSCOW,None
BKAVRU2K,78,AVERS BANK,KAZAN,None
AVGRRU22,79,AVTOGRADBANK,NABEREZHNYE CHELNY,None
SLAKRUM1,80,AVTOTORGBANK OOO,MOSCOW,None
AVBKRU31CHE,81,AVTOVAZBANK JOINT-STOCK COMPANY,CHEBOKSARY,(CHEBOKSARY OPERATING OFFICE)
AVBKRU31DIM,82,AVTOVAZBANK JOINT-STOCK COMPANY,DIMITROVGRAD,(DIMITROVGRAD OPERATING OFFICE)
AVBKRU31MOS,83,AVTOVAZBANK JOINT-STOCK COMPANY,MOSCOW,(MOSCOW BRANCH)
AVBKRU31CHL,84,AVTOVAZBANK JOINT-STOCK COMPANY,NABEREZHNYE CHELNY,(REPRESENTATIVE OFFICE)
AVBKRU31ORN,85,AVTOVAZBANK JOINT-STOCK COMPANY,ORENBURG,(ORENBURG OPERATING OFFICE)
AVBKRU31GEO,86,AVTOVAZBANK JOINT-STOCK COMPANY,SAMARA,(GEORGIEVSKIJ BRANCH)
AVBKRU31SAM,87,AVTOVAZBANK JOINT-STOCK COMPANY,SAMARA,(SAMARA OPERATING OFFICE)
AVBKRU31SIA,88,AVTOVAZBANK JOINT-STOCK COMPANY,SYZRAN,(SYZRAN OPERATING OFFICE)
AVBKRU3T,89,AVTOVAZBANK JOINT-STOCK COMPANY,TOGLIATTI,(HEAD OFFICE)
AVBKRU31ULN,90,AVTOVAZBANK JOINT-STOCK COMPANY,ULYANOVSK,(ULYANOVSK BRANCH)
AZIMRUM1,91,AZIMUT BANK,MOSCOW,None
MOBWRUM1AND,92,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),ANADYR,(ANADYR BRANCH)
MOBWRUM1ARH,93,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),ARKHANGELSK,(ARKHANGELSK BRANCH)
MOBWRUM1BRN,94,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),BARNAUL,(BARNAUL BRANCH)
MOBWRUM1CHL,95,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),CHELYABINSK,(CHELYABINSK BRANCH)
MOBWRUM1CHT,96,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),CHITA,(CHITA BRANCH)
BINORU21EKB,97,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),EKATERINBURG,(EKATERINBURG BRANCH  2 B AND N BANK)
MOBWRUM1EKT,98,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),EKATERINBURG,(EKATERINBURG BRANCH)
MOBWRUM1IRK,99,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),IRKUTSK,(IRKUTSK BRANCH)
MOBWRUM1IVN,100,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),IVANOVO,(IVANOVO BRANCH)
MOBWRUM1IZH,101,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),IZHEVSK,(IZHEVSK BRANCH)
MOBWRUM1KAZ,102,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),KAZAN,(KAZAN BRANCH)
MOBWRUM1KMR,103,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),KEMEROVO,(KEMEROVO BRANCH)
MOBWRUM1KHB,104,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),KHABAROVSK,(KHABAROVSK BRANCH)
MOBWRUM1KRS,105,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),KRASNOYARSK,(KRASNOYARSK BRANCH)
MOBWRUM1KRG,106,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),KURGAN,(KURGAN BRANCH)
MOBWRUM1KUR,107,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),KURSK,(KURSK BRANCH)
MOBWRUM1LIP,108,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),LIPETSK,(LIPETSK BRANCH)
BINORU21MOS,109,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),MOSCOW,(BRANCH B AND N BANK IN MOSCOW)
MOBWRUMMTRS,110,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),MOSCOW,(OPERATIONAL DEPARTMENT)
BINORU21,111,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),MOSCOW,None
BINORUMM,112,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),MOSCOW,None
MOBWRU21,113,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),MOSCOW,None
MOBWRUMM,114,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),MOSCOW,None
MOBWRUM1MRM,115,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),MURMANSK,(MURMANSK BRANCH)
MOBWRUM1NZH,116,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),NIZHNIY NOVGOROD,(NIZHNY NOVGOROD BRANCH)
MOBWRUM1NVK,117,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),NOVOKUZNETSK,(NOVOKUZNETSK BRANCH)
MOBWRUMMNVS,118,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),NOVOSIBIRSK,(ADMINISTRATIVE)
BINORU21NVS,119,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),NOVOSIBIRSK,(NOVOSIBIRSK BRANCH 2 B AND N BANK)
MOBWRUM1OBN,120,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),OBNINSK,(OBNINSK BRANCH)
MOBWRUM1OMS,121,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),OMSK,(OMSK BRANCH)
MOBWRUM1ORL,122,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),OREL,(OREL BRANCH)
MOBWRUM1PNZ,123,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),PENZA,(PENZA BRANCH)
MOBWRUM1PRM,124,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),PERM,(PERM BRANCH)
BINORU21RST,125,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),ROSTOV-ON-DON,(ROSTOV BRANCH  2 B AND N BANK)
MOBWRUM1RST,126,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),ROSTOV-ON-DON,(ROSTOV-ON-DON BRANCH)
MOBWRUM1SAM,127,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),SAMARA,(SAMARA BRANCH)
MOBWRUM1SYN,128,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),SAYANOGORSK,(SAYANOGORSK BRANCH)
MOBWRUM1SML,129,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),SMOLENSK,(SMOLENSK BRANCH)
BINORU21SPB,130,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),ST. PETERSBURG,(ST PETERSBURG BRANCH 2 B AND N BANK)
MOBWRUMMSPB,131,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),ST. PETERSBURG,(ST. PETERSBURG BRANCH)
BINORU21STV,132,B AND N BANK (PUBLIC JOINT-STOCK COMPANY),STAVROPOL,(STAVROPOL BRANCH  2 B AND N BANK)
