swift_code,id,bank,city,branch
ABBRRWRW,1,AB BANK RWANDA LTD.,KIGALI,None
BKORRWRW,2,ACCESS BANK (RWANDA) SA,KIGALI,None
AFRWRWRW,3,BANK OF AFRICA RWANDA LTD,KIGALI,None
BKIGRWRW,4,BANK OF KIGALI LIMITED,KIGALI,None
LHRWRWR1,5,BANQUE DE L'HABITAT DU RWANDA,KIGALI,None
BNRWRWRP,6,BANQUE NATIONALE DU RWANDA (BNR),KIGALI,None
BNRWRWRW,7,BANQUE NATIONALE DU RWANDA (BNR),KIGALI,None
BPRWRWRW,8,BANQUE POPULAIRE DU RWANDA LTD,KIGALI,None
CGBKRWRW,9,COMPAGNIE GENERALE DE BANQUE/COGEBANQUE,KIGALI,None
CRRWRWRW,10,CRANE BANK RWANDA LTD,KIGALI,None
BRDRRWRW,11,DEVELOPMENT BANK OF RWANDA,KIGALI,None
ECOCRWRW,12,ECOBANK RWANDA,KIGALI,None
EQBLRWRW,13,EQUITY BANK RWANDA LIMITED,KIGALI,None
GTBIRWRK,14,GUARANTY TRUST BANK (RWANDA) LTD,KIGALI,None
IMRWRWRW,15,I AND M BANK (RWANDA) LIMITED,KIGALI,None
KCBLRWRW163,16,KCB BANK RWANDA LTD,HUYE,(KCB RWANDA - HUYE BRANCH)
KCBLRWRW161,17,KCB BANK RWANDA LTD,KIGALI,(CENTRAL CLEARING CENTRE - HEAD OFFICE)
KCBLRWRW,18,KCB BANK RWANDA LTD,KIGALI,None
KCBLRWRWCUS,19,KCB BANK RWANDA LTD,KIGALI,None
KCBLRWRW165,20,KCB BANK RWANDA LTD,MUSANZE,(KCB RWANDA - MUSANZE BRANCH)
KCBLRWRW162,21,KCB BANK RWANDA LTD,RUBAVU,(KCB RWANDA - RUBAVU)
KCBLRWRW164,22,KCB BANK RWANDA LTD,RUSIZI,(KCB RWANDA - RUSIZI BRANCH)
CBRWRWR1,23,NATIONAL BANK OF RWANDA,KIGALI,None
UOBRRWRW,24,URWEGO OPPORTUNITY BANK LIMITED,KIGALI,None
