swift_code,id,bank,city,branch
AMETSAJ1,1,AL AMOUNDI EXCHANGE AND TRADING,JEDDAH,None
INMASARI,2,AL INMA BANK,RIYADH,None
RJHISARI,3,AL RAJHI BANK,RIYADH,(HEAD OFFICE)
AMDISAJE,4,ALAMOUDI EXCHANGE COMPANY,JEDDAH,None
AAALSARIALK,5,ALAWWAL BANK,ALKHOBAR,(EASTERN AREA ALKHOBAR)
AAALSARIJED,6,ALAWWAL BANK,JEDDAH,(WESTERN AREA JEDDAH)
AAALSARIRYD,7,ALAWWAL BANK,RIYADH,(CENTRAL AREA RIYADH)
AAALSARICTD,8,ALAWWAL BANK,RIYADH,(CENTRAL TREASURY DEPT.)
AAALSARI,9,ALAWWAL BANK,RIYADH,None
SAHCSARI,10,ALAWWAL INVEST,RIYADH,None
ALMRSARI,11,ALMARAI COMPANY,RIYADH,None
AFEXSAJ1,12,ALRAJHI COMMERCIAL FOREIGN EXCHANGE,JEDDAH,None
ARNBSARI,13,ARAB NATIONAL BANK,RIYADH,(HEAD OFFICE)
APICSADM,14,ARAB PETROLEM INVESTMENTS CORPORATION,DAMMAM,None
APIASAR1,15,ARAB PETROLEUM INVESTMENTS CORPORATION,DAMMAM,None
ALBISARIDAM,16,BANK AL BILAD,DAMMAM,(DAMMAM)
ALBISARIJED,17,BANK AL BILAD,JEDDAH,(JEDDAH)
ALBISARICAP,18,BANK AL BILAD,RIYADH,(ALBILAD CUSTODY)
ALBISARITFC,19,BANK AL BILAD,RIYADH,(TRADE FINANCE CENTER)
ALBISARI,20,BANK AL BILAD,RIYADH,None
BJAZSAJE013,21,BANK AL-JAZIRA,ALKHOBAR,(ALKHOBAR BRANCH)
BJAZSAJE026,22,BANK AL-JAZIRA,BURAIDAH,(BURAIDAH BRANCH)
BJAZSAJE009,23,BANK AL-JAZIRA,DAMMAM,(DAMMAM BRANCH)
BJAZSAJE025,24,BANK AL-JAZIRA,HOFUF,(HOFUF BRANCH)
BJAZSAJE002,25,BANK AL-JAZIRA,JEDDAH,(HEAD OFFICE)
BJAZSAJE007,26,BANK AL-JAZIRA,JEDDAH,(KHALID BIN WALEED STREET BRANCH)
BJAZSAJE006,27,BANK AL-JAZIRA,JEDDAH,(KING ABDUL AZIZ STREET BR.)
BJAZSAJE021,28,BANK AL-JAZIRA,JEDDAH,(MADINA ROAD BRANCH)
BJAZSAJE,29,BANK AL-JAZIRA,JEDDAH,None
BJAZSAJE019,30,BANK AL-JAZIRA,JUBAIL,(JUBAIL BRANCH)
BJAZSAJE011,31,BANK AL-JAZIRA,MADINA MUNAWWARA,(MADINA MUNAWWARA BRANCH)
BJAZSAJE010,32,BANK AL-JAZIRA,MAKKAH AL-MUKARRAMA,(MAKKAH MUKARRAMA BRANCH)
BJAZSAJE016,33,BANK AL-JAZIRA,RIYADH,(OLAYYAH BRANCH)
BJAZSAJE027,34,BANK AL-JAZIRA,RIYADH,(SITTEEN STREET BRANCH)
BMUSSARI,35,BANKMUSCAT,RIYADH,None
BSFRSARIEST,36,BANQUE SAUDI FRANSI,ALKHOBAR,(EASTERN REGION)
BSFRSARIWST,37,BANQUE SAUDI FRANSI,JEDDAH,(WESTERN REGION)
BSFRSARIRYD,38,BANQUE SAUDI FRANSI,RIYADH,(CENTRAL REGION)
BSFRSARIGEM,39,BANQUE SAUDI FRANSI,RIYADH,(HEAD OFFICE)
BSFRSARI,40,BANQUE SAUDI FRANSI,RIYADH,None
BNPASARB,41,BNP PARIBAS INVESTMENT COMPANY KSA,RIYADH,None
BNPASARBWMI,42,BNP PARIBAS INVESTMENT COMPANY KSA,RIYADH,None
BNPASARI,43,BNP PARIBAS SAUDI ARABIA,RIYADH,None
CRESSARA,44,CREDIT SUISSE SAUDI ARABIA,RIYADH,None
CRESSARA20R,45,CREDIT SUISSE SAUDI ARABIA,RIYADH,None
DEUTSARICUS,46,DEUTSCHE BANK AG, RIYADH BRANCH,RIYADH,(DOMESTIC CUSTODY SERVICES)
DEUTSARA,47,DEUTSCHE BANK AG, RIYADH BRANCH,RIYADH,None
DEUTSARAAWM,48,DEUTSCHE BANK AG, RIYADH BRANCH,RIYADH,None
DEUTSARACUS,49,DEUTSCHE BANK AG, RIYADH BRANCH,RIYADH,None
DEUTSARI,50,DEUTSCHE BANK AG, RIYADH BRANCH,RIYADH,None
DEUTSARIGES,51,DEUTSCHE BANK AG, RIYADH BRANCH,RIYADH,None
DEUTSARB,52,DEUTSCHE SECURITIES SAUDI ARABIA,RIYADH,None
EAAMSAJ1,53,EAST AFRICA MARITIME,JEDDAH,None
EFKSSAR1,54,EFG-HERMES KSA,RIYADH,None
EBILSARI,55,EMIRATES NBD PJSC,RIYADH,None
GULFSARI,56,GULF INTERNATIONAL BANK B.S.C., RIYADH,RIYADH,None
ICBKSARI,57,INDUSTRIAL AND COMMERCIAL BANK OF CHINA RIYADH BRANCH, SA,RIYADH,None
ITFKSAJE,58,INTERNATIONAL ISLAMIC TRADE FINANCE CORPORATION (MEMBER ISLAMIC DEVELOPMENT BANK GROUP),JEDDAH,None
ICDKSAJE,59,ISLAMIC CORPORATION FOR THE DEVELOPMENT OF THE PRIVATE SECTOR (MEMBER, ISLAMIC DEVELOPMENT BANK GROUP),JEDDAH,None
ISLDSAJEITF,60,ISLAMIC DEVELOPMENT BANK,JEDDAH,(INTERNATIONAL TRADE FINANCE)
ISLDSAJE,61,ISLAMIC DEVELOPMENT BANK,JEDDAH,None
ISLDSAJEICD,62,ISLAMIC DEVELOPMENT BANK,JEDDAH,None
JPMGSARYDCC,63,J.P. MORGAN SAUDI ARABIA LIMITED,RIYADH,(DIRECT CUSTODY AND CLEARING- KINGDOM OF SAUDIA ARABIA)
JPMGSARY,64,J.P. MORGAN SAUDI ARABIA LIMITED,RIYADH,None
CHASSARISAU,65,JPMORGAN CHASE BANK, N.A. RIYADH,RIYADH,(SAUDI ARABIA EXPENSES)
CHASSARI,66,JPMORGAN CHASE BANK, N.A. RIYADH,RIYADH,None
KPSRSADD,67,KING ABDULLAH PETROLEUM STUDIES AND RESEARCH CENTER,DHAHRAN,None
HFEXSAJ1,68,M. MOUNIR HALAWANI SONS, EXCHANGE COMPANY,JEDDAH,None
MLSASARI,69,MERRILL LYNCH KINGDOM OF SAUDI ARABIA,RIYADH,None
MHYCSAJE,70,MOHAMMED HASSAN YELLA AND SONS EXCHANGE COMPANY,JEDDAH,None
MSRISAR1,71,MORGAN STANLEY SAUDI ARABIA,RIYADH,None
MSSRSAR1,72,MORGAN STANLEY SAUDI ARABIA,RIYADH,None
NHDISAJE,73,NAHDI MEDICAL COMPANY,JEDDAH,None
NBOBSARI,74,NATIONAL BANK OF BAHRAIN,RIYADH,None
NBOKSAJE,75,NATIONAL BANK OF KUWAIT,JEDDAH,None
NBPASARI,76,NATIONAL BANK OF PAKISTAN,RIYADH,None
NBCCSAJE,77,NATIONAL BISCUITS AND CONFECTIONERY COMPANY,JEDDAH,None
NCBKSAJE615,78,NATIONAL COMMERCIAL BANK, THE,DAMMAM,(TRADE SERVICES-EAST)
NCBKSAJE,79,NATIONAL COMMERCIAL BANK, THE,JEDDAH,(HEAD OFFICE)
NCBKSAJE101,80,NATIONAL COMMERCIAL BANK, THE,JEDDAH,(JEDDAH, MAIN BRANCH)
