swift_code,id,bank,city,branch
ABDISDKH,1,ABU DHABI ISLAMIC BANK,KHARTOUM,None
ABSUSDKH,2,AGRICULTURAL BANK OF SUDAN,KHARTOUM,None
RAKASDKH,3,AL BARAKA BANK (SUDAN),KHARTOUM,None
NILESDKH02P,4,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,ABU HAMAD,None
NILESDKH02B,5,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,ABU JEBEHA,None
NILESDKH02N,6,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,ADDBH,None
NILESDKH02H,7,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,ATBRA,None
NILESDKH02K,8,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,DUNGLA,None
NILESDKH02D,9,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,EL FASHIR,None
NILESDKH02F,10,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,ELGDARIF,None
NILESDKH02M,11,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,ELGOLID,None
NILESDKH026,12,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,ELMNGIL,None
NILESDKH02A,13,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,ELNIHOOD,None
NILESDKH027,14,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,ELOBIED,None
NILESDKH02L,15,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,KAREMA,None
NILESDKH02G,16,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,KASLA,None
NILESDKH0K2,17,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,KHARTOUM,(KHARTOUM NORTH BRANCH)
NILESDKH,18,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,KHARTOUM,None
NILESDKH02E,19,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,KHARTOUM,None
NILESDKH02J,20,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,KHASHM ELGIRBA,None
NILESDKH0S2,21,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,KOSTI,None
NILESDKH025,22,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,MEDANI,None
NILESDKH02C,23,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,NIALA,None
NILESDKH024,24,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,OMDURMAN,None
NILESDKH028,25,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,OMRWABA,None
NILESDKH0PS,26,AL NILE BANK FOR COMMERCE AND DEVELOPMENT CO.,PORT SUDAN,None
ISBSSDKH,27,AL SHAMAL ISLAMIC BANK,KHARTOUM,None
KHJBSDKH,28,ALKHALEEJ BANK,KHARTOUM,None
ALSASDKH,29,ALSALAM BANK,KHARTOUM,None
ANRESDKH,30,ANIMAL RESOURCES BANK,KHARTOUM,None
ABEASDKH,31,ARAB BANK FOR ECONOMIC DEVELOPMENT IN AFRICA (BADEA),KHARTOUM,None
ARABSDKH,32,ARAB SUDANESE BANK,KHARTOUM,None
BAKHSDKH,33,BANK OF KHARTOUM,KHARTOUM,None
BOLSSDK1,34,BANK OF OMAN LTD. (SUDAN),KHARTOUM,None
BSAHSDKH,35,BANQUE SAHELO-SAHARIENNE POUR L'INVESTISSEMENT ET LE COMMERCE - SOUDAN BRANCHE - (B.S.I.C.),KHARTOUM,None
BLNISDKH,36,BLUE NILE MASHREG BANK,KHARTOUM,None
BYBASDKH,37,BYBLOS BANK AFRICA LIMITED,KHARTOUM,None
BSDNSDKHHQR,38,CENTRAL BANK OF SUDAN,KHARTOUM,(HEAD QUARTER)
BSDNSDKH,39,CENTRAL BANK OF SUDAN,KHARTOUM,None
CITISDK1,40,CITIBANK N.A.,KHARTOUM,None
ENIDSDKH,41,EL NILEIN INDUSTRIAL DEVELOPMENT BANK GROUP,KHARTOUM,None
EBSLSDK1,42,ELECTRONIC BANKING SERVICES,KHARTOUM,None
GSJBSDKH,43,ELGAZEERA SUDANESE JORDANIAN BANK,KHARTOUM,None
EXPDSDKH,44,EXPORT DEVELOPMENT BANK,KHARTOUM,None
FISBSDKH107,45,FAISAL ISLAMIC BANK,KHARTOUM,(AL SAGANAH BRANCH)
FISBSDKH118,46,FAISAL ISLAMIC BANK,KHARTOUM,(AL SUK AL ARABI BRANCH)
FISBSDKH116,47,FAISAL ISLAMIC BANK,KHARTOUM,(AL SUK AL MAHALI BRANCH)
FISBSDKH110,48,FAISAL ISLAMIC BANK,KHARTOUM,(AL SUK AL SHABI KHARTOUM BRANCH)
FISBSDKH122,49,FAISAL ISLAMIC BANK,KHARTOUM,(CORPORATE DEPARTMENT)
FISBSDKH101,50,FAISAL ISLAMIC BANK,KHARTOUM,(FAIHA BRANCH)
FISBSDKH102,51,FAISAL ISLAMIC BANK,KHARTOUM,(KHARTOUM CENTRAL STATION BRANCH)
FISBSDKH115,52,FAISAL ISLAMIC BANK,KHARTOUM,(KHARTOUM NEW INDUSTRIAL AREA BRANCH)
FISBSDKH114,53,FAISAL ISLAMIC BANK,KHARTOUM,(KHARTOUM NORTH INDUSTRIAL AREA BRANCH)
FISBSDKH105,54,FAISAL ISLAMIC BANK,KHARTOUM,(UNIVERSITY OF KHARTOUM BRANCH)
FISBSDKH,55,FAISAL ISLAMIC BANK,KHARTOUM,None
FISBSDKH121,56,FAISAL ISLAMIC BANK,OMDURMAN,(OMDURMAN BRANCH)
FISBSDKH401,57,FAISAL ISLAMIC BANK,PORT SUDAN,(PORTSUDAN BRANCH)
FARCSDKH,58,FARMERS COMMERCIAL BANK,KHARTOUM,None
FITBSDKH,59,FINANCIAL INVESTMENT BANK,KHARTOUM,None
HABBSDK1,60,HABIB BANK LTD,KHARTOUM,None
IBWSSDK1,61,ISLAMIC BANK FOR WESTERN SUDAN,KHARTOUM,None
NBADSDKHAMR,62,NATIONAL BANK OF ABU DHABI KHARTOUM BRANCH,KHARTOUM,(AMARAT BRANCH)
NBADSDKH,63,NATIONAL BANK OF ABU DHABI KHARTOUM BRANCH,KHARTOUM,None
NBEKSDKH,64,NATIONAL BANK OF EGYPT (KHARTOUM),KHARTOUM,None
NBSUSDKH,65,NATIONAL BANK OF SUDAN,KHARTOUM,None
OMDBSDKH,66,OMDURMAN NATIONAL BANK,KHARTOUM,None
QIBSSDKH,67,QATAR ISLAMIC BANK SUDAN BRANCH,KHARTOUM,None
QNBASDKH,68,QATAR NATIONAL BANK,KHARTOUM,None
CRETSDKH,69,REAL ESTATE COMMERCIAL BANK,KHARTOUM,None
SAUSSDKH,70,SAUDI SUDANESE BANK,KHARTOUM,None
SBSUSDK1,71,SAVINGS AND SOCIAL DEVELOPMENT BANK,KHARTOUM,None
SSODSDKH,72,SAVINGS AND SOCIAL DEVELOPMENT BANK,KHARTOUM,None
SUCBSDK1,73,SUDAN COMMERCIAL BANK,KHARTOUM,None
SUEGSDKH,74,SUDANESE EGYPTIAN BANK,KHARTOUM,None
SUFRSDKH,75,SUDANESE FRENCH BANK,KHARTOUM,None
SUINSDK1,76,SUDANESE INTERNATIONAL BANK,KHARTOUM,None
SEIBSDKH,77,SUDANESE ISLAMIC BANK,KHARTOUM,None
TISBSDKH,78,TADAMON ISLAMIC BANK,KHARTOUM,None
INSDSDKH,79,THE INDUSTRIAL DEVELOPMENT BANK-SUDAN,KHARTOUM,None
CBSKSDKH,80,UNITED CAPITAL BANK,KHARTOUM,None
WONTSDKH,81,WORKERS NATIONAL BANK,KHARTOUM,None
