swift_code,id,bank,city,branch
ABFMSGS1,1,ABERDEEN ASSET MANAGEMENT ASIA LIMITED,SINGAPORE,None
ABNASG2ACMB,2,ABN AMRO BANK N.V. SINGAPORE BRANCH,SINGAPORE,(COMMERCIAL AND MERCHANT BANKING)
ABNASG2AIPC,3,ABN AMRO BANK N.V. SINGAPORE BRANCH,SINGAPORE,(INTERNATIONAL PRIVATE CLIENTS DEPARTMENT)
ABNASG2A,4,ABN AMRO BANK N.V. SINGAPORE BRANCH,SINGAPORE,None
ABNCSGSG,5,ABN AMRO CLEARING BANK N.V.,SINGAPORE,None
FGCISGS1,6,ABN AMRO CLEARING BANK N.V., SINGAPORE BRANCH,SINGAPORE,None
ABOCSGSG,7,AGRICULTURAL BANK OF CHINA LIMITED, SINGAPORE BRANCH,SINGAPORE,None
AIACSGG1GIO,8,AIA SINGAPORE PRIVATE LIMITED,SINGAPORE,(GENERAL INVESTMENT OPERATIONS)
AIACSGSG,9,AIA SINGAPORE PRIVATE LIMITED,SINGAPORE,None
AWMPSGS1,10,AIA-WALDEN MANAGEMENT PTE LTD,SINGAPORE,None
WEPPSGS1,11,AL WEALTH PARTNERS PTE LTD,SINGAPORE,None
ALLFSGSG,12,ALLFUNDS SINGAPORE BRANCH,SINGAPORE,None
ALLSSGS1,13,ALLIANCE SECURITIES (PTE),SINGAPORE,None
AEIGSGS1,14,AMERICAN EXPRESS INTERNATIONAL INC (SINGAPORE BRANCH),SINGAPORE,None
FRSESGS1,15,AMFRASER SECURITIES PTE. LTD.,SINGAPORE,None
APSMSGS1,16,APS ASSET MANAGEMENT PTE LTD,SINGAPORE,None
ARABSGSG,17,ARAB BANK PLC,SINGAPORE,None
AFMPSGS1,18,ARTRADIS FUND MANAGEMENT PTE LTD,SINGAPORE,None
ASEPSGS1,19,ASC EQUITY PTE LTD,SINGAPORE,None
AAMBSGS1,20,ASIAN-AMERICAN MERCHANT BANK LTD.,SINGAPORE,None
ASGPSGS1,21,AT ASSET MANAGEMENT PTE. LTD.,SINGAPORE,None
ANZBSGSX,22,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,SINGAPORE,None
ANZBSGSXAFX,23,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,SINGAPORE,None
RAAISGS1,24,AXA ROSENBERG INVESTMENT MANAGEMENT ASIA PACIFIC LTD.,SINGAPORE,None
AXISSGSGIPB,25,AXIS BANK LIMITED,SINGAPORE,(INTERNATIONAL PRIVATE BANKING)
