swift_code,id,bank,city,branch
BASMSMS1004,1,BANCA AGRICOLA COMMERCIALE ISTITUTO BANCARIO SAMMARINESE S.P.A.,BORGO MAGGIORE,(O. SCARITO)
BASMSMS1012,2,BANCA AGRICOLA COMMERCIALE ISTITUTO BANCARIO SAMMARINESE S.P.A.,DOGANA,(CORPORATE)
BASMSMS1006,3,BANCA AGRICOLA COMMERCIALE ISTITUTO BANCARIO SAMMARINESE S.P.A.,DOGANA,(M. TINI)
BASMSMS1011,4,BANCA AGRICOLA COMMERCIALE ISTITUTO BANCARIO SAMMARINESE S.P.A.,DOGANA,(PRIVATE)
BASMSMSM,5,BANCA AGRICOLA COMMERCIALE ISTITUTO BANCARIO SAMMARINESE S.P.A.,DOGANA,None
BASMSMS1001,6,BANCA AGRICOLA COMMERCIALE ISTITUTO BANCARIO SAMMARINESE S.P.A.,SAN MARINO,(CITTA')
ICSMSMS1001,7,BANCA CENTRALE DELLA REPUBBLICA DI SAN MARINO,SAN MARINO,(SPORTELLO TESORERIA - ESATTORIA)
ICSMSMSM,8,BANCA CENTRALE DELLA REPUBBLICA DI SAN MARINO,SAN MARINO,None
CRRNSMS1102,9,BANCA CIS S.P.A.,BORGO MAGGIORE,None
CRRNSMS1104,10,BANCA CIS S.P.A.,DOGANA,(CENTRO TONELLI)
CRRNSMS1106,11,BANCA CIS S.P.A.,DOGANA,(VIA 3 SETTEMBRE, 119)
CRRNSMS1107,12,BANCA CIS S.P.A.,DOMAGNANO,None
CRRNSMS1105,13,BANCA CIS S.P.A.,ROVERETA,None
CRRNSMS1100,14,BANCA CIS S.P.A.,SERRAVALLE,None
CRRNSMSM,15,BANCA CIS S.P.A.,SERRAVALLE,None
MAOISMSM005,16,BANCA DI SAN MARINO SPA,BORGO MAGGIORE,(SUCCURSALE BORGO MAGGIORE)
MAOISMSM013,17,BANCA DI SAN MARINO SPA,CAILUNGO,(SUCCURSALE CAILUNGO)
MAOISMSM022,18,BANCA DI SAN MARINO SPA,DOGANA,(DIVISIONE PRIVATE)
MAOISMSM002,19,BANCA DI SAN MARINO SPA,DOGANA,(SUCCURSALE DOGANA)
MAOISMSM010,20,BANCA DI SAN MARINO SPA,DOGANA,(SUCCURSALE WTC - CORPORATE)
MAOISMSM003,21,BANCA DI SAN MARINO SPA,DOMAGNANO,(SUCCURSALE DOMAGNANO)
MAOISMSM006,22,BANCA DI SAN MARINO SPA,FAETANO,(SEDE FAETANO)
MAOISMSM,23,BANCA DI SAN MARINO SPA,FAETANO,None
MAOISMSM009,24,BANCA DI SAN MARINO SPA,GUALDICCIOLO,(SUCCURSALE GUALDICCIOLO)
MAOISMSM011,25,BANCA DI SAN MARINO SPA,MURATA,(SUCCURSALE MURATA)
MAOISMSM004,26,BANCA DI SAN MARINO SPA,SAN MARINO,(SUCCURSALE CITTA' 1)
MAOISMSM001,27,BANCA DI SAN MARINO SPA,SAN MARINO,(SUCCURSALE CITTA')
MAOISMSM007,28,BANCA DI SAN MARINO SPA,SERRAVALLE,(SUCCURSALE ROVERETA)
BTITSMS1,29,BANCA IMPRESA DI SAN MARINO S.P.A.,DOGANA,None
BSDISMD1003,30,BANCA SAMMARINESE DI INVESTIMENTO S.P.A.,BORGO MAGGIORE,(FILIALE DI BORGO MAGGIORE)
BSDISMD1002,31,BANCA SAMMARINESE DI INVESTIMENTO S.P.A.,DOGANA,(FILIALE DI DOGANA)
BSDISMD1005,32,BANCA SAMMARINESE DI INVESTIMENTO S.P.A.,GUALDICCIOLO,(FILIALE DI GUALDICCIOLO)
BSDISMD1001,33,BANCA SAMMARINESE DI INVESTIMENTO S.P.A.,ROVERETA,(FILIALE DI ROVERETA)
BSDISMSD,34,BANCA SAMMARINESE DI INVESTIMENTO S.P.A.,ROVERETA,None
BSDISMD1004,35,BANCA SAMMARINESE DI INVESTIMENTO S.P.A.,SAN MARINO,(FILIALE DI CITTA)
CSSMSMS1001,36,CASSA DI RISPARMIO DELLA REPUBLICA DI SAN MARINO,BORGO MAGGIORE,(AG.BORGO MAGGIORE)
CSSMSMS1009,37,CASSA DI RISPARMIO DELLA REPUBLICA DI SAN MARINO,CAILUNGO,(AG.CAILUNGO)
CSSMSMS1006,38,CASSA DI RISPARMIO DELLA REPUBLICA DI SAN MARINO,CHIESANUOVA,(AG.CHIESANUOVA)
CSSMSMS1003,39,CASSA DI RISPARMIO DELLA REPUBLICA DI SAN MARINO,DOGANA,(AG.DOGANA)
CSSMSMS1016,40,CASSA DI RISPARMIO DELLA REPUBLICA DI SAN MARINO,DOGANA,(AG.PONTE MELLINI)
CSSMSMS1014,41,CASSA DI RISPARMIO DELLA REPUBLICA DI SAN MARINO,DOMAGNANO,(AG.DOMAGNANO)
CSSMSMS1015,42,CASSA DI RISPARMIO DELLA REPUBLICA DI SAN MARINO,FAETANO,(AG.FAETANO)
CSSMSMS1013,43,CASSA DI RISPARMIO DELLA REPUBLICA DI SAN MARINO,FIORENTINO,(AG.FIORENTINO)
CSSMSMS1004,44,CASSA DI RISPARMIO DELLA REPUBLICA DI SAN MARINO,GUALDICCIOLO,(AG.GUALDICCIOLO)
CSSMSMS1011,45,CASSA DI RISPARMIO DELLA REPUBLICA DI SAN MARINO,MURATA,(AG.MURATA)
CSSMSMS1010,46,CASSA DI RISPARMIO DELLA REPUBLICA DI SAN MARINO,ROVERETA,(AG.ROVERETA)
CSSMSMS1012,47,CASSA DI RISPARMIO DELLA REPUBLICA DI SAN MARINO,SAN MARINO,(AG.CENTRALE)
CSSMSMS1005,48,CASSA DI RISPARMIO DELLA REPUBLICA DI SAN MARINO,SAN MARINO,(AG.CITTA'1)
CSSMSMS1008,49,CASSA DI RISPARMIO DELLA REPUBLICA DI SAN MARINO,SAN MARINO,(AG.CITTA'2)
CSSMSMSM,50,CASSA DI RISPARMIO DELLA REPUBLICA DI SAN MARINO,SAN MARINO,None
