swift_code,id,bank,city,branch
AFRISNDA,1,BANK OF AFRICA-SENEGAL,DAKAR,None
ATSNSNDA,2,BANQUE ATLANTIQUE SENEGAL,DAKAR,None
BCAOSNDA001,3,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST,DAKAR,(AGENCE NATIONALE)
BCAOSNDA,4,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST,DAKAR,None
BCAOSNDAKAO,5,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST,KAOLACK,(KAOLACK BRANCH)
BCAOSNDAZIG,6,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST,ZIGUINCHOR,(ZIGUINCHOR BRANCH)
BCAOSNDP,7,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST (B.C.E.A.O.),DAKAR,None
BDKRSNDA,8,BANQUE DE DAKAR SA,DAKAR,None
LHSESNDA,9,BANQUE DE L'HABITAT DU SENEGAL,DAKAR,None
BIMUSNDA,10,BANQUE DES INSTITUTIONS MUTUALISTES D'AFRIQUE DE L'OUEST,DAKAR,None
BICISNDX,11,BANQUE INTERNATIONALE POUR LE COMMERCE ET L'INDUSTRIE DU SENEGAL,DAKAR,None
ISSNSNDA,12,BANQUE ISLAMIQUE DU SENEGAL,DAKAR,None
BNDXSNDA,13,BANQUE NATIONALE POUR LE DEVELOPPEMENT ECONOMIQUE DU SENEGAL (BNDE),DAKAR,None
COLISNDA,14,BANQUE POUR LE COMMERCE ET L'INDUSTRIE SENEGAL,DAKAR,None
BRMXSNDA,15,BANQUE REGIONALE DE MARCHES,DAKAR,None
BSAHSNDA,16,BANQUE SAHELO-SAHARIENNE POUR L'INVESTISSEMENT ET LE COMMERCE (SENEGAL) S.A.,DAKAR,None
BGFISNDA,17,BGFIBANK SENEGAL,DAKAR,None
CADKSNDA,18,CAISSE NATIONALE DE CREDIT AGRICOLE DU SENEGAL (C.N.C.A.S.),DAKAR,None
NDECSND1,19,CAISSE NATIONALE D'EPARGNE,DAKAR,None
CITISNDA,20,CITIBANK N.A.,DAKAR,None
CBAOSNDA,21,COMPAGNIE BANCAIRE DE L'AFRIQUE OCCIDENTALE,DAKAR,None
CORISNDA,22,CORIS BANK INTERNATIONAL,DAKAR,None
BCMASNDA,23,CREDIT DU SENEGAL,DAKAR,None
CLIBSNDA,24,CREDIT INTERNATIONAL SA,DAKAR,None
DCECSND1,25,DEPOSITAIRE CENTRAL-BANQUE DE REGLEMENT (DCBR SENEGAL),DAKAR,None
DBLNSNDA,26,DIAMONDBANK SENEGAL,DAKAR,None
ECOCSNDA,27,ECOBANK SENEGAL,DAKAR,None
ICSGSNDA,28,INTERNATIONAL COMMERCIAL BANK SENEGAL,DAKAR,None
LPSTSND1,29,LA POSTE,DAKAR,None
MFISSND1,30,MASSRAF FAYSAL AL ISLAMI SENEGAL,DAKAR,None
ORBKSNDA,31,ORABANK SENEGAL,DAKAR,None
SGSNSNDAIBE,32,SOCIETE GENERALE DE BANQUES AU SENEGAL,DAKAR,(NEW IBE PROJECT)
SGSNSNDA,33,SOCIETE GENERALE DE BANQUES AU SENEGAL,DAKAR,None
SONASND1,34,SONABANQUE,DAKAR,None
USBASND1,35,UNION SENEGALAISE DE BANQUE POUR LE COMMERCE ET L'INDUSTRIE,DAKAR,None
UNAFSNDA,36,UNITED BANK FOR AFRICA SENEGAL,DAKAR,None
