swift_code,id,bank,city,branch
CBVSSRPA,1,CENTRALE BANK VAN SURINAME,PARAMARIBO,None
CBVSSRPASUR,2,CENTRALE BANK VAN SURINAME,PARAMARIBO,None
GODOSRPA,3,COOPERATIEVE SPAAR-EN KREDIETBANK GODO G.A.,PARAMARIBO,None
SURBSRPA,4,DSB BANK ALSO KNOWN AS DE SURINAAMSCHE BANK N.V. PARAMARIBO SR,PARAMARIBO,None
FBNASRPA,5,FINABANK N.V.,PARAMARIBO,None
ICTBSRPA,6,FINATRUST, DE TRUSTBANK N.V.,PARAMARIBO,None
HAKRSRPA,7,HAKRINBANK N.V.,PARAMARIBO,None
LBNKSRPA,8,LANDBOUWBANK N.V.,PARAMARIBO,None
RBNKSRPA,9,REPUBLIC BANK (SURINAME) N.V.,PARAMARIBO,None
SOUOSRPP,10,SOUTHERN COMMERCIAL BANK NV,PARAMARIBO,None
SURCSRPA,11,SURICHANGE BANK N.V.,PARAMARIBO,None
SDPOSRPA,12,SURINAAMSE POSTSPAARBANK,PARAMARIBO,None
VCBSSRPA,13,SURINAAMSE VOLKSCREDIETBANK,PARAMARIBO,None
