swift_code,id,bank,city,branch
ACATSVS1,1,ASOCIACION COOPERATIVA DE AHORRO Y CREDITO DEL COLEGIO MEDICO DE EL SALVADOR (COMEDICA DE R.L.),SAN SALVADOR,None
ACHESVS1,2,ASOCIACION COOPERATIVA DE AHORRO Y CREDITO VICENTINA DE R.L. ACCOVI DE R.L.,SAN VICENTE,None
CAGRSVSS,3,BANCO AGRICOLA, S.A.,SAN SALVADOR,None
AZULSVSS,4,BANCO AZUL DE EL SALVADOR, SOCIEDAD ANONIMA,SAN SALVADOR,None
CENRSVSSGTE,5,BANCO CENTRAL DE RESERVA DE EL SALVADOR,SAN SALVADOR,(GERENCIA DE TESORERIA)
CENRSVSS,6,BANCO CENTRAL DE RESERVA DE EL SALVADOR,SAN SALVADOR,None
BCIESVS1,7,BANCO CENTROAMERICANO DE INTEGRACION ECONOMICA,SAN SALVADOR,None
BACUSVSSNOS,8,BANCO CUSCATLAN DE EL SALVADOR S.A.,SAN SALVADOR,(NOSTRO ACCOUNT)
BACUSVSS,9,BANCO CUSCATLAN DE EL SALVADOR S.A.,SAN SALVADOR,None
BSALSVSS,10,BANCO DAVIVIENDA SALVADORENO SA,SAN SALVADOR,None
BAMCSVSS,11,BANCO DE AMERICA CENTRAL, S.A.,SAN SALVADOR,None
POPCSVS1,12,BANCO DE CREDITO POPULAR S.A.,SAN SALVADOR,None
FOAGSVSS,13,BANCO DE FOMENTO AGROPECUARIO,SAN SALVADOR,None
GTCSSVSS,14,BANCO G AND T CONTINENTAL EL SALVADOR,SAN SALVADOR,None
BHSASVSS,15,BANCO HIPOTECARIO DE EL SALVADOR S.A.,SAN SALVADOR,None
INDLSVSS,16,BANCO INDUSTRIAL EL SALVADOR, S.A.,SAN SALVADOR,None
PRCBSVSS,17,BANCO PROCREDIT, S.A.,SAN SALVADOR,None
BPRASVSS,18,BANCO PROMERICA, S.A.,ANTIGUO CUSCATLAN,None
CDVSSVS1,19,CENTRAL DE DEPOSITO DE VALORES DE EL SALVADOR SA DE CV,SAN SALVADOR,None
CITISVS1,20,CITIBANK, N.A,SAN SALVADOR,None
FEDRSVS1,21,FEDECREDITO DE CV,SAN SALVADOR,None
FRIPSVS1,22,FITCH CENTROAMERICA (EL SALVADOR BRANCH OF PANAMANIAN ENTITY),SAN SALVADOR,None
MICJSVS1,23,MULTI INVERSIONES BANCO COOPERATIVO DE LOS TRABAJADORES S.C. DE R.L. DE C.V.,SAN SALVADOR,None
PBTRSVS1,24,PRIMER BANCO DE LOS TRABAJADORES SOC. COOP. DE R.L. DE C.V.,SAN SALVADOR,None
BCSASVSS,25,SCOTIABANK EL SALVADOR, S.A.,SAN SALVADOR,None
SADTSV21,26,SOCIEDAD DE AHORRO Y CREDITO CONSTELACION, S.A.,LA LIBERTAD,None
SADISVS1,27,SOCIEDAD DE AHORRO Y CREDITO MULTIVALORES,SAN SALVADOR,None
