swift_code,id,bank,city,branch
BBSYSYDA,1,AL BARAKA BANK SYRIA,DAMASCUS,None
ARBXSYDA,2,ARAB BANK-SYRIA,DAMASCUS,None
SHRQSYDA,3,BANK AL-SHARQ S.A.,DAMASCUS,None
BASYSYDA,4,BANK AUDI SYRIA S.A.,DAMASCUS,None
BJORSYDA,5,BANK OF JORDAN-SYRIA-,DAMASCUS,None
BSOMSYDA,6,BANK OF SYRIA AND OVERSEAS,DAMASCUS,None
BBSFSYDA,7,BANQUE BEMO SAUDI FRANSI S.A.,DAMASCUS,None
BYBASYDA,8,BYBLOS BANK SYRIA SA,DAMASCUS,None
CBSYSYDA,9,CENTRAL BANK OF SYRIA,DAMASCUS,None
CHMMSYDA,10,CHAM BANK,DAMASCUS,None
CMSYSYDARK1,11,COMMERCIAL BANK OF SYRIA,AL RAKKA,(AL RAKKA BRANCH)
CMSYSYDASW1,12,COMMERCIAL BANK OF SYRIA,AL SUWAIDA,(AL SUWAIDA BRANCH)
CMSYSYDAAL1,13,COMMERCIAL BANK OF SYRIA,ALEPPO,(ALEPPO 1 BRANCH)
CMSYSYDAAL2,14,COMMERCIAL BANK OF SYRIA,ALEPPO,(ALEPPO 2 BRANCH)
CMSYSYDAAL3,15,COMMERCIAL BANK OF SYRIA,ALEPPO,(ALEPPO 3 BRANCH)
CMSYSYDAAL6,16,COMMERCIAL BANK OF SYRIA,ALEPPO,(ALEPPO 6 BRANCH)
CMSYSYDAAL8,17,COMMERCIAL BANK OF SYRIA,ALEPPO,(ALEPPO 8 BRANCH)
CMSYSYDAAL4,18,COMMERCIAL BANK OF SYRIA,ALEPPO,(ALEPPO BRANCH NR.4)
CMSYSYDAAL5,19,COMMERCIAL BANK OF SYRIA,ALEPPO,(ALEPPO BRANCH NR.5)
CMSYSYDAAL7,20,COMMERCIAL BANK OF SYRIA,ALEPPO,(ALEPPO BRANCH NR.7)
CMSYSYDAAFZ,21,COMMERCIAL BANK OF SYRIA,ALEPPO,(ALEPPO FREE ZONE BRANCH)
CMSYSYDATL1,22,COMMERCIAL BANK OF SYRIA,DAMASCUS,(AL TEL)
CMSYSYDAD10,23,COMMERCIAL BANK OF SYRIA,DAMASCUS,(BRANCH NR.10 DAMASCUS)
CMSYSYDAD11,24,COMMERCIAL BANK OF SYRIA,DAMASCUS,(BRANCH NR.11 DAMASCUS)
CMSYSYDAD12,25,COMMERCIAL BANK OF SYRIA,DAMASCUS,(BRANCH NR.12 DAMASCUS)
CMSYSYDAD13,26,COMMERCIAL BANK OF SYRIA,DAMASCUS,(BRANCH NR.13 DAMASCUS)
CMSYSYDAD15,27,COMMERCIAL BANK OF SYRIA,DAMASCUS,(BRANCH NR.15 DAMASCUS)
CMSYSYDAD18,28,COMMERCIAL BANK OF SYRIA,DAMASCUS,(BRANCH NR.18 DAMASCUS)
CMSYSYDADA7,29,COMMERCIAL BANK OF SYRIA,DAMASCUS,(BRANCH NR.7 DAMASCUS)
CMSYSYDADA8,30,COMMERCIAL BANK OF SYRIA,DAMASCUS,(BRANCH NR.8 DAMASCUS)
CMSYSYDADA9,31,COMMERCIAL BANK OF SYRIA,DAMASCUS,(BRANCH NR.9 DAMASCUS)
CMSYSYDAD24,32,COMMERCIAL BANK OF SYRIA,DAMASCUS,(DAHET ASSAD BR)
CMSYSYDADA1,33,COMMERCIAL BANK OF SYRIA,DAMASCUS,(DAMASCUS 1 BRANCH)
CMSYSYDAD16,34,COMMERCIAL BANK OF SYRIA,DAMASCUS,(DAMASCUS 16 BRANCH)
CMSYSYDAD17,35,COMMERCIAL BANK OF SYRIA,DAMASCUS,(DAMASCUS 17 BRANCH)
CMSYSYDADA2,36,COMMERCIAL BANK OF SYRIA,DAMASCUS,(DAMASCUS 2 BRANCH)
CMSYSYDADA3,37,COMMERCIAL BANK OF SYRIA,DAMASCUS,(DAMASCUS 3 BRANCH)
CMSYSYDADA4,38,COMMERCIAL BANK OF SYRIA,DAMASCUS,(DAMASCUS 4 BRANCH)
CMSYSYDADA5,39,COMMERCIAL BANK OF SYRIA,DAMASCUS,(DAMASCUS 5 BRANCH)
CMSYSYDADA6,40,COMMERCIAL BANK OF SYRIA,DAMASCUS,(DAMASCUS 6 BRANCH)
CMSYSYDADFZ,41,COMMERCIAL BANK OF SYRIA,DAMASCUS,(DAMASCUS FREE ZONE BRANCH)
CMSYSYDAD25,42,COMMERCIAL BANK OF SYRIA,DAMASCUS,(DEIR ATTIEH BR)
CMSYSYDADUM,43,COMMERCIAL BANK OF SYRIA,DAMASCUS,(DOUMA BRANCH)
CMSYSYDAD21,44,COMMERCIAL BANK OF SYRIA,DAMASCUS,(MALLIEH BR)
CMSYSYDABA1,45,COMMERCIAL BANK OF SYRIA,DAMASCUS,(MASAKIN BARZEH BR)
CMSYSYDAZA1,46,COMMERCIAL BANK OF SYRIA,DAMASCUS,(ZABADANI)
CMSYSYDA,47,COMMERCIAL BANK OF SYRIA,DAMASCUS,None
CMSYSYDAD14,48,COMMERCIAL BANK OF SYRIA,DAMASCUS,None
CMSYSYDAD26,49,COMMERCIAL BANK OF SYRIA,DAMASCUS,None
CMSYSYDAD27,50,COMMERCIAL BANK OF SYRIA,DAMASCUS,None
CMSYSYDAD28,51,COMMERCIAL BANK OF SYRIA,DAMASCUS,None
CMSYSYDADR1,52,COMMERCIAL BANK OF SYRIA,DARAA,(DARAA BRANCH)
CMSYSYDABK1,53,COMMERCIAL BANK OF SYRIA,DEIR ALZZOR,(BOU KAMAL)
CMSYSYDADZ1,54,COMMERCIAL BANK OF SYRIA,DEIR ALZZOR,(DEIR ALZZOR BRANCH)
CMSYSYDAMA1,55,COMMERCIAL BANK OF SYRIA,DEIR ALZZOR,(MAYADINE)
CMSYSYDAHA1,56,COMMERCIAL BANK OF SYRIA,HAMA,(HAMA 1 BRANCH)
CMSYSYDAHA2,57,COMMERCIAL BANK OF SYRIA,HAMA,(HAMA BRANCH NR.2)
CMSYSYDAHA3,58,COMMERCIAL BANK OF SYRIA,HAMA,(HAMA BRANCH NR.3)
CMSYSYDAHA4,59,COMMERCIAL BANK OF SYRIA,HAMA,None
CMSYSYDAHS1,60,COMMERCIAL BANK OF SYRIA,HASSAKAH,(HASSAKAH BRANCH)
CMSYSYDAHO2,61,COMMERCIAL BANK OF SYRIA,HOMS,(BRANCH NR.2 HOMS)
CMSYSYDAHO3,62,COMMERCIAL BANK OF SYRIA,HOMS,(BRANCH NR.3 HOMS)
CMSYSYDAHO4,63,COMMERCIAL BANK OF SYRIA,HOMS,(BRANCH NR.4 HOMS)
CMSYSYDAHO1,64,COMMERCIAL BANK OF SYRIA,HOMS,(HOMS 1 BRANCH)
CMSYSYDAID1,65,COMMERCIAL BANK OF SYRIA,IDLIB,(IDLIB BRANCH)
CMSYSYDAKA1,66,COMMERCIAL BANK OF SYRIA,KAMECHLI,(KAMECHLI BRANCH)
CMSYSYDAJA1,67,COMMERCIAL BANK OF SYRIA,LATAKIA,(JABLEH BR)
