swift_code,id,bank,city,branch
BAGCTDND,1,BANQUE AGRICOLE ET COMMERCIALE,N'DJAMENA,None
BCCXTDND,2,BANQUE COMMERCIALE DU CHARI,N'DJAMENA,None
BEACTDND210,3,BANQUE DES ETATS DE L'AFRIQUE CENTRALE D.N. TCHAD,MOUNDOU,(AGENCE DE MOUNDOU)
BEACTDND,4,BANQUE DES ETATS DE L'AFRIQUE CENTRALE D.N. TCHAD,N'DJAMENA,None
BEACTDND220,5,BANQUE DES ETATS DE L'AFRIQUE CENTRALE D.N. TCHAD,SARH,(AGENCE DE SARH)
BSAHTDND,6,BANQUE SAHELO-SAHARIENNE POUR L'INVESTISSEMENT ET LE COMMERCE (TCHAD) S.A.,N'DJAMENA,None
BTCHTDN1,7,BANQUE TCHADIENNE DE CREDIT ET DE DEPOTS S.A. (B.T.C.D.),N'DJAMENA,None
CBTNTDND,8,COMMERCIAL BANK TCHAD,N'DJAMENA,None
ECOCTDND,9,ECOBANK TCHAD,N'DJAMENA,None
ORBKTDND,10,ORABANK TCHAD,N'DJAMENA,None
SOGETDND,11,SOCIETE GENERALE TCHAD,N'DJAMENA,None
UNAFTDND,12,UNITED BANK FOR AFRICA - TCHAD,N'DJAMENA,None
