swift_code,id,bank,city,branch
AFRITGTG,1,BANK OF AFRICA TOGO,LOME,None
ATTGTGTG,2,BANQUE ATLANTIQUE TOGO,LOME,None
BCAOTGTGKAR,3,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST,KARA,(KARA BRANCH)
BCAOTGTG,4,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST,LOME,None
BILTTGTG,5,BANQUE INTERNATIONALE POUR L'AFRIQUE AU TOGO,LOME,None
BOADTGTG,6,BANQUE OUEST AFRICAINE DE DEVELOPPEMENT (BOAD),LOME,None
BPECTGTG,7,BANQUE POPULAIRE POUR L'EPARGNE ET LE CREDIT (FORMERLY CAISSE D'EPARGNE DU TOGO),LOME,None
BTCITGTG,8,BANQUE TOGOLAISE POUR LE COMMERCE ET L'INDUSTRIE,LOME,None
BSAHTGTG,9,BSIC TOGO SA,LOME,None
CORITGTG,10,CORIS BANK INTERNATIONAL TOGO,LOME,None
DCEDTGT1,11,DEPOSITAIRE CENTRAL-BANQUE DE REGLEMENT (DCBR TOGO),LOME,None
DBLNTGTG,12,DIAMONDBANK TOGO,LOME,None
ECOCTGTGEPI,13,ECOBANK TOGO,LOME,(EPROCESS INT.)
ECOCTGTGETI,14,ECOBANK TOGO,LOME,(ETI DEPARTMENT)
ECOCTGTGWPS,15,ECOBANK TOGO,LOME,(SOAPI/WAIPS)
ECOCTGTA,16,ECOBANK TOGO,LOME,None
ECOCTGTG,17,ECOBANK TOGO,LOME,None
ECOCTGTGBID,18,ECOBANK TOGO,LOME,None
ECOCTGTS,19,ECOBANK TOGO,LOME,None
ECOCTGTU,20,ECOBANK TOGO,LOME,None
ECOCTGTX,21,ECOBANK TOGO,LOME,None
EBIDTGTG,22,ECOWAS BANK FOR INVESTMENT AND DEVELOPMENT,LOME,None
ORBKTGTG,23,ORABANK TOGO,LOME,None
SOTOTGT1,24,SOCIETE DES POSTES DU TOGO,LOME,None
SOGETGTG,25,SOCIETE GENERALE BENIN SUCCURSALE DU TOGO,LOME,None
BALTTGT1,26,SOCIETE INTER AFRICAINE DE BANQUE, SA,LOME,None
SIABTGTG,27,SOCIETE INTER-AFRICAINE DE BANQUE,LOME,None
UNTBTGTG,28,UNION TOGOLAISE DE BANQUE,LOME,None
