swift_code,id,bank,city,branch
ACTJTJ22,1,ACCESSBANK TAJIKISTAN,DUSHANBE,None
AGIBTJ22,2,AGROINVESTBANK OPEN JOINT STOCK COMPANY,DUSHANBE,None
ASSETJ22,3,AMONATBONK THE STATE SAVING BANK REPUBLIC OF TAJIKISTAN,DUSHANBE,None
ARUNTJ22,4,ARGUN,DUSHANBE,None
BTEJTJ22,5,BANK TEJARAT DUSHANBE BRANCH,DUSHANBE,None
CEAATJ21,6,CENTRAL ASIAN BANK,DUSHANBE,None
BASTTJ22,7,CJSC 'BANK ASIA',DUSHANBE,None
BRTATJ22,8,CJSC 'BONKI RUSHDI TOJIKISTON',DUSHANBE,None
IBTKTJ22,9,CJSC INTERNATIONAL BANK OF TAJIKISTAN,DUSHANBE,None
HUMOTJ22,10,CJSC MICROCREDIT DEPOSIT ORGANIZATION HUMO,DUSHANBE,None
SPRBTJ22,11,CJSC SPITAMEN BANK,DUSHANBE,None
NABWTJ22,12,CSD MDO 'IMON INTERNATIONAL',KHUJAND,None
EOJSTJ21,13,ESKAHA BANK OPENED JOINT STOCK COMPANY,KHUJAND,None
EJSATJ22,14,ESKHATA BANK OPENED JOINT STOCK COMPANY,KHUJAND,None
CRZNTJ21,15,FNBO CREDITINVEST ZAO,DUSHANBE,None
KACJTJ22,16,KAFOLATBANK,DUSHANBE,None
KATJTJ21,17,KAZKOMMERTSBANK TAJIKISTAN,DUSHANBE,None
KZKOTJ22,18,KAZKOMMERTSBANK TAJIKISTAN,DUSHANBE,None
ARVDTJ22,19,LLC MDO ARVAND,KHUJAND,None
SARHTJ22,20,LLC MDO 'FAZO S',DUSHANBE,None
SRVTTJ22,21,LLC MDO SARVAT M,DUSHANBE,None
TJRTTJ22,22,LLC MDO TIJORAT,DUSHANBE,None
BRKTTJ22,23,LLC MICROCREDIT DEPOSIT ORGANIZATIO N BARAKAT,DUSHANBE,None
MDMATJ21,24,MDO MATIN,KHUJAND,None
NATJTJ22,25,NATIONAL BANK OF TAJIKISTAN,DUSHANBE,None
NBPATJ22,26,NBP PAKISTAN SUBSIDIARY BANK,DUSHANBE,None
MFARTJ22,27,OJSC COMMERCE BANK OF TAJIKISTAN,DUSHANBE,None
OTJKTJ22,28,ORIENBANK, OPEN JOINT STOCK COMPANY,DUSHANBE,None
SOHBTJ22,29,SOHIBKORBANK,DUSHANBE,None
FMBTTJ22,30,THE FIRST MICROFINANCEBANK,DUSHANBE,None
TOJITJ22,31,TOJIKSODIROTBONK,DUSHANBE,None
