swift_code,id,bank,city,branch
BEITTNTT,1,AL BARAKA BANK TUNISIA,TUNIS,None
ALUBTNTT,2,ALUBAF INTERNATIONAL BANK TUNIS,TUNIS,None
CFCTTNTT,3,AMEN BANK,TUNIS,None
ABCOTNTT001,4,ARAB BANKING CORPORATION,TUNIS,(ONSHORE BRANCH TUNISIE)
ABCOTNTT,5,ARAB BANKING CORPORATION,TUNIS,None
ATBKTNTT,6,ARAB TUNISIAN BANK,TUNIS,None
BSTUTNTTAIN,7,ATTIJARI BANK,TUNIS,(ATTIJARI INTERMEDIATION)
BSTUTNTTTIT,8,ATTIJARI BANK,TUNIS,(ATTIJARI TITRE)
BSTUTNTTINT,9,ATTIJARI BANK,TUNIS,(INTERNATIONAL DEPARTMENT)
BSTUTNTT,10,ATTIJARI BANK,TUNIS,None
BKTRTNT1,11,BANKERS TRUST COMPANY,TUNIS,None
BCTNTNTT,12,BANQUE CENTRALE DE TUNISIE,TUNIS,None
BCTNTNTTVGM,13,BANQUE CENTRALE DE TUNISIE,TUNIS,None
BFPMTNTT,14,BANQUE DE FINANCEMENT DES PME,TUNIS,None
BHBKTNTT,15,BANQUE DE L'HABITAT,TUNIS,None
BTBKTNTT,16,BANQUE DE TUNISIE,TUNIS,None
BTBKTNTTVGM,17,BANQUE DE TUNISIE,TUNIS,None
BTEXTNTT,18,BANQUE DE TUNISIE ET DES EMIRATS,TUNIS,None
BFTNTNTTTRS,19,BANQUE FRANCO TUNISIENNE,TUNIS,(TRESORERIE)
BFTNTNTT,20,BANQUE FRANCO TUNISIENNE,TUNIS,None
BIATTNTTDXS,21,BANQUE INTERNATIONALE ARABE DE TUNISIE,SFAX,(CREDIT DOCUMENTAIRE EXPORT SFAX)
BIATTNTTDMS,22,BANQUE INTERNATIONALE ARABE DE TUNISIE,SFAX,(CREDIT DOCUMENTAIRE IMPORT SFAX)
BIATTNTTRXS,23,BANQUE INTERNATIONALE ARABE DE TUNISIE,SFAX,(REMISE EXPORT SFAX)
BIATTNTTRMS,24,BANQUE INTERNATIONALE ARABE DE TUNISIE,SFAX,(REMISE IMPORT SFAX)
BIATTNTTTES,25,BANQUE INTERNATIONALE ARABE DE TUNISIE,SFAX,(TRANSFERT EMIS SFAX)
BIATTNTTTRS,26,BANQUE INTERNATIONALE ARABE DE TUNISIE,SFAX,(TRANSFERT RECU SFAX)
BIATTNTTSFX,27,BANQUE INTERNATIONALE ARABE DE TUNISIE,SFAX,None
