swift_code,id,bank,city,branch
ADEVTTP1023,1,AGRICULTURAL DEVELOPMENT BANK,ARIMA,None
ADEVTTP1025,2,AGRICULTURAL DEVELOPMENT BANK,CHAGUANAS,None
ADEVTTP1,3,AGRICULTURAL DEVELOPMENT BANK,PORT OF SPAIN,(HEAD OFFICE)
ADEVTTP1027,4,AGRICULTURAL DEVELOPMENT BANK,RIO CLARO,None
ADEVTTP1026,5,AGRICULTURAL DEVELOPMENT BANK,SAN FERNANDO,None
ADEVTTP1028,6,AGRICULTURAL DEVELOPMENT BANK,SCARBOROUGH,(TOBAGO)
ANFMTTP1,7,ANSA MERCHANT BANK LIMITED,PORT OF SPAIN,None
BARBTTPS,8,BANK OF BARODA (TRINIDAD AND TOBAGO) LIMITED,PORT OF SPAIN,None
BOBRTTP1,9,BOURSE BROKERS LIMITED,PORT OF SPAIN,None
CMMBTTP1,10,CARIBBEAN MONEY MARKET BROKERS LIMITED,PORT OF SPAIN,None
CSTKTTP1,11,CARIBBEAN STOCKBROKERS LIMITED,PORT OF SPAIN,None
CBTTTTPS,12,CENTRAL BANK OF TRINIDAD AND TOBAGO,PORT OF SPAIN,None
CITITTPS,13,CITIBANK (TRINIDAD AND TOBAGO) LIMITED,PORT OF SPAIN,None
CIMETTP1,14,CITICORP MERCHANT BANK LIMITED,PORT OF SPAIN,None
CLNNTTP1,15,CLICO INVESTMENT BANK LIMITED,PORT OF SPAIN,None
CMMSTTP1,16,CMMB SECURITIES LIMITED,PORT OF SPAIN,None
FCTATTP1,17,FIRST CITIZENS ASSET MANAGEMENT LIMITED,PORT OF SPAIN,None
FCTTTTPS,18,FIRST CITIZENS BANK LIMITED,PORT OF SPAIN,None
IIMETTP1,19,FIRST CITIZENS MERCHANT BANK LTD.,PORT OF SPAIN,None
FCIBTTP2,20,FIRSTCARIBBEAN INTERNATIONAL BANK (T AND T) LTD.,PORT OF SPAIN,None
FCIBTTPS,21,FIRSTCARIBBEAN INTERNATIONAL BANK (T AND T) LTD.,PORT OF SPAIN,None
INRHTTP1,22,INTERCOMMERCIAL TRUST AND MERCHANT BANK LIMITED,CHAGUANAS,None
IBLITTPS,23,JMMB BANK (T AND T) LIMITED,CHAGUANAS,None
JMMBTTPS,24,JMMB BANK (T AND T) LIMITED,CHAGUANAS,None
MEFRTTP1,25,MERCANTILE BANKING AND FINANCIAL CORPORATION LIMITED, THE,PORT OF SPAIN,None
AICBTTPS,26,NCB GLOBAL FINANCE LIMITED,PORT OF SPAIN,None
RBTTTTPX,27,RBC ROYAL BANK (TRINIDAD AND TOBAGO) LIMITED (FORMERLY RBTT BANK LIMITED),PORT OF SPAIN,None
RBMETTP1,28,RBTT MERCHANT BANK LIMITED,PORT OF SPAIN,None
RBNKTTPX,29,REPUBLIC BANK LIMITED,PORT OF SPAIN,None
REFHTTP1,30,REPUBLIC FINANCE AND MERCHANT BANK LIMITED,PORT OF SPAIN,None
REPSTTP1,31,REPUBLIC SECURITIES LIMITED,PORT OF SPAIN,None
DEBOTTP1,32,SCOTIA DBG INVESTMENTS LTD,PORT OF SPAIN,None
NOSCTTPS,33,SCOTIABANK TRINIDAD AND TOBAGO LTD.,PORT OF SPAIN,None
SMTTTTP1,34,SCOTIATRUST AND MERCHANT BANK TRINIDAD AND TOBAGO LIMITED,PORT OF SPAIN,None
XTRNTTP1,35,THE TRINIDAD AND TOBAGO STOCK EXCHANGE LIMITED,PORT OF SPAIN,None
BATSTTP1,36,THE WEST INDIAN TOBACCO COMPANY LIMITED,SAN JUAN,None
TTCSTTP1,37,TRINIDAD AND TOBAGO CENTRAL SECURITIES DEPOSITORY LIMITED,PORT OF SPAIN,None
TTUTTTP1,38,TRINIDAD AND TOBAGO UNIT TRUST CORPORATION,PORT OF SPAIN,None
UBTTTTP1,39,UNITED BANK OF TRINIDAD AND TOBAGO,PORT OF SPAIN,None
WEITTTP1,40,WEST INDIES STOCKBROKERS LIMITED,PORT OF SPAIN,None
