swift_code,id,bank,city,branch
ACUSTWT1,1,ACUMEN SECURITIES CO LTD,TAICHUNG,None
AGBTTWTP,2,AGRICULTURAL BANK OF TAIWAN,TAIPEI,None
AIACTWT1GIO,3,AIA INTERNATIONAL LIMITED TAIWAN BRANCH,TAIPEI,(GENERAL INVESTMENT OPERATIONS)
AIACTWTP,4,AIA INTERNATIONAL LIMITED TAIWAN BRANCH,TAIPEI,None
ANTETWT1,5,ANTAY SECURITIES CO., LTD.,KAOHSIUNG,None
ANZBTWTP,6,ANZ BANK (TAIWAN) LIMITED,TAIPEI,None
AUTWTWT1,7,AUDI TAIWAN,TAIPEI,None
BASRTWT1,8,BAAN SHINN SECURITIES CO LTD,TAIPEI,None
BANUTWT1,9,BAE-NIAN SECURITIES CO LTD,MIAO LI,None
BBVATWTP,10,BANCO BILBAO VIZCAYA ARGENTARIA S.A,TAIPEI,None
BKKBTWT10TK,11,BANGKOK BANK PUBLIC COMPANY LIMITED,KAOHSIUNG,None
BKKBTWT10TH,12,BANGKOK BANK PUBLIC COMPANY LIMITED TAIPEI BRANCH,TAICHUNG,None
BKKBTWTPOBU,13,BANGKOK BANK PUBLIC COMPANY LIMITED TAIPEI BRANCH,TAIPEI,(OFFSHORE BANKING BRANCH)
BKKBTWTP,14,BANGKOK BANK PUBLIC COMPANY LIMITED TAIPEI BRANCH,TAIPEI,None
BOFATW2XGRA,15,BANK OF AMERICA, N.A. TAIPEI,TAIPEI,(OFFSHORE BANKING BRANCH)
BOFATW2X,16,BANK OF AMERICA, N.A. TAIPEI,TAIPEI,(TAIPEI BRANCH)
BOFATW2XTOB,17,BANK OF AMERICA, N.A. TAIPEI,TAIPEI,(TAIPEI OFFSHORE BANKING BRANCH)
BKCHTWTPOBU,18,BANK OF CHINA LIMITED TAIPEI BRANCH,TAIPEI,(BANK OF CHINA OFFSHORE BANKING UNIT)
BKCHTWTP888,19,BANK OF CHINA LIMITED TAIPEI BRANCH,TAIPEI,(RMB CLEARING CENTER)
BKCHTWTP,20,BANK OF CHINA LIMITED TAIPEI BRANCH,TAIPEI,None
COMMTWTP,21,BANK OF COMMUNICATIONS, TAIPEI BRANCH,TAIPEI,None
BKAOTWTK234,22,BANK OF KAOHSIUNG,HSINCHU,(HSIN CHU BRANCH)
BKAOTWTK101,23,BANK OF KAOHSIUNG,KAOHSIUNG,(BUSINESS DEPARTMENT)
BKAOTWT1212,24,BANK OF KAOHSIUNG,KAOHSIUNG,(CHIENCHEN BRANCH)
BKAOTWT1202,25,BANK OF KAOHSIUNG,KAOHSIUNG,(CHIEN-CHIN BRANCH)
BKAOTWTK,26,BANK OF KAOHSIUNG,KAOHSIUNG,(HEAD OFFICE)
BKAOTWTK210,27,BANK OF KAOHSIUNG,KAOHSIUNG,(HSIAO-KANG BRANCH)
