swift_code,id,bank,city,branch
ACTZTZTZ,1,ACCESSBANK TANZANIA LTD,DAR ES SALAAM,None
ADVBTZTZ,2,ADVANS BANK TANZANIA,DAR ES SALAAM,None
FMBZTZTX,3,AFRICAN BANKING CORPORATION TANZANIA LIMITED,DAR ES SALAAM,None
AKCOTZTZ,4,AKIBA COMMERCIAL BANK PLC,DAR ES SALAAM,None
AMNNTZTZ,5,AMANA BANK LIMITED,DAR ES SALAAM,None
AZANTZTZ,6,AZANIA BANK LIMITED,DAR ES SALAAM,None
BNKMTZTZ,7,BANK M TANZANIA PLC,DAR ES SALAAM,None
BARBTZTZ,8,BANK OF BARODA (TANZANIA) LTD,DAR ES SALAAM,None
BKIDTZTZ,9,BANK OF INDIA (TANZANIA) LIMITED,DAR ES SALAAM,None
TANZTZTX,10,BANK OF TANZANIA,DAR ES SALAAM,None
BARCTZTZ,11,BARCLAYS BANK TANZANIA LTD,DAR ES SALAAM,None
EUAFTZTZ,12,BOA BANK TANZANIA,DAR ES SALAAM,None
CNRBTZTZ,13,CANARA BANK  (TANZANIA) LTD,DAR ES SALAAM,None
CHLMTZTZ,14,CHINA COMMERCIAL BANK LIMITED,DAR ES SALAAM,None
CITITZTZ,15,CITIBANK TANZANIA LTD,DAR ES SALAAM,None
CBAFTZTZ,16,COMMERCIAL BANK OF AFRICA (TANZANIA) LTD,DAR ES SALAAM,None
CBFWTZTZ,17,COVENANT BANK FOR WOMEN (TANZANIA) LIMITED,DAR ES SALAAM,None
CORUTZT10T4,18,CRDB BANK LIMITED,ARUSHA,None
CORUTZT10TD,19,CRDB BANK LIMITED,DAR ES SALAAM,(AZIKIWE BRANCH)
CORUTZT10T2,20,CRDB BANK LIMITED,DAR ES SALAAM,(LUMUMBA BRANCH)
CORUTZTZ,21,CRDB BANK LIMITED,DAR ES SALAAM,None
CORUTZT10T5,22,CRDB BANK LIMITED,MWANZA,None
CORUTZT10T6,23,CRDB BANK LIMITED,SHINYANGA,None
CORUTZT10T3,24,CRDB BANK LIMITED,TANGA,None
CFLLTZT1,25,CROWN FINANCE AND LEASING LIMITED,DAR ES SALAAM,None
DASUTZTZ,26,DAR ES SALAAM COMMUNITY BANK LTD,DAR ES SALAAM,None
DSTXTZTZ,27,DAR ES SALAAM STOCK EXCHANGE,DAR ES SALAAM,None
DTKETZTZ,28,DIAMOND TRUST BANK TANZANIA LTD,DAR ES SALAAM,None
AFDETZT1,29,EAST AFRICAN DEVELOPMENT BANK,DAR ES SALAAM,None
ECOCTZTZ,30,ECOBANK TANZANIA LIMITED,DAR ES SALAAM,None
EFABTZTZ,31,EFATHA BANK LIMITED,DAR ES SALAAM,None
EQBLTZTZ,32,EQUITY BANK TANZANIA LIMITED,DAR ES SALAAM,None
EXTNTZTZ,33,EXIMBANK (TANZANIA) LTD,DAR ES SALAAM,None
FNMITZTZ,34,FINCA MICROFINANCE BANK LIMITED,DAR ES SALAAM,None
FIRNTZTX,35,FIRST NATIONAL BANK OF TANZANIA,DAR ES SALAAM,None
HABLTZTZ,36,HABIB AFRICAN BANK,DAR ES SALAAM,None
IMBLTZTZ,37,I AND M BANK (T) LIMITED,DAR ES SALAAM,None
BKMYTZTZ,38,INTERNATIONAL COMMERCIAL BANK (TANZANIA) LIMITED,DAR ES SALAAM,None
