swift_code,id,bank,city,branch
ACDCUAUK,1,ACCORDBANK COMMERCIAL BANK,KIEV,None
ASTRUAUK,2,AGROPROSPERIS BANK,KIEV,None
APKSUAUK,3,APEKS-BANK,KIEV,None
ARJSUAUK,4,ARCADA JSCB,KIEV,None
USINUA21,5,ARCELORMITTAL KRYVIY RIH VAT,KRYVY RIH,None
AROOUA21,6,ARGO LTD,CHERNIVTSI,None
BKVKUAUK,7,BANK 3/4,KIEV,None
ALJJUAU1,8,BANK ALLIANCE PJSC,KIEV,None
BFISUAUK,9,BANK FOR INVESTMENTS AND SAVINGS,KIEV,None
PIVDUA22,10,BANK PIVDENNYI,ODESA,None
BPRTUAUK,11,BANK PORTAL PUBLIC JOINT STOCK COMPANY,KIEV,None
SLAPUAU1,12,BANK PRESTIGE JSB,KIEV,None
SICHUAUK,13,BANK SICH,KIEV,None
BMLTUAUK,14,BM BANK, PJSC,KIEV,None
BOHUUAUK,15,BOHUSLAV BANK,KIEV,None
CILCUAU1,16,CAPITALIUM LLC,KIEV,None
ZECPUAU1,17,CB 'ZEMELNY CAPITAL', LTD.,DNIPRO,None
CENTUAUK,18,CENTER COMMERCIAL BANK,KIEV,None
CHRKUA21,19,CHERNIGIV BANK,CHERNIHIV,None
CITIUAUK,20,CITIBANK PJSC,KIEV,None
AGRIUAUK,21,CREDIT AGRICOLE BANK PJSC,KIEV,None
AGRIUAUKCIB,22,CREDIT AGRICOLE BANK PJSC,KYIV,(CIB BRANCH)
FBHLUAUK,23,CREDIT EUROPE BANK PJSC,KIEV,None
CEOIUAU1,24,CREDIT OPTIMA BANK PJSC,KIEV,None
CRURUA21,25,CREDIT UNION NARODNA,DNIPRO,None
CRBPUAUK,26,CRISTALBANK JOINT STOCK PUBLIC BANK,KIEV,None
DELTUAU1,27,DELTA BANK,KIEV,None
DIAOUA21,28,DIALOGBANK, LTD.,DNIPRO,None
DRCPUAU1,29,DRAGON CAPITAL,KIEV,None
DRAOUAU1,30,DRGN LIMITED,KIEV,None
DVBKUAUK,31,DV BANK PJSC,KIEV,None
EACJUA21,32,'EAST-INDUSTRIAL COMMERCIAL BANK ' JSC,LUGANSK,None
ETALUAU1,33,ETALON BANK,KIEV,None
FAPCUAU1,34,FANAK CAPITAL LLC,KIEV,None
FUIBUA2XDNI,35,FIRST UKRAINIAN INTERNATIONAL BANK,DNIPRO,(DNIPRO BRANCH)
FUIBUA2XDON,36,FIRST UKRAINIAN INTERNATIONAL BANK,DONETSK,(COMMERCIAL BRANCH)
FUIBUA2XKHA,37,FIRST UKRAINIAN INTERNATIONAL BANK,KHARKIV,(KHARKIV BRANCH)
FUIBUA2XKIE,38,FIRST UKRAINIAN INTERNATIONAL BANK,KIEV,(MAIN COMMERCIAL BRANCH)
FUIBUA2X,39,FIRST UKRAINIAN INTERNATIONAL BANK,KYIV,(HEAD OFFICE)
FUIBUA2XLUG,40,FIRST UKRAINIAN INTERNATIONAL BANK,LUHANSK,(COMMERCIAL BRANCH)
FUIBUA2XLVO,41,FIRST UKRAINIAN INTERNATIONAL BANK,LVIV,(LVIV BRANCH)
FUIBUA2XMPL,42,FIRST UKRAINIAN INTERNATIONAL BANK,MARIUPOL,(MARIUPOL BRANCH)
FUIBUA2XNIC,43,FIRST UKRAINIAN INTERNATIONAL BANK,MYKOLAIV,(MYKOLAIV BRANCH)
FUIBUA2XODE,44,FIRST UKRAINIAN INTERNATIONAL BANK,ODESA,(ODESA BRANCH)
FUIBUA2XZAP,45,FIRST UKRAINIAN INTERNATIONAL BANK,ZAPOROZHYE,(ZAPOROZHYE BRANCH)
FSNEUAU1,46,FOYIL SECURITIES NEW EUROPE ZAT,KIEV,None
GJSAUAU1,47,GASBANK, JOINT STOCK BANK UKRAINE,KIEV,None
GLIBUA22,48,GLOBUS BANK,KIEV,None
INGBUAUK,49,ING BANK UKRAINE,KIEV,None
IINBUAUK,50,INTERNATIONAL INVESTMENT BANK,KIEV,None
INFYUAU1,51,INTERREGIONAL FINANCIAL COMPANY,KIEV,None
KIBBUA21,52,INVEST-BANK UKRAINE JSC,KHARKIV,None
UKCBUAUK,53,JOINT STOCK COMPANY 'ACCENT-BANK',DNIPRO,None
UKCBUAU102V,54,JOINT STOCK COMPANY 'ACCENT-BANK',LVIV,None
JSOTUAU1,55,JOINT STOCK COMPANY TMM-BANK,KIEV,None
CLHSUAUX,56,JSB 'CLEARING HOUSE',KIEV,None
JSOUUAU1,57,JSB OLUMPIC UKRAINE,KIEV,None
JSUKUAU1,58,JSB 'UKOOPSPILKA',KIEV,None
CIBFUAUK,59,JSB'COMMERCIAL INDUSTRIAL BANK',KIEV,None
KOOPUAUX,60,JSC 'COMINVESTBANK' (FORMERLY KOOPINVESTBANK LTD COMMERCIAL BANK),UZHHOROD,None
WUCBUA2X,61,JSC KREDOBANK (FORMERLY JSC KREDYT BANK(UKRAINA)),LVIV,None
IRSUUAUK,62,JSC SETTLEMENT CENTER,KIEV,None
EXBSUAUXCHK,63,JSC THE STATE EXPORT-IMPORT BANK OF UKRAINE,CHERKASY,(CHERKASY BRANCH)
EXBSUAUXCHH,64,JSC THE STATE EXPORT-IMPORT BANK OF UKRAINE,CHERNIHIV,(CHERNIGIV BRANCH)
EXBSUAUXCHV,65,JSC THE STATE EXPORT-IMPORT BANK OF UKRAINE,CHERNIVTSI,(CHERNIVTSI BRANCH)
EXBSUAUXDNI,66,JSC THE STATE EXPORT-IMPORT BANK OF UKRAINE,DNIPRO,(DNIPRO BRANCH)
EXBSUAUXIVF,67,JSC THE STATE EXPORT-IMPORT BANK OF UKRAINE,IVANO-FRANKIVSK,(IVANO-FRANKIVSK BRANCH)
EXBSUAUXIZM,68,JSC THE STATE EXPORT-IMPORT BANK OF UKRAINE,IZMAIL,(IZMAIL BRANCH)
EXBSUAUXKHA,69,JSC THE STATE EXPORT-IMPORT BANK OF UKRAINE,KHARKIV,(KHARKIV BRANCH)
EXBSUAUXKHE,70,JSC THE STATE EXPORT-IMPORT BANK OF UKRAINE,KHERSON,(KHERSON BRANCH)
EXBSUAUXKHM,71,JSC THE STATE EXPORT-IMPORT BANK OF UKRAINE,KHMELNYTSKY,(KHMELNYTSKY BRANCH)
EXBSUAUXKIV,72,JSC THE STATE EXPORT-IMPORT BANK OF UKRAINE,KIEV,(KYIV BRANCH)
